timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 77,Above 80,Above 85,Above 90
2024-11-30T00:00:00Z,90.76,92.14,,,81.28,,,,36.24
2024-12-01T00:00:00Z,90.76,92.36,,,75.61,,,,24.08
2024-12-02T00:00:00Z,90.76,92.36,,,72.12,,,,20.00
2024-12-03T00:00:00Z,97.36,92.36,,,75.01,,,,19.02
2024-12-04T00:00:00Z,97.36,92.36,,,80.98,,73.00,43.96,19.47
2024-12-05T00:00:00Z,97.36,96.00,,,78.00,,68.76,43.75,14.03
2024-12-06T00:00:00Z,97.36,96.00,,,78.00,,70.00,44.15,15.66
2024-12-07T00:00:00Z,97.36,96.00,,,78.11,,68.99,43.22,16.00
2024-12-08T00:00:00Z,97.36,96.00,,,78.36,,68.99,39.13,19.00
2024-12-09T00:00:00Z,97.36,97.00,,,76.38,,69.00,46.97,21.00
2024-12-10T00:00:00Z,97.36,88.44,,,72.65,,65.99,41.83,20.00
2024-12-11T00:00:00Z,97.36,94.46,87.78,54.31,43.14,,40.26,30.67,10.48
2024-12-12T00:00:00Z,97.36,94.46,90.74,70.26,29.26,,11.83,1.00,1.00
2024-12-13T00:00:00Z,99.00,94.46,92.00,84.76,43.54,,13.11,1.00,5.00
2024-12-14T00:00:00Z,99.00,94.46,92.00,88.89,54.87,,16.72,1.00,1.00
2024-12-15T00:00:00Z,99.00,94.46,92.00,88.00,47.53,,11.79,1.00,1.00
2024-12-16T00:00:00Z,99.00,96.85,92.00,86.00,46.65,,10.20,1.00,1.00
2024-12-17T00:00:00Z,99.00,96.85,92.00,87.00,44.86,,8.73,1.00,1.00
2024-12-18T00:00:00Z,99.00,98.62,93.00,86.86,49.98,,11.90,2.33,2.00
2024-12-19T00:00:00Z,99.00,98.62,98.00,89.65,68.33,,14.36,2.33,1.00
2024-12-20T00:00:00Z,99.00,98.62,98.00,91.23,57.08,,11.96,2.33,1.00
2024-12-21T00:00:00Z,99.00,98.62,95.14,85.99,40.00,,10.64,2.33,1.00
2024-12-22T00:00:00Z,99.00,98.62,92.74,87.70,35.71,,5.84,2.33,1.00
2024-12-23T00:00:00Z,99.00,98.62,98.87,89.35,57.48,,4.91,2.33,1.00
2024-12-24T00:00:00Z,99.00,98.62,99.00,97.48,73.51,21.00,9.05,2.33,1.00
2024-12-25T00:00:00Z,99.00,98.62,99.00,97.98,85.63,37.56,5.10,1.00,1.00
2024-12-26T00:00:00Z,99.00,98.62,99.00,99.00,94.25,66.40,5.81,1.00,1.00
2024-12-27T00:00:00Z,99.00,99.00,99.00,99.00,97.02,91.36,14.59,1.00,1.00
2024-12-28T00:00:00Z,99.00,99.00,99.00,99.00,97.45,91.64,6.49,1.00,1.00
2024-12-29T00:00:00Z,99.00,99.00,99.00,99.00,98.82,98.49,1.78,1.00,1.00
2024-12-30T00:00:00Z,99.00,99.00,99.00,99.00,98.98,51.60,1.02,1.00,1.00
