timestamp,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-05-30T00:00:00Z,,,94.00,,,82.36,,,72.56,,,20.25
2024-05-31T00:00:00Z,,,94.00,,,86.02,,,75.48,,,22.54
2024-06-01T00:00:00Z,,,96.00,,,88.00,,,79.37,,,21.63
2024-06-02T00:00:00Z,,,96.00,,,88.00,,,79.00,,,23.16
2024-06-03T00:00:00Z,,,96.00,,,88.00,,,79.54,,,25.00
2024-06-04T00:00:00Z,,,96.00,,,88.00,,,80.19,,,28.57
2024-06-05T00:00:00Z,,,96.00,,,88.00,,,80.19,,,29.00
2024-06-06T00:00:00Z,,,97.00,,,87.41,,,80.00,,,29.98
2024-06-07T00:00:00Z,,,97.00,,,87.41,,,77.86,,,31.92
2024-06-08T00:00:00Z,,,95.00,,,83.87,,,76.29,,,35.00
2024-06-09T00:00:00Z,,,95.00,,,85.00,,,76.00,,,35.00
2024-06-10T00:00:00Z,,,95.00,,,84.00,,,75.00,,,31.21
2024-06-11T00:00:00Z,,,95.45,,,86.49,,,76.78,,,32.89
2024-06-12T00:00:00Z,,,95.45,,,86.49,,,81.00,,,35.00
2024-06-13T00:00:00Z,,,91.00,,,76.59,,,59.52,,,25.40
2024-06-14T00:00:00Z,,,94.00,,,74.76,,65.10,51.13,38.38,24.00,9.58
2024-06-15T00:00:00Z,,,94.00,,,76.00,,65.73,55.00,34.00,24.00,9.29
2024-06-16T00:00:00Z,,,88.66,,,75.00,,63.47,54.08,35.27,19.00,9.29
2024-06-17T00:00:00Z,,,88.66,,,75.00,,63.00,54.08,32.12,19.00,9.29
2024-06-18T00:00:00Z,,,88.16,,,74.72,,56.97,51.11,29.50,19.39,8.81
2024-06-19T00:00:00Z,,,90.00,88.00,81.53,75.86,67.45,48.87,43.81,24.00,17.50,8.81
2024-06-20T00:00:00Z,91.31,88.00,87.63,79.07,78.86,73.86,68.00,51.34,44.98,31.07,22.76,14.88
2024-06-21T00:00:00Z,93.20,89.00,81.89,78.11,72.29,66.24,57.48,46.30,40.49,30.65,23.19,13.49
2024-06-22T00:00:00Z,91.47,80.60,85.78,73.43,62.39,54.56,37.93,39.77,33.69,29.40,19.84,10.41
2024-06-23T00:00:00Z,96.43,80.60,85.78,72.30,72.21,62.65,49.49,35.16,32.53,22.03,11.83,6.01
2024-06-24T00:00:00Z,97.77,80.60,94.35,91.69,84.59,80.07,73.00,60.13,59.39,35.69,22.84,10.48
2024-06-25T00:00:00Z,97.72,80.60,94.86,93.54,86.68,79.60,67.75,61.51,52.85,35.18,21.83,11.15
2024-06-26T00:00:00Z,96.18,93.53,95.40,88.84,80.08,70.43,56.12,47.22,41.96,27.77,13.79,7.22
2024-06-27T00:00:00Z,98.97,94.55,94.12,89.84,87.15,73.14,59.48,50.62,39.32,31.22,19.27,14.08
2024-06-28T00:00:00Z,99.00,98.00,94.12,96.83,97.11,98.94,96.81,94.35,96.96,88.65,56.91,8.62
2024-06-29T00:00:00Z,99.00,98.00,94.12,96.90,99.00,98.94,98.99,99.00,96.52,94.96,37.61,2.50
2024-06-30T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.93,96.22,9.65,1.22
2024-07-01T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.44,5.26,1.00
