timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2025-07-15T00:00:00Z,,91.99,,,86.93,,,30.56
2025-07-16T00:00:00Z,,95.25,,,84.53,,,32.46
2025-07-17T00:00:00Z,,95.25,,,90.00,,,34.37
2025-07-18T00:00:00Z,,95.25,,,91.00,,,38.74
2025-07-19T00:00:00Z,,95.25,,,87.31,,,37.78
2025-07-20T00:00:00Z,,95.25,,,86.00,,,35.82
2025-07-21T00:00:00Z,,95.25,,,85.43,,,34.12
2025-07-22T00:00:00Z,,95.25,,,89.18,,,36.46
2025-07-23T00:00:00Z,,95.25,,,90.54,,,35.10
2025-07-24T00:00:00Z,,95.25,,,85.78,,,33.62
2025-07-25T00:00:00Z,,95.25,,,85.66,,,29.39
2025-07-26T00:00:00Z,,94.00,,,84.27,,,32.00
2025-07-27T00:00:00Z,,94.00,,,88.00,,,32.56
2025-07-28T00:00:00Z,,98.06,,,85.30,,,32.40
2025-07-29T00:00:00Z,,96.66,,,83.94,,,32.55
2025-07-30T00:00:00Z,,99.00,,,85.62,,,27.47
2025-07-31T00:00:00Z,96.00,93.27,,,81.71,66.49,33.22,20.16
2025-08-01T00:00:00Z,96.00,93.27,,,85.09,69.26,33.91,22.91
2025-08-02T00:00:00Z,96.00,96.00,,,83.50,69.95,36.44,19.19
2025-08-03T00:00:00Z,96.00,96.00,,,86.05,67.81,38.51,20.00
2025-08-04T00:00:00Z,96.00,96.00,,,86.63,67.91,39.97,23.94
2025-08-05T00:00:00Z,96.00,96.00,,,89.89,68.76,40.94,22.37
2025-08-06T00:00:00Z,96.00,96.00,,,90.23,71.82,39.86,14.27
2025-08-07T00:00:00Z,96.00,93.86,,,89.59,72.18,37.44,20.92
2025-08-08T00:00:00Z,96.00,97.00,,,78.13,62.84,32.24,25.04
2025-08-09T00:00:00Z,96.00,97.00,,,80.47,55.79,32.03,18.24
2025-08-10T00:00:00Z,96.00,97.00,,,80.17,55.43,31.17,20.16
2025-08-11T00:00:00Z,96.00,94.00,,,80.65,50.26,27.32,16.20
2025-08-12T00:00:00Z,96.00,95.43,,76.21,69.67,44.12,20.38,6.97
2025-08-13T00:00:00Z,96.00,98.44,94.36,83.14,54.00,25.36,9.50,6.41
2025-08-14T00:00:00Z,96.00,92.00,85.96,71.80,46.38,17.42,7.45,2.07
2025-08-15T00:00:00Z,96.00,99.00,85.96,79.66,48.89,26.68,9.37,2.75
2025-08-16T00:00:00Z,96.00,93.30,77.28,45.45,31.23,12.77,6.12,2.93
2025-08-17T00:00:00Z,96.00,89.74,76.80,20.48,3.82,1.00,6.12,1.00
2025-08-18T00:00:00Z,96.00,99.00,87.43,6.94,1.00,1.00,6.12,1.00
