timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-10-17T00:00:00Z,,,,87.57,,,61.36,21.32
2025-10-18T00:00:00Z,,,,85.97,,,59.56,13.41
2025-10-19T00:00:00Z,95.00,,,84.41,,,48.53,13.41
2025-10-20T00:00:00Z,95.00,,,84.60,,,48.07,12.00
2025-10-21T00:00:00Z,94.08,,,87.27,,,47.84,12.00
2025-10-22T00:00:00Z,94.08,,,82.26,,,46.27,6.00
2025-10-23T00:00:00Z,94.24,,,68.90,,,27.88,4.00
2025-10-24T00:00:00Z,91.92,,,67.03,,,28.24,4.92
2025-10-25T00:00:00Z,89.21,,,62.94,,,28.57,4.92
2025-10-26T00:00:00Z,90.61,,,64.28,,,28.78,4.92
2025-10-27T00:00:00Z,86.11,,,36.34,,,12.79,4.77
2025-10-28T00:00:00Z,83.26,78.00,69.80,36.10,28.79,15.14,9.87,1.00
2025-10-29T00:00:00Z,97.49,93.22,80.79,64.15,37.40,18.81,9.40,1.00
2025-10-30T00:00:00Z,97.49,97.00,85.43,57.00,32.78,17.99,3.11,1.00
2025-10-31T00:00:00Z,97.49,96.60,94.19,73.64,44.69,15.69,3.00,1.00
2025-11-01T00:00:00Z,97.49,96.60,96.16,75.12,40.57,14.18,3.00,1.00
2025-11-02T00:00:00Z,97.49,96.60,96.16,97.04,79.62,10.16,1.00,1.00
