timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90
2025-04-25T17:00:00Z,87.00,,,84.33,,,,60.00,,,,
2025-04-25T18:00:00Z,87.00,,,84.33,,,,60.00,,,,20.00
2025-04-25T19:00:00Z,87.00,,,74.45,,,,60.00,,,,20.00
2025-04-25T20:00:00Z,87.00,,,83.00,,,,63.00,,,,19.04
2025-04-25T22:00:00Z,95.52,,,81.00,,,,63.00,,,,19.04
2025-04-26T13:00:00Z,95.52,,,81.00,,,,63.00,,,,8.00
2025-04-26T15:00:00Z,95.52,,,81.00,,,,63.00,,,,9.00
2025-04-26T17:00:00Z,95.52,,,81.00,,,,62.55,,,,9.00
2025-04-26T19:00:00Z,95.52,,,81.00,,,,62.55,,,,9.00
2025-04-27T01:00:00Z,95.52,,,76.00,,,,62.55,,,,9.00
2025-04-27T06:00:00Z,95.52,,,72.43,,,,62.55,,,,9.00
2025-04-27T13:00:00Z,95.52,,,72.43,,,,54.00,,,,9.00
2025-04-27T15:00:00Z,95.52,,,80.00,,,,54.00,,,,9.00
2025-04-27T19:00:00Z,95.52,,,80.00,,,,53.41,,,,9.00
2025-04-27T20:00:00Z,95.52,,,80.00,,,,61.00,,,,9.00
2025-04-28T15:00:00Z,95.52,,,80.00,,,,61.19,,,,9.00
2025-04-28T16:00:00Z,95.52,,,79.00,,,,61.19,,,,9.00
2025-04-28T17:00:00Z,95.52,,,79.00,,,,61.19,,,,9.00
2025-04-28T18:00:00Z,95.52,,,79.00,,,,62.00,,,,9.00
2025-04-28T23:00:00Z,95.52,,,79.00,,,,62.54,,,,9.00
2025-04-29T00:00:00Z,95.52,,,79.00,,,,63.00,,,,9.00
2025-04-29T02:00:00Z,95.52,,,79.00,,,,55.00,,,,9.00
2025-04-29T03:00:00Z,95.52,,,79.00,,,,55.00,,,,9.00
2025-04-29T04:00:00Z,95.52,,,79.00,,,,55.00,,,,8.00
2025-04-29T13:00:00Z,95.52,,,79.00,,,,53.00,,,,8.00
2025-04-29T14:00:00Z,95.52,,,80.68,,,,53.00,,,,8.00
2025-04-29T16:00:00Z,95.52,,,80.00,,,,53.00,,,,8.00
2025-05-01T01:00:00Z,95.52,,,80.00,,,,55.00,,,,8.00
2025-05-01T04:00:00Z,95.52,,,80.00,,,,55.00,,,,8.00
2025-05-01T16:00:00Z,95.52,,,80.00,,,,55.00,,,,14.91
2025-05-01T18:00:00Z,95.52,,,80.00,,,,60.66,,,,14.91
2025-05-01T19:00:00Z,95.52,,,80.00,,,,61.00,,,,14.91
2025-05-01T22:00:00Z,95.52,,,81.06,,,,61.00,,,,14.91
2025-05-02T06:00:00Z,95.52,,,81.06,,,,54.00,,,,14.91
2025-05-02T15:00:00Z,95.52,,,81.00,,,,54.00,,,,14.91
2025-05-02T16:00:00Z,95.52,,,82.00,,,,54.00,,,,14.91
2025-05-02T18:00:00Z,95.52,,,82.00,,,,54.00,,,,8.00
2025-05-02T20:00:00Z,95.52,,,82.00,,,,54.00,,,,8.00
2025-05-03T06:00:00Z,95.52,,,82.00,,,,56.00,,,,8.00
