timestamp,Above 15,Above 30,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 77,Above 80,Above 85,Above 90
2024-07-18T00:00:00Z,,,62.03,,,45.00,,,,,,,
2024-07-19T00:00:00Z,,,64.00,,,51.19,,,19.00,,,,
2024-07-20T00:00:00Z,,,68.05,,,52.00,,,31.00,,,,
2024-07-21T00:00:00Z,,,72.00,,,52.00,,,31.00,,,,
2024-07-23T00:00:00Z,,,75.39,,,55.44,,,18.94,,,,
2024-07-24T00:00:00Z,,,61.73,,,48.45,,,14.00,,,,
2024-07-26T00:00:00Z,,,58.50,,,47.00,,,19.70,,,,
2024-07-27T00:00:00Z,,,62.00,,,47.86,,,23.02,,,,
2024-07-28T00:00:00Z,,,66.00,,,47.86,,,24.00,,,,
2024-07-29T00:00:00Z,,,65.63,,,47.86,,,30.35,,,,
2024-07-30T00:00:00Z,,,66.31,,,54.00,,,18.02,,,,
2024-07-31T00:00:00Z,,,65.92,,,51.00,,,17.80,,,,
2024-08-01T00:00:00Z,,,71.41,,,59.00,,,17.80,,,,
2024-08-02T00:00:00Z,,,74.00,,,59.00,,,17.80,,,,
2024-08-03T00:00:00Z,,,70.15,,,55.00,,,24.00,,,,
2024-08-04T00:00:00Z,,,70.15,,,69.00,,,20.00,,,,
2024-08-05T00:00:00Z,,,73.00,,,69.00,,,20.00,,,,1.00
2024-08-06T00:00:00Z,,,66.47,,,47.84,,,14.78,,,,1.00
2024-08-07T00:00:00Z,,,66.74,,,49.00,,,19.00,,,,1.00
2024-08-08T00:00:00Z,,,67.00,,,49.00,36.44,,19.00,,,,1.00
2024-08-09T00:00:00Z,,,65.60,,,46.60,36.90,,17.00,,12.55,,1.00
2024-08-10T00:00:00Z,91.70,83.61,73.81,,,58.71,52.22,,33.48,,16.44,,1.00
2024-08-11T00:00:00Z,91.70,83.61,78.00,,,58.71,50.36,,43.00,,29.07,,1.00
2024-08-12T00:00:00Z,91.70,97.00,82.00,,,58.71,61.86,,47.51,,37.85,,1.00
2024-08-13T00:00:00Z,99.00,97.00,91.76,,,76.79,64.64,59.36,37.40,,28.57,7.00,1.00
2024-08-14T00:00:00Z,99.00,97.00,94.65,89.69,,80.27,76.43,70.00,57.51,,54.08,28.00,1.00
2024-08-15T00:00:00Z,99.00,99.00,99.00,99.00,,97.00,96.00,90.76,85.76,,67.65,31.25,11.92
2024-08-16T00:00:00Z,99.00,99.00,98.00,99.00,,97.00,96.00,90.76,70.09,,57.56,31.25,2.04
2024-08-17T00:00:00Z,99.00,99.00,98.97,99.00,95.00,94.00,96.00,90.76,77.00,,51.94,9.00,2.04
2024-08-18T00:00:00Z,99.00,99.00,98.97,99.00,95.00,97.00,96.00,90.76,60.31,,38.50,9.00,2.04
2024-08-19T00:00:00Z,99.00,99.00,98.97,99.00,95.00,97.00,96.00,90.76,71.00,,30.00,8.34,2.04
2024-08-20T00:00:00Z,99.00,99.00,98.97,99.00,99.00,97.01,90.23,76.49,54.03,,22.97,5.63,1.00
2024-08-21T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.00,97.02,87.13,65.87,,30.53,7.66,1.00
2024-08-22T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.00,99.00,98.63,76.27,,28.26,1.78,1.00
2024-08-23T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,93.75,67.87,,10.82,1.00,1.00
2024-08-24T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,97.71,70.71,33.56,2.41,1.00,1.00
2024-08-25T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,97.10,71.45,2.00,1.00,1.00
2024-08-26T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.10,37.42,2.00,1.00,1.00
