timestamp,Above 5,Above 8,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2024-02-23T00:00:00Z,,,,,,,,,,64.00,38.72,,12.00
2024-02-25T00:00:00Z,,,,,,,,,,52.21,34.00,22.00,12.00
2024-02-26T00:00:00Z,,,,,,,,,,53.00,33.05,22.00,12.00
2024-02-27T00:00:00Z,,,,,,,,,,53.00,33.05,19.00,12.00
2024-03-04T00:00:00Z,,,,,,,,,,47.00,33.05,19.00,12.00
2024-03-07T00:00:00Z,,,,,,,,,,47.00,33.05,17.00,12.00
2024-03-09T00:00:00Z,,,,,,,,,,47.11,33.05,17.00,12.00
2024-03-10T00:00:00Z,,,,,,,,,,42.21,33.05,17.00,12.00
2024-03-12T00:00:00Z,,,,,,,,,,38.00,33.05,17.00,12.00
2024-03-14T00:00:00Z,,,,,,,,,,44.00,27.04,17.00,12.00
2024-03-15T00:00:00Z,,,,,,,,,,44.00,27.04,17.00,12.00
2024-03-16T00:00:00Z,,,,,,,,,,45.00,27.04,17.00,12.00
2024-03-18T00:00:00Z,,,,,,,,,,45.00,29.00,17.00,12.00
2024-03-19T00:00:00Z,,,,,,,,,,45.00,29.00,12.00,12.00
2024-03-20T00:00:00Z,,,,,,,,,,46.00,30.00,12.00,12.00
2024-03-21T00:00:00Z,,,,,,,,,,44.00,28.00,12.00,12.00
2024-03-22T00:00:00Z,,,,,,,,,,37.47,28.00,12.00,12.00
2024-03-24T00:00:00Z,,,,,,,,,,37.47,26.00,12.00,12.00
2024-03-25T00:00:00Z,,,,,,,,,,37.47,26.00,10.00,12.00
2024-03-26T00:00:00Z,,,,,,,,,,36.00,26.00,14.00,12.00
2024-03-27T00:00:00Z,,,,,,,,,,38.00,26.00,14.00,12.00
2024-03-28T00:00:00Z,,,,,,,,,,38.00,26.00,14.00,12.00
2024-03-29T00:00:00Z,,,,,,,,,,39.00,26.00,14.00,12.00
2024-03-30T00:00:00Z,,,,,,,,,,39.00,26.00,14.00,12.00
2024-04-01T00:00:00Z,,,,,,,,,,39.00,26.00,14.00,12.00
2024-04-02T00:00:00Z,,,,,,,,,,39.00,25.89,14.00,12.00
2024-04-03T00:00:00Z,,,,,,,,,,39.00,22.27,14.00,12.00
2024-04-06T00:00:00Z,,,,,,,,,,39.00,26.00,14.00,12.00
2024-04-09T00:00:00Z,,,,,,,,,,39.00,26.00,15.00,12.00
2024-04-12T00:00:00Z,,,,,,,,,,44.98,28.00,15.00,12.00
2024-04-13T00:00:00Z,,,,,,,,,,41.00,27.00,15.00,12.00
2024-04-14T00:00:00Z,,,,,,,,,,42.03,27.43,15.00,12.00
2024-04-15T00:00:00Z,,,,,,,,,,42.03,28.00,15.00,12.00
2024-04-16T00:00:00Z,,,,,,,,,,40.64,28.00,15.00,12.00
2024-04-18T00:00:00Z,,,,,,,,,,40.64,28.00,15.00,12.00
2024-04-19T00:00:00Z,,,,,,,,,,44.20,29.17,15.00,12.00
2024-04-20T00:00:00Z,,,,,,,,,,45.87,27.81,15.00,12.00
2024-04-21T00:00:00Z,,,,,,,,,,45.87,29.52,15.00,12.00
2024-04-23T00:00:00Z,,,,,,,,,,45.50,30.89,16.84,12.00
2024-04-24T00:00:00Z,,,,,,,,,,47.00,30.89,16.84,12.00
2024-04-27T00:00:00Z,,,,,,,,,,50.06,33.75,14.00,12.00
2024-04-29T00:00:00Z,,,,,,,,,,55.00,33.75,20.90,12.00
2024-05-01T00:00:00Z,,,,,,,,,,55.00,35.00,20.90,12.00
2024-05-02T00:00:00Z,,,,,,,,,,55.00,35.00,20.90,12.00
2024-05-03T00:00:00Z,,,,,,,,,,52.00,35.00,16.00,5.00
2024-05-04T00:00:00Z,,,,,,,,,,55.00,35.00,15.00,5.00
2024-05-05T00:00:00Z,,,,,,,,,,55.00,38.00,15.00,5.00
2024-05-06T00:00:00Z,,,,,,,,,,55.00,37.00,15.00,5.00
2024-05-07T00:00:00Z,,,,,,,,,,56.00,37.00,16.00,5.00
2024-05-08T00:00:00Z,,,,,,,,,,56.00,39.16,16.00,5.00
2024-05-09T00:00:00Z,,,,,,,,,,56.00,40.00,16.00,5.00
2024-05-10T00:00:00Z,,,,,,,,,,57.91,40.35,16.00,5.00
2024-05-11T00:00:00Z,,,,,,,,,,54.09,43.00,20.80,5.00
2024-05-12T00:00:00Z,,,,,,,,,,54.09,39.20,20.80,5.00
2024-05-13T00:00:00Z,,,,,,,,,,55.02,39.20,17.00,5.00
2024-05-14T00:00:00Z,,,,,,,,,,58.15,42.06,20.53,5.00
