timestamp,Above 75,Above 80,Above 85,Above 90,Above 92,Above 95
2024-03-29T00:00:00Z,,,,,,18.00
2024-03-30T00:00:00Z,90.00,,,46.85,,19.65
2024-03-31T00:00:00Z,90.00,,69.00,41.03,,13.58
2024-04-01T00:00:00Z,88.16,86.35,61.62,40.10,,10.00
2024-04-02T00:00:00Z,89.40,86.00,59.84,39.44,,15.00
2024-04-03T00:00:00Z,90.37,85.97,61.27,38.85,20.11,10.00
2024-04-04T00:00:00Z,93.22,90.00,64.20,40.55,16.00,10.00
2024-04-05T00:00:00Z,91.56,86.77,64.18,44.42,19.94,5.80
2024-04-06T00:00:00Z,95.28,90.99,62.18,48.89,24.89,5.80
2024-04-07T00:00:00Z,95.28,90.99,67.33,47.38,25.84,10.00
2024-04-08T00:00:00Z,96.00,90.99,77.78,45.02,25.00,8.01
2024-04-09T00:00:00Z,96.71,91.52,71.58,51.14,32.72,9.64
2024-04-10T00:00:00Z,96.09,92.37,76.27,44.65,30.88,8.72
2024-04-11T00:00:00Z,98.23,91.08,64.89,17.66,7.17,1.68
2024-04-12T00:00:00Z,92.76,75.23,23.60,1.51,1.21,1.68
2024-04-13T00:00:00Z,98.20,79.22,5.23,1.52,1.21,2.00
2024-04-14T00:00:00Z,99.00,96.46,1.94,1.52,1.21,2.00
2024-04-15T00:00:00Z,99.00,98.87,1.52,1.00,1.21,2.00
