timestamp,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-09-28T00:00:00Z,,,,,,,,67.52,,,30.57,,,12.08,
2025-09-29T00:00:00Z,,,,,,,,71.00,,,35.83,,,7.00,6.00
2025-09-30T00:00:00Z,,,,,,,,68.89,,,33.92,,,13.18,6.00
2025-10-01T00:00:00Z,,,,,,,,70.00,,,40.68,,,15.33,8.00
2025-10-02T00:00:00Z,,,,,,,,71.49,,,53.93,,,15.28,8.00
2025-10-03T00:00:00Z,,,,,,,,71.49,,,46.94,,,15.28,8.00
2025-10-04T00:00:00Z,,,,,,,,72.40,,,45.26,,,20.12,5.00
2025-10-05T00:00:00Z,,,,,,,,72.40,,,46.00,,,20.12,5.00
2025-10-06T00:00:00Z,,,,,,,,72.40,,,45.70,,,21.00,5.00
2025-10-07T00:00:00Z,,,,,,,,72.40,,,48.27,,,19.50,5.00
2025-10-08T00:00:00Z,,,,,,,,77.71,,,45.00,,,14.09,5.00
2025-10-09T00:00:00Z,,,,,,,,78.00,,,51.93,,,13.19,5.00
2025-10-10T00:00:00Z,,,,,,,,78.00,,,47.10,,,13.50,4.00
2025-10-11T00:00:00Z,,,,,,,,76.52,,,48.65,,,16.10,4.00
2025-10-12T00:00:00Z,,,,,,,,76.52,,,46.48,,,15.00,4.00
2025-10-13T00:00:00Z,,,,,,,,75.78,,,42.56,,,15.00,4.00
2025-10-14T00:00:00Z,,,,,,,,75.78,,,44.85,,,15.86,4.00
2025-10-15T00:00:00Z,,,,,,,,75.62,,,50.13,,,12.09,4.00
2025-10-16T00:00:00Z,,,,,,,,76.00,,,45.57,,,15.23,4.00
2025-10-17T00:00:00Z,,,,,,,,80.00,,,45.57,,,15.23,2.00
2025-10-18T00:00:00Z,,,,,,,,79.00,,,45.57,,,15.00,2.00
2025-10-19T00:00:00Z,,,,,,,,79.69,,,49.59,31.00,20.03,6.49,2.00
2025-10-20T00:00:00Z,,,,,,,,79.72,,63.00,45.84,30.95,15.96,5.00,2.00
2025-10-21T00:00:00Z,,,,,,,,76.86,66.30,59.00,43.08,27.12,16.33,5.43,1.00
2025-10-22T00:00:00Z,,,,,,,,84.00,74.82,65.64,46.10,37.39,21.18,11.25,1.00
2025-10-23T00:00:00Z,95.42,85.32,69.38,48.29,29.16,16.21,5.64,20.00,14.46,7.75,5.73,4.78,2.26,1.00,2.30
2025-10-24T00:00:00Z,99.00,92.17,57.19,53.60,16.76,11.08,3.82,1.03,2.00,1.00,5.73,4.78,1.00,1.00,2.30
2025-10-25T00:00:00Z,99.00,92.17,98.86,93.34,62.11,23.93,3.24,2.84,1.00,1.00,1.00,4.78,1.00,1.00,2.30
2025-10-26T00:00:00Z,99.00,92.17,99.00,96.55,53.81,1.57,1.03,1.00,1.00,1.00,1.00,4.78,1.00,1.00,2.30
2025-10-27T00:00:00Z,99.00,92.17,99.00,96.65,15.22,1.33,1.03,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
