timestamp,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-09-27T15:00:00Z,,,,,,,,65.00,,,22.04,,,7.00,
2025-09-27T16:00:00Z,,,,,,,,65.00,,,27.00,,,7.00,
2025-09-27T17:00:00Z,,,,,,,,65.00,,,27.00,,,8.00,
2025-09-27T18:00:00Z,,,,,,,,65.00,,,28.96,,,8.00,
2025-09-27T19:00:00Z,,,,,,,,68.45,,,32.29,,,11.62,
2025-09-27T20:00:00Z,,,,,,,,70.00,,,35.00,,,13.64,
2025-09-27T21:00:00Z,,,,,,,,70.00,,,35.00,,,7.00,
2025-09-27T23:00:00Z,,,,,,,,70.00,,,36.00,,,7.00,
2025-09-28T05:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,
2025-09-28T11:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,
2025-09-28T14:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,6.00
2025-09-28T20:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,6.00
2025-09-29T00:00:00Z,,,,,,,,71.00,,,30.00,,,7.00,6.00
2025-09-29T01:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,6.00
2025-09-29T03:00:00Z,,,,,,,,71.00,,,37.81,,,7.00,6.00
2025-09-29T05:00:00Z,,,,,,,,71.00,,,38.00,,,7.00,6.00
2025-09-29T06:00:00Z,,,,,,,,71.00,,,29.18,,,7.00,6.00
2025-09-29T09:00:00Z,,,,,,,,71.00,,,36.00,,,7.00,6.00
2025-09-29T13:00:00Z,,,,,,,,71.00,,,37.00,,,7.00,6.00
2025-09-29T14:00:00Z,,,,,,,,71.00,,,37.11,,,7.00,6.00
2025-09-29T17:00:00Z,,,,,,,,72.00,,,38.00,,,11.00,6.00
2025-09-29T18:00:00Z,,,,,,,,67.00,,,38.00,,,11.00,6.00
2025-09-29T20:00:00Z,,,,,,,,72.00,,,38.00,,,11.00,6.00
2025-09-29T21:00:00Z,,,,,,,,72.00,,,38.00,,,11.00,6.00
2025-09-29T23:00:00Z,,,,,,,,72.00,,,38.00,,,11.00,6.00
2025-09-30T01:00:00Z,,,,,,,,72.00,,,38.00,,,11.00,6.00
2025-09-30T02:00:00Z,,,,,,,,72.00,,,38.00,,,15.00,6.00
2025-09-30T06:00:00Z,,,,,,,,72.00,,,38.00,,,15.00,6.00
2025-09-30T12:00:00Z,,,,,,,,72.00,,,38.00,,,16.00,8.00
2025-09-30T19:00:00Z,,,,,,,,72.00,,,37.75,,,15.00,8.00
2025-09-30T21:00:00Z,,,,,,,,72.00,,,53.00,,,15.00,8.00
2025-10-01T01:00:00Z,,,,,,,,70.00,,,53.00,,,15.00,8.00
2025-10-01T03:00:00Z,,,,,,,,70.00,,,45.00,,,15.00,8.00
2025-10-01T06:00:00Z,,,,,,,,69.00,,,45.00,,,15.24,8.00
2025-10-01T19:00:00Z,,,,,,,,70.00,,,45.00,,,15.24,8.00
2025-10-01T20:00:00Z,,,,,,,,70.00,,,54.88,,,15.24,8.00
2025-10-01T21:00:00Z,,,,,,,,70.00,,,45.88,,,15.24,8.00
2025-10-01T22:00:00Z,,,,,,,,71.00,,,45.88,,,15.24,8.00
2025-10-02T01:00:00Z,,,,,,,,75.69,,,45.88,,,15.24,8.00
2025-10-02T02:00:00Z,,,,,,,,78.00,,,45.88,,,19.00,8.00
2025-10-02T03:00:00Z,,,,,,,,78.00,,,46.67,,,19.00,8.00
2025-10-02T16:00:00Z,,,,,,,,78.00,,,46.94,,,19.00,8.00
2025-10-03T05:00:00Z,,,,,,,,73.00,,,46.94,,,26.26,8.00
2025-10-03T14:00:00Z,,,,,,,,73.00,,,46.94,,,24.00,5.00
2025-10-03T16:00:00Z,,,,,,,,73.00,,,45.26,,,24.00,5.00
2025-10-03T17:00:00Z,,,,,,,,73.00,,,45.26,,,22.00,5.00
2025-10-03T18:00:00Z,,,,,,,,73.00,,,45.26,,,18.58,5.00
2025-10-03T20:00:00Z,,,,,,,,72.00,,,45.26,,,18.58,5.00
2025-10-04T03:00:00Z,,,,,,,,72.00,,,45.26,,,24.00,5.00
2025-10-05T01:00:00Z,,,,,,,,72.00,,,46.00,,,24.00,5.00
2025-10-05T07:00:00Z,,,,,,,,72.00,,,45.34,,,24.00,5.00
2025-10-05T15:00:00Z,,,,,,,,72.00,,,47.60,,,24.00,5.00
2025-10-05T23:00:00Z,,,,,,,,72.00,,,47.60,,,21.00,5.00
2025-10-06T05:00:00Z,,,,,,,,72.00,,,47.00,,,21.00,5.00
2025-10-06T11:00:00Z,,,,,,,,72.00,,,43.00,,,21.00,5.00
2025-10-06T16:00:00Z,,,,,,,,72.00,,,47.55,,,21.00,5.00
2025-10-06T17:00:00Z,,,,,,,,72.00,,,48.00,,,17.14,5.00
2025-10-06T20:00:00Z,,,,,,,,72.00,,,48.35,,,17.14,5.00
2025-10-06T23:00:00Z,,,,,,,,72.00,,,48.35,,,24.71,5.00
2025-10-07T06:00:00Z,,,,,,,,72.00,,,48.35,,,17.16,5.00
2025-10-07T13:00:00Z,,,,,,,,77.71,,,48.35,,,17.16,5.00
2025-10-07T14:00:00Z,,,,,,,,77.71,,,45.00,,,17.16,5.00
2025-10-07T16:00:00Z,,,,,,,,77.71,,,45.00,,,17.16,5.00
2025-10-07T22:00:00Z,,,,,,,,77.71,,,45.00,,,14.78,5.00
2025-10-07T23:00:00Z,,,,,,,,77.71,,,45.00,,,13.14,5.00
2025-10-08T01:00:00Z,,,,,,,,77.71,,,45.00,,,12.94,5.00
2025-10-08T02:00:00Z,,,,,,,,77.71,,,45.00,,,14.00,5.00
2025-10-08T05:00:00Z,,,,,,,,77.71,,,45.00,,,11.87,5.00
2025-10-08T18:00:00Z,,,,,,,,78.00,,,45.00,,,11.87,5.00
2025-10-08T21:00:00Z,,,,,,,,78.00,,,51.56,,,20.38,5.00
2025-10-08T22:00:00Z,,,,,,,,78.00,,,52.00,,,20.38,5.00
2025-10-09T03:00:00Z,,,,,,,,78.00,,,52.00,,,20.38,5.00
2025-10-09T13:00:00Z,,,,,,,,78.00,,,52.00,,,13.50,5.00
2025-10-09T22:00:00Z,,,,,,,,78.00,,,52.00,,,13.50,4.00
2025-10-09T23:00:00Z,,,,,,,,78.00,,,47.10,,,13.50,4.00
2025-10-10T06:00:00Z,,,,,,,,78.00,,,47.10,,,13.50,4.00
2025-10-10T07:00:00Z,,,,,,,,78.00,,,42.00,,,13.50,4.00
2025-10-10T08:00:00Z,,,,,,,,78.00,,,42.00,,,19.16,4.00
2025-10-10T14:00:00Z,,,,,,,,78.00,,,49.00,,,19.16,4.00
2025-10-10T23:00:00Z,,,,,,,,76.00,,,49.00,,,19.16,4.00
2025-10-11T01:00:00Z,,,,,,,,75.36,,,49.00,,,13.94,4.00
2025-10-11T04:00:00Z,,,,,,,,76.00,,,49.00,,,13.94,4.00
2025-10-12T00:00:00Z,,,,,,,,76.00,,,46.55,,,15.00,4.00
2025-10-12T04:00:00Z,,,,,,,,76.00,,,45.00,,,15.00,4.00
2025-10-12T14:00:00Z,,,,,,,,76.00,,,49.00,,,15.00,4.00
2025-10-12T17:00:00Z,,,,,,,,75.77,,,42.00,,,15.00,4.00
2025-10-12T20:00:00Z,,,,,,,,76.00,,,42.00,,,15.00,4.00
2025-10-13T03:00:00Z,,,,,,,,76.00,,,45.00,,,15.00,4.00
2025-10-13T06:00:00Z,,,,,,,,76.00,,,45.00,,,19.00,4.00
2025-10-13T07:00:00Z,,,,,,,,76.00,,,45.00,,,15.00,4.00
2025-10-13T19:00:00Z,,,,,,,,76.00,,,45.00,,,15.71,4.00
2025-10-13T20:00:00Z,,,,,,,,72.00,,,45.00,,,15.00,4.00
2025-10-14T01:00:00Z,,,,,,,,72.00,,,50.00,,,15.00,4.00
2025-10-14T02:00:00Z,,,,,,,,72.00,,,43.00,,,15.00,4.00
2025-10-14T04:00:00Z,,,,,,,,75.00,,,43.00,,,15.00,4.00
2025-10-14T12:00:00Z,,,,,,,,71.00,,,43.00,,,15.00,4.00
2025-10-14T13:00:00Z,,,,,,,,71.00,,,43.00,,,15.00,4.00
2025-10-14T14:00:00Z,,,,,,,,75.00,,,50.66,,,19.00,4.00
2025-10-14T15:00:00Z,,,,,,,,75.00,,,43.00,,,19.00,4.00
2025-10-14T16:00:00Z,,,,,,,,75.00,,,43.00,,,19.00,4.00
2025-10-14T17:00:00Z,,,,,,,,76.00,,,51.00,,,19.00,4.00
2025-10-14T18:00:00Z,,,,,,,,76.00,,,51.00,,,19.00,4.00
2025-10-14T21:00:00Z,,,,,,,,76.00,,,43.00,,,15.00,4.00
2025-10-14T23:00:00Z,,,,,,,,76.00,,,43.00,,,13.43,4.00
2025-10-15T03:00:00Z,,,,,,,,76.00,,,43.00,,,10.79,4.00
2025-10-15T04:00:00Z,,,,,,,,76.00,,,43.00,,,16.00,4.00
2025-10-15T16:00:00Z,,,,,,,,76.00,,,43.00,,,16.00,4.00
2025-10-15T18:00:00Z,,,,,,,,76.00,,,44.00,,,16.00,4.00
2025-10-15T20:00:00Z,,,,,,,,76.00,,,48.00,,,16.00,4.00
2025-10-16T00:00:00Z,,,,,,,,76.00,,,48.00,,,18.00,4.00
2025-10-16T03:00:00Z,,,,,,,,76.00,,,48.00,,,14.40,4.00
2025-10-16T06:00:00Z,,,,,,,,80.00,,,48.00,,,14.40,4.00
2025-10-16T23:00:00Z,,,,,,,,80.00,,,48.00,,,14.40,2.00
2025-10-17T05:00:00Z,,,,,,,,79.00,,,48.00,,,14.40,2.00
2025-10-17T06:00:00Z,,,,,,,,79.00,,,48.00,,,15.00,2.00
2025-10-18T05:00:00Z,,,,,,,,77.88,,,48.00,,,15.00,2.00
2025-10-18T06:00:00Z,,,,,,,,79.00,,,48.00,31.00,20.03,7.00,2.00
2025-10-18T10:00:00Z,,,,,,,,79.00,,,48.00,31.00,20.03,6.10,2.00
2025-10-18T12:00:00Z,,,,,,,,79.00,,,40.00,31.00,20.03,6.10,2.00
2025-10-18T13:00:00Z,,,,,,,,80.28,,,49.62,31.00,20.03,6.10,2.00
2025-10-18T16:00:00Z,,,,,,,,80.28,,,41.00,31.00,20.03,6.10,2.00
2025-10-18T17:00:00Z,,,,,,,,80.28,,,41.00,31.00,20.03,6.00,2.00
