timestamp,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-06-08T00:00:00Z,,,,79.29,,,54.62,,,35.02,,,5.04
2024-06-09T00:00:00Z,,,,79.29,,,57.00,,,33.00,,,11.00
2024-06-10T00:00:00Z,,,,83.17,,,58.00,,,30.10,,,6.68
2024-06-11T00:00:00Z,,,,81.29,,66.00,54.66,44.00,26.10,23.40,,,5.94
2024-06-12T00:00:00Z,,,,83.00,76.00,66.00,54.33,44.00,26.10,21.00,,,5.94
2024-06-13T00:00:00Z,,,,84.00,76.00,67.00,51.99,39.20,26.10,22.00,,,9.40
2024-06-14T00:00:00Z,,,,90.77,81.05,67.00,57.54,44.00,31.99,24.74,,,4.00
2024-06-15T00:00:00Z,92.00,,,78.41,71.44,57.26,48.03,32.93,20.54,10.37,,,3.20
2024-06-16T00:00:00Z,92.00,88.20,86.00,82.00,64.68,48.84,34.32,32.93,12.12,10.00,,,6.64
2024-06-17T00:00:00Z,92.00,89.00,86.00,82.00,65.00,45.74,36.00,24.73,14.46,10.84,,,5.00
2024-06-18T00:00:00Z,92.00,91.10,86.00,84.00,70.11,50.38,43.34,27.18,15.00,14.00,,,5.60
2024-06-19T00:00:00Z,92.24,88.16,86.00,75.41,65.74,46.13,34.56,25.39,15.00,5.23,,,3.29
2024-06-20T00:00:00Z,92.24,95.00,86.00,74.59,58.98,50.65,38.59,25.39,14.72,15.00,,,3.29
2024-06-21T00:00:00Z,92.24,95.00,86.00,95.56,83.91,66.42,48.28,32.00,27.30,19.09,,,3.29
2024-06-22T00:00:00Z,92.24,95.00,86.00,95.56,90.00,66.42,60.97,32.00,32.00,22.00,,,4.88
2024-06-23T00:00:00Z,92.24,95.00,86.00,95.56,90.00,85.00,60.97,62.00,4.50,22.00,,,4.88
2024-06-24T00:00:00Z,92.24,95.00,86.00,95.56,90.00,62.00,48.75,62.00,16.05,15.00,,,4.88
2024-06-25T00:00:00Z,92.24,95.00,86.00,95.56,90.00,66.55,48.88,37.00,15.00,6.00,,,4.88
2024-06-26T00:00:00Z,92.24,95.00,86.00,95.56,88.00,66.55,61.00,37.00,15.00,11.07,,,4.88
2024-06-27T00:00:00Z,99.00,89.00,98.00,95.56,80.06,57.26,41.68,23.79,19.21,11.07,,,4.88
2024-06-28T00:00:00Z,99.00,89.00,98.00,95.00,85.73,78.05,53.17,35.04,16.64,11.07,,,8.00
2024-06-29T00:00:00Z,99.00,89.00,98.00,95.00,90.35,83.04,74.27,54.17,26.10,21.89,11.21,,7.91
2024-06-30T00:00:00Z,99.00,89.00,98.00,95.00,87.16,74.42,56.07,32.52,16.20,12.00,6.00,,4.31
2024-07-01T00:00:00Z,99.00,89.00,98.00,95.00,91.66,78.13,60.80,30.76,14.37,2.00,6.00,,4.31
2024-07-02T00:00:00Z,99.00,99.00,98.00,90.00,89.58,71.09,41.52,19.14,6.34,5.00,6.00,,4.31
2024-07-03T00:00:00Z,99.00,99.00,92.26,79.16,60.30,45.66,19.26,6.00,1.87,2.00,1.16,,1.00
2024-07-04T00:00:00Z,99.00,99.00,97.66,90.31,59.69,26.66,6.06,2.73,1.16,2.00,1.16,,1.00
2024-07-05T00:00:00Z,99.00,97.64,99.00,96.29,78.19,27.96,8.50,2.67,1.16,2.00,1.16,,1.00
2024-07-06T00:00:00Z,99.00,97.64,99.00,99.00,80.71,10.18,1.47,2.67,1.16,2.00,1.00,,1.00
2024-07-07T00:00:00Z,99.00,97.64,99.00,99.00,93.98,15.66,1.18,2.67,1.00,2.00,1.00,,1.00
2024-07-08T00:00:00Z,99.00,97.64,99.00,99.00,96.71,9.15,1.00,2.67,1.00,2.00,1.00,,1.00
