timestamp,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-06-07T14:03:00Z,,,,,,,,,,,,,5.00
2024-06-07T14:09:00Z,,,,,,,,,,,,,4.00
2024-06-07T14:10:00Z,,,,,,,,,,25.00,,,4.00
2024-06-07T14:12:00Z,,,,79.00,,,,,,25.00,,,4.00
2024-06-07T14:14:00Z,,,,79.00,,,,,,25.00,,,5.00
2024-06-07T14:20:00Z,,,,79.00,,,,,,25.00,,,5.00
2024-06-07T14:24:00Z,,,,79.00,,,,,,25.00,,,5.00
2024-06-07T14:28:00Z,,,,79.00,,,53.00,,,25.00,,,5.00
2024-06-07T14:39:00Z,,,,79.00,,,53.00,,,25.00,,,5.00
2024-06-07T15:35:00Z,,,,79.00,,,53.00,,,36.00,,,5.00
2024-06-07T16:26:00Z,,,,79.00,,,54.08,,,36.00,,,5.00
2024-06-07T16:38:00Z,,,,84.00,,,54.08,,,36.00,,,5.00
2024-06-07T17:20:00Z,,,,84.00,,,58.00,,,39.00,,,14.00
2024-06-07T18:05:00Z,,,,84.00,,,58.00,,,39.00,,,14.00
2024-06-07T18:15:00Z,,,,84.00,,,55.00,,,39.00,,,14.00
2024-06-07T19:16:00Z,,,,84.00,,,55.00,,,39.00,,,14.00
2024-06-07T20:44:00Z,,,,84.00,,,57.40,,,39.00,,,14.00
2024-06-07T20:55:00Z,,,,84.00,,,57.40,,,33.00,,,14.00
2024-06-07T22:52:00Z,,,,84.00,,,58.00,,,33.00,,,14.00
2024-06-08T00:59:00Z,,,,84.00,,,58.00,,,38.00,,,14.00
2024-06-08T14:44:00Z,,,,84.00,,,58.00,,,38.00,,,11.00
2024-06-09T00:32:00Z,,,,84.00,,,58.00,,,33.00,,,11.00
2024-06-09T01:37:00Z,,,,84.00,,,57.00,,,33.00,,,11.00
2024-06-09T15:38:00Z,,,,84.00,,,57.00,,,30.00,,,11.00
2024-06-09T16:21:00Z,,,,83.00,,,57.00,,,30.00,,,11.00
2024-06-09T16:54:00Z,,,,83.94,,,57.00,,,30.00,,,11.00
2024-06-09T19:08:00Z,,,,83.94,,,58.00,,,30.00,,,11.00
2024-06-09T19:47:00Z,,,,83.94,,,58.00,,,36.00,,,11.00
2024-06-09T21:25:00Z,,,,83.94,,,58.00,,,36.00,,,11.00
2024-06-09T22:03:00Z,,,,83.94,,,58.00,,,36.00,,,11.00
2024-06-10T01:46:00Z,,,,83.94,,,58.00,,,36.00,,,6.31
2024-06-10T03:27:00Z,,,,83.94,,,58.00,,,36.00,,,12.00
2024-06-10T12:11:00Z,,,,83.94,,,58.00,,,36.00,,,12.00
2024-06-10T13:54:00Z,,,,83.94,,,58.00,,,28.46,,,12.00
2024-06-10T13:57:00Z,,,,83.94,,,58.00,,,27.00,,,12.00
2024-06-10T15:49:00Z,,,,83.94,,,58.00,,,26.00,,,12.00
2024-06-10T15:50:00Z,,,,83.94,,,54.00,,,26.00,,,12.00
2024-06-10T15:51:00Z,,,,83.94,,,54.00,,,26.00,,,12.00
2024-06-10T17:34:00Z,,,,83.94,,,54.00,,28.57,26.00,,,12.00
2024-06-10T18:36:00Z,,,,83.94,,,54.00,,28.57,17.00,,,12.00
2024-06-10T18:45:00Z,,,,83.94,,,54.00,,23.64,18.25,,,12.00
2024-06-10T19:01:00Z,,,,80.00,,,54.00,,23.64,18.25,,,12.00
2024-06-10T19:57:00Z,,,,80.00,,,54.00,,23.64,18.25,,,5.94
2024-06-10T21:35:00Z,,,,84.00,,,54.00,,23.64,18.25,,,5.94
2024-06-10T22:09:00Z,,,,84.00,,66.00,54.00,,23.64,18.25,,,5.94
2024-06-10T23:11:00Z,,,,84.00,,66.00,58.00,,23.64,18.25,,,5.94
2024-06-10T23:37:00Z,,,,84.00,,66.00,58.00,,23.64,18.25,,,5.94
2024-06-11T00:50:00Z,,,,84.00,,66.00,58.00,,23.64,18.25,,,5.94
2024-06-11T01:32:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,5.94
2024-06-11T01:33:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,6.00
2024-06-11T15:34:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,6.00
2024-06-11T16:01:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,6.00
2024-06-11T16:31:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,6.00
2024-06-11T17:39:00Z,,,,84.00,,66.00,58.00,44.00,23.64,18.25,,,6.00
2024-06-11T18:57:00Z,,,,84.00,,66.00,53.00,44.00,23.64,18.25,,,6.00
2024-06-11T20:45:00Z,,,,84.00,,66.00,56.00,44.00,23.64,18.25,,,6.00
2024-06-11T22:54:00Z,,,,83.00,,66.00,56.00,44.00,23.64,18.25,,,6.00
