timestamp,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 43,Above 45,Above 48,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-02-15T00:00:00Z,,,,,,,,64.57,,,,44.82,,,28.63,1.00
2025-02-16T00:00:00Z,,,,,,,,64.62,,31.20,,17.90,,,8.35,8.84
2025-02-17T00:00:00Z,,,,,,,,60.67,,39.90,,22.81,,,8.35,8.84
2025-02-18T00:00:00Z,,,,,,,,57.17,,44.17,,19.94,,,16.25,4.81
2025-02-19T00:00:00Z,,,,,,,,65.90,,58.83,,27.05,,,9.96,1.01
2025-02-20T00:00:00Z,,,,,,,,65.92,,58.93,,21.86,,,10.44,4.00
2025-02-21T00:00:00Z,,,,,,,,61.02,,45.51,,17.51,,,8.11,1.76
2025-02-22T00:00:00Z,,,,,95.75,,,58.90,,45.94,,18.33,,,14.79,1.00
2025-02-23T00:00:00Z,,,,,95.33,,,60.94,,50.60,,31.88,,,12.00,1.00
2025-02-24T00:00:00Z,,,,82.00,95.33,,,63.21,,46.58,,31.88,,,11.00,1.00
2025-02-25T00:00:00Z,,,,80.00,95.33,75.00,,60.78,,44.12,,23.53,,,9.00,2.40
2025-02-26T00:00:00Z,,,,80.00,95.33,75.00,,65.49,,41.97,,24.73,,,9.00,2.40
2025-02-27T00:00:00Z,,,,80.00,75.00,69.00,,61.36,,43.44,,20.90,,,6.26,2.00
2025-02-28T00:00:00Z,,,,96.00,90.00,75.00,,61.68,,45.74,,23.51,,,6.26,2.00
2025-03-01T00:00:00Z,,,,96.00,90.00,75.00,,57.74,,45.19,,20.16,,,6.26,1.00
2025-03-02T00:00:00Z,,,,96.00,90.00,70.00,,53.95,,46.13,,21.57,,,6.60,1.00
2025-03-03T00:00:00Z,,,,96.00,90.00,75.00,,58.38,,43.99,,19.24,,,7.50,1.00
2025-03-04T00:00:00Z,,,,96.00,90.00,78.00,,63.77,,45.25,,23.84,,,8.00,1.00
2025-03-05T00:00:00Z,,,,87.38,90.00,69.09,,60.11,,48.22,,29.71,,,7.79,1.00
2025-03-06T00:00:00Z,,,,87.38,90.00,73.44,,58.50,,44.22,,23.62,,,7.92,1.00
2025-03-07T00:00:00Z,,,,83.00,75.00,76.04,,58.28,,43.30,,26.62,,,7.49,1.00
2025-03-08T00:00:00Z,,,,82.16,88.00,74.00,,63.64,,48.11,,27.41,,,8.76,2.65
2025-03-09T00:00:00Z,,,,91.00,88.00,76.75,,63.35,,49.79,40.00,27.15,,,9.16,2.00
2025-03-10T00:00:00Z,,,,91.00,88.00,77.00,,65.60,,52.79,36.20,30.66,16.00,,9.56,1.00
2025-03-11T00:00:00Z,,,,92.52,85.42,78.00,,62.70,,50.07,36.74,26.68,15.31,,6.75,1.00
2025-03-12T00:00:00Z,,,99.00,87.06,83.23,75.80,,67.16,,54.76,37.74,27.80,14.85,,7.00,1.00
2025-03-13T00:00:00Z,,,98.00,93.00,88.10,73.96,,60.78,,46.45,37.48,23.24,14.00,,5.00,1.00
2025-03-14T00:00:00Z,,,98.00,88.55,89.68,70.37,,55.99,,35.77,33.92,17.95,11.92,,4.00,1.00
2025-03-15T00:00:00Z,,94.00,98.00,91.35,89.46,73.20,,60.90,,44.90,35.04,20.43,10.94,,4.54,1.00
2025-03-16T00:00:00Z,,97.87,98.00,93.59,84.97,78.12,,66.39,,55.31,38.33,24.04,12.99,,6.01,1.00
2025-03-17T00:00:00Z,,97.90,98.00,93.44,90.12,80.29,,78.82,,67.10,55.51,33.89,26.65,20.62,10.70,1.00
2025-03-18T00:00:00Z,,99.00,98.34,94.99,92.46,89.25,,84.10,,73.67,59.33,39.37,29.25,18.20,12.40,1.01
2025-03-19T00:00:00Z,,99.00,97.99,97.35,94.77,87.66,,79.55,,62.96,56.51,44.86,22.94,14.62,11.10,1.00
2025-03-20T00:00:00Z,99.00,97.78,97.06,94.82,91.19,73.78,,48.35,25.90,23.03,10.61,8.46,7.16,2.84,1.81,1.00
2025-03-21T00:00:00Z,99.00,97.78,99.00,99.00,98.99,92.41,61.82,37.65,11.55,4.12,1.02,1.00,1.00,1.00,1.00,1.00
2025-03-22T00:00:00Z,99.00,97.78,99.00,99.00,99.00,98.45,70.82,27.44,2.77,1.55,1.00,1.00,1.00,1.00,1.00,1.00
2025-03-23T00:00:00Z,99.00,97.78,99.00,99.00,99.00,98.21,42.92,2.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2025-03-24T00:00:00Z,99.00,97.78,99.00,99.00,99.00,98.73,58.68,1.62,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
