timestamp,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 43,Above 45,Above 48,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-02-14T16:00:00Z,,,,,,,,65.45,,,,46.05,,,29.04,
2025-02-14T17:00:00Z,,,,,,,,54.47,,,,46.05,,,29.04,
2025-02-14T19:00:00Z,,,,,,,,68.33,,,,46.05,,,29.04,
2025-02-14T20:00:00Z,,,,,,,,61.25,,,,24.51,,,22.40,
2025-02-14T21:00:00Z,,,,,,,,55.00,,,,24.51,,,22.40,
2025-02-14T22:00:00Z,,,,,,,,68.00,,,,24.51,,,20.00,
2025-02-14T23:00:00Z,,,,,,,,68.00,,,,25.00,,,20.00,
2025-02-15T00:00:00Z,,,,,,,,60.00,,,,25.00,,,20.00,
2025-02-15T01:00:00Z,,,,,,,,67.78,,,,24.98,,,10.00,1.00
2025-02-15T02:00:00Z,,,,,,,,60.00,,,,24.98,,,10.00,1.00
2025-02-15T03:00:00Z,,,,,,,,60.00,,,,24.98,,,11.00,1.00
2025-02-15T05:00:00Z,,,,,,,,60.00,,,,16.00,,,11.00,1.00
2025-02-15T06:00:00Z,,,,,,,,60.00,,,,19.00,,,11.00,1.00
2025-02-15T08:00:00Z,,,,,,,,65.00,,,,19.00,,,11.00,1.00
2025-02-15T14:00:00Z,,,,,,,,65.17,,,,22.00,,,11.00,1.00
2025-02-15T15:00:00Z,,,,,,,,65.86,,,,18.00,,,10.00,1.00
2025-02-15T16:00:00Z,,,,,,,,66.00,,,,15.24,,,10.00,1.00
2025-02-15T17:00:00Z,,,,,,,,66.63,,,,24.00,,,10.00,1.00
2025-02-15T18:00:00Z,,,,,,,,66.10,,,,24.00,,,11.00,1.00
2025-02-15T19:00:00Z,,,,,,,,64.22,,,,24.00,,,11.00,1.00
2025-02-15T20:00:00Z,,,,,,,,66.28,,,,24.83,,,11.00,9.00
2025-02-15T21:00:00Z,,,,,,,,65.00,,,,24.05,,,11.00,9.00
2025-02-15T22:00:00Z,,,,,,,,65.00,,,,23.87,,,9.00,1.00
2025-02-15T23:00:00Z,,,,,,,,61.16,,,,23.87,,,9.00,1.00
2025-02-16T01:00:00Z,,,,,,,,55.00,,36.00,,13.00,,,9.00,1.00
2025-02-16T02:00:00Z,,,,,,,,63.00,,36.00,,13.00,,,9.00,1.00
2025-02-16T03:00:00Z,,,,,,,,61.00,,28.00,,12.16,,,8.10,1.00
2025-02-16T05:00:00Z,,,,,,,,59.68,,28.00,,12.16,,,8.10,1.00
2025-02-16T06:00:00Z,,,,,,,,62.00,,41.00,,12.16,,,8.10,1.00
2025-02-16T07:00:00Z,,,,,,,,62.00,,41.00,,23.00,,,8.10,1.00
2025-02-16T14:00:00Z,,,,,,,,62.00,,41.00,,23.00,,,8.10,1.00
2025-02-16T15:00:00Z,,,,,,,,62.00,,40.00,,23.00,,,8.10,1.00
2025-02-16T16:00:00Z,,,,,,,,62.00,,39.79,,23.00,,,8.10,1.00
2025-02-16T17:00:00Z,,,,,,,,62.00,,39.79,,13.33,,,8.10,1.00
2025-02-16T18:00:00Z,,,,,,,,50.00,,39.79,,16.00,,,8.10,1.00
2025-02-16T20:00:00Z,,,,,,,,59.00,,39.91,,27.29,,,8.10,1.00
2025-02-16T22:00:00Z,,,,,,,,61.17,,39.91,,27.29,,,8.10,1.00
2025-02-16T23:00:00Z,,,,,,,,49.79,,36.16,,15.35,,,8.10,1.00
2025-02-17T00:00:00Z,,,,,,,,58.15,,40.95,,21.00,,,8.10,1.00
