timestamp,Above 45,Above 60,Above 75,Above 77,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92
2025-08-16T00:00:00Z,,89.50,67.18,,,,,,15.11,
2025-08-17T00:00:00Z,,92.98,69.37,,,,,,13.91,
2025-08-18T00:00:00Z,,92.98,72.07,,,,,,15.12,
2025-08-19T00:00:00Z,,94.50,77.10,,,,,,10.93,
2025-08-20T00:00:00Z,,94.50,74.00,,,,,,12.19,
2025-08-21T00:00:00Z,,94.50,74.37,,,,,,11.00,
2025-08-22T00:00:00Z,,94.50,75.00,,,,,,8.64,
2025-08-23T00:00:00Z,,91.00,76.33,,59.91,,37.00,,5.57,
2025-08-24T00:00:00Z,,91.00,77.09,,62.29,,36.04,,9.43,
2025-08-25T00:00:00Z,,91.00,75.00,,62.29,,39.00,,18.49,
2025-08-26T00:00:00Z,,91.00,75.00,,64.00,,39.00,,6.60,
2025-08-27T00:00:00Z,,91.00,79.00,,63.35,,36.60,,9.00,
2025-08-28T00:00:00Z,,97.26,80.00,,60.84,,40.00,,11.00,
2025-08-29T00:00:00Z,,97.26,81.00,,64.58,,31.46,,11.00,
2025-08-30T00:00:00Z,,97.26,76.90,,61.00,,33.07,,11.49,
2025-08-31T00:00:00Z,,97.26,78.00,,61.66,,41.91,,13.40,
2025-09-01T00:00:00Z,,93.00,78.00,,62.00,,41.00,,20.08,
2025-09-02T00:00:00Z,,93.00,80.25,,63.17,,42.41,,16.84,
2025-09-03T00:00:00Z,,93.00,81.00,,64.65,,37.00,,14.00,
2025-09-04T00:00:00Z,,93.00,83.00,,79.44,,57.26,,13.04,
2025-09-05T00:00:00Z,,98.97,92.86,,82.83,87.00,62.40,,12.21,
2025-09-06T00:00:00Z,,98.97,92.86,,90.88,87.00,59.71,32.91,10.25,
2025-09-07T00:00:00Z,,99.00,99.00,,90.88,80.07,62.43,32.91,10.25,
2025-09-08T00:00:00Z,,99.00,94.00,99.00,90.88,80.07,62.43,34.72,10.25,
2025-09-09T00:00:00Z,,99.00,91.55,99.00,93.83,86.15,54.92,37.33,8.23,5.00
2025-09-10T00:00:00Z,,99.00,91.55,99.00,90.54,86.00,58.22,25.66,10.91,3.00
2025-09-11T00:00:00Z,,99.00,98.00,99.00,91.00,85.06,62.81,28.21,6.34,2.00
2025-09-12T00:00:00Z,,99.00,98.34,99.00,91.00,94.08,78.42,39.95,8.81,1.02
2025-09-13T00:00:00Z,,99.00,98.34,99.00,97.50,94.99,81.01,81.14,6.66,1.02
2025-09-14T00:00:00Z,,99.00,98.34,99.00,99.00,94.99,98.99,97.31,56.33,1.51
2025-09-15T00:00:00Z,,99.00,99.00,99.00,99.00,94.99,99.00,99.00,75.16,1.00
