timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 77,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-06-11T00:00:00Z,90.86,74.99,79.05,75.93,43.02,,62.37,,36.48,,20.68,
2025-06-12T00:00:00Z,90.86,89.83,83.00,75.70,69.61,,60.86,,47.37,,31.15,
2025-06-13T00:00:00Z,90.86,92.00,92.81,88.06,83.71,,75.67,,55.23,,37.85,
2025-06-14T00:00:00Z,90.86,92.00,92.81,89.50,85.00,,73.67,,58.89,,31.99,
2025-06-15T00:00:00Z,90.86,92.00,92.81,89.00,81.55,,68.89,,54.71,,31.05,
2025-06-16T00:00:00Z,90.86,96.50,92.81,94.59,77.16,,68.54,,49.62,,26.08,
2025-06-17T00:00:00Z,90.86,98.00,92.81,92.88,86.91,,81.02,,62.90,,29.25,14.31
2025-06-18T00:00:00Z,90.86,99.00,94.37,85.35,74.50,63.97,45.39,,23.01,,10.25,6.57
2025-06-19T00:00:00Z,99.00,99.00,99.00,85.35,95.00,85.14,80.04,55.76,24.24,5.62,1.22,1.00
2025-06-20T00:00:00Z,99.00,99.00,99.00,99.00,98.99,94.02,92.47,82.04,46.42,11.34,1.09,1.00
2025-06-21T00:00:00Z,99.00,99.00,99.00,99.00,98.99,98.92,96.65,82.26,32.18,1.08,1.09,1.00
2025-06-22T00:00:00Z,99.00,99.00,99.00,99.00,98.99,98.92,98.41,96.94,19.10,1.00,1.09,1.00
2025-06-23T00:00:00Z,99.00,99.00,99.00,99.00,98.99,99.00,99.00,94.25,2.47,1.00,1.09,1.00
