timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 80
2024-05-21T00:00:00Z,,,,78.00,67.00,44.06,29.23,15.50
2024-05-22T00:00:00Z,,,,75.37,64.14,47.22,26.50,15.50
2024-05-23T00:00:00Z,,,,82.54,73.87,52.25,30.00,17.00
2024-05-24T00:00:00Z,,,,86.14,71.93,60.61,35.00,17.00
2024-05-25T00:00:00Z,,,,76.29,64.81,42.65,28.41,12.46
2024-05-26T00:00:00Z,,88.81,,72.00,57.16,41.05,22.58,10.04
2024-05-27T00:00:00Z,,93.00,85.90,78.73,67.51,47.43,33.15,14.71
2024-05-28T00:00:00Z,,88.79,85.53,76.86,55.79,29.59,18.74,6.84
2024-05-29T00:00:00Z,,84.35,74.49,62.29,48.08,30.34,12.29,5.00
2024-05-30T00:00:00Z,88.54,76.29,66.84,45.54,30.41,8.68,3.96,1.87
2024-05-31T00:00:00Z,97.00,93.90,85.67,69.43,49.44,16.67,3.74,1.00
2024-06-01T00:00:00Z,97.00,97.62,95.42,95.39,74.82,29.28,2.38,1.00
2024-06-02T00:00:00Z,97.00,98.00,97.00,99.00,94.32,25.62,2.00,2.00
2024-06-03T00:00:00Z,97.00,98.00,97.00,99.00,99.00,19.69,1.00,1.00
