timestamp,Above 60,Above 65,Above 70,Above 73,Above 75,Above 77,Above 80,Above 82,Above 85,Above 90,Above 95
2025-04-12T02:00:00Z,,,,,83.00,,,,,,
2025-04-12T05:00:00Z,,,,,83.00,,,,60.00,,
2025-04-12T07:00:00Z,,,,,83.00,,77.00,,60.00,36.00,
2025-04-12T15:00:00Z,,,,,83.00,,77.00,,59.00,36.00,
2025-04-12T19:00:00Z,,,,,83.00,,77.00,,59.00,32.30,
2025-04-12T22:00:00Z,,,,,83.00,,38.00,,41.58,32.30,
2025-04-13T02:00:00Z,,,,,84.00,,38.00,,34.00,16.00,
2025-04-13T03:00:00Z,,,,,84.00,,38.00,,28.30,10.97,
2025-04-13T05:00:00Z,,,,,84.00,,38.00,,28.30,10.97,7.04
2025-04-13T07:00:00Z,,,,,78.60,,38.00,,28.30,10.97,7.04
2025-04-13T21:00:00Z,,,83.00,,71.00,,52.56,,28.30,10.97,7.04
2025-04-14T00:00:00Z,,,83.00,,55.00,,52.56,,28.30,10.97,7.04
2025-04-14T02:00:00Z,,,83.00,,56.00,,52.56,,28.30,10.97,7.04
2025-04-14T04:00:00Z,,,83.00,,56.00,,35.79,,28.30,10.97,7.04
2025-04-14T05:00:00Z,,,83.00,,56.00,,35.79,,19.00,10.97,7.04
2025-04-14T06:00:00Z,,,83.00,,57.00,,35.79,,19.00,10.97,7.04
2025-04-14T13:00:00Z,,,83.00,,52.00,,35.79,,19.00,10.97,7.04
2025-04-14T17:00:00Z,,,83.00,,52.00,,35.79,,19.00,10.97,7.04
2025-04-14T18:00:00Z,,,83.00,,57.00,,37.00,,19.65,10.97,7.04
2025-04-14T20:00:00Z,,,83.00,,57.00,,37.00,,20.00,13.00,7.04
2025-04-14T21:00:00Z,,,83.00,,57.00,,37.00,,20.00,13.00,7.00
2025-04-14T22:00:00Z,,,83.00,,51.00,,37.00,,20.00,13.00,7.00
2025-04-14T23:00:00Z,,,83.00,,51.00,,41.40,,25.16,15.34,7.00
2025-04-15T00:00:00Z,,,83.00,,51.00,,46.15,,25.16,10.00,7.00
2025-04-15T01:00:00Z,,,74.82,,51.00,,45.00,,25.00,10.00,7.52
2025-04-15T03:00:00Z,,,74.82,,51.00,,45.00,,25.00,10.00,9.00
2025-04-15T07:00:00Z,,,74.82,,51.00,,42.00,,25.00,10.00,9.00
2025-04-15T16:00:00Z,,,74.82,,55.00,,36.00,,16.00,5.00,9.00
2025-04-15T17:00:00Z,,,74.82,,59.00,,45.33,,16.00,5.00,9.00
2025-04-15T21:00:00Z,,,74.82,,59.00,,38.00,,17.10,5.00,9.00
2025-04-16T03:00:00Z,,,79.00,,63.00,,35.00,,17.62,10.80,9.00
2025-04-16T04:00:00Z,,,79.00,,63.00,,32.00,,14.00,10.80,9.00
2025-04-16T14:00:00Z,,,79.00,,63.00,,32.00,,15.00,10.80,9.00
2025-04-16T19:00:00Z,,,79.00,,63.00,,32.00,,15.00,10.80,9.00
2025-04-17T02:00:00Z,,,79.00,,62.00,,32.00,,15.00,10.00,9.00
2025-04-17T04:00:00Z,,,79.00,,62.00,,32.00,,15.00,10.57,9.00
2025-04-17T06:00:00Z,,,79.00,,62.00,,35.00,,15.00,10.57,9.00
2025-04-17T14:00:00Z,,,79.00,,62.00,,35.00,,15.00,10.57,9.00
2025-04-17T16:00:00Z,,,79.00,,62.00,,35.00,,15.00,11.00,9.00
2025-04-18T05:00:00Z,,,76.00,,62.00,,35.00,,15.00,11.00,9.00
2025-04-18T15:00:00Z,,,76.00,,57.00,,32.03,,15.00,11.00,9.00
2025-04-18T18:00:00Z,,,76.00,,57.00,,37.39,,19.61,13.41,6.00
2025-04-18T21:00:00Z,,,76.00,,57.00,,34.00,,16.00,13.41,6.00
2025-04-19T03:00:00Z,,,76.00,,57.00,,34.00,,16.00,13.41,6.00
2025-04-19T15:00:00Z,,,76.00,,57.00,,34.00,,23.35,13.41,6.00
2025-04-19T16:00:00Z,,,76.00,,57.00,,37.99,,23.35,13.41,6.00
2025-04-19T18:00:00Z,,,76.00,,57.00,,37.99,,23.35,13.41,6.00
2025-04-20T03:00:00Z,,,76.00,,57.00,,37.99,,24.00,13.41,6.00
2025-04-20T20:00:00Z,,,76.00,,57.00,,37.99,,24.00,7.00,6.00
2025-04-20T21:00:00Z,,,76.00,,57.00,,40.00,,24.00,7.00,6.00
2025-04-21T14:00:00Z,,,76.00,,55.70,,40.00,,24.00,7.00,6.00
2025-04-21T15:00:00Z,,,76.00,,55.70,,40.00,,25.34,6.00,6.00
2025-04-21T16:00:00Z,,,79.00,,62.00,,40.00,,25.34,6.00,6.00
2025-04-21T17:00:00Z,,,78.95,,62.00,,40.00,,25.34,6.00,6.00
2025-04-21T21:00:00Z,,,78.95,,62.00,,40.00,,25.34,6.00,6.00
2025-04-21T23:00:00Z,,,78.95,,57.00,,40.00,,25.34,6.00,6.00
2025-04-22T00:00:00Z,,,81.42,,62.78,,40.00,,25.34,6.00,6.00
2025-04-22T01:00:00Z,,,81.42,,62.78,,40.00,,25.34,12.16,6.00
2025-04-22T02:00:00Z,,,81.42,,62.78,,38.00,,25.34,12.16,6.00
2025-04-22T03:00:00Z,,,81.42,,62.78,,43.76,,25.34,13.89,6.00
2025-04-22T04:00:00Z,,,81.42,,63.00,,43.76,,25.34,13.89,6.00
2025-04-22T05:00:00Z,,,81.42,,63.00,,43.76,,18.16,8.00,6.00
2025-04-22T14:00:00Z,,,81.42,,63.00,,43.76,,18.16,7.00,6.00
2025-04-22T17:00:00Z,,,82.00,,63.00,,43.76,,18.16,7.00,6.00
2025-04-22T23:00:00Z,,,82.00,,63.00,,43.76,,18.16,12.93,6.00
2025-04-23T00:00:00Z,,,82.00,,64.00,,43.76,,18.16,12.93,6.00
2025-04-23T01:00:00Z,,,82.00,,64.00,,43.76,,18.16,12.93,6.00
2025-04-23T15:00:00Z,,,82.00,,64.00,,43.76,,18.16,14.00,6.00
2025-04-23T17:00:00Z,,,82.00,,59.00,,43.76,,18.16,6.91,6.00
2025-04-23T20:00:00Z,,,82.00,,58.00,,43.76,,18.16,6.91,6.00
2025-04-24T06:00:00Z,,,82.00,,56.00,,43.76,,18.16,6.91,6.00
2025-04-24T14:00:00Z,,,82.00,,56.00,,42.00,,18.16,6.91,6.00
2025-04-24T15:00:00Z,,,82.00,,56.00,,42.00,,18.16,6.00,6.00
2025-04-24T19:00:00Z,,,82.00,,59.32,,42.84,,18.16,6.00,6.00
2025-04-24T22:00:00Z,,,82.00,,59.32,,38.00,,18.16,6.00,6.00
2025-04-24T23:00:00Z,,,82.00,,59.32,,38.00,,18.16,6.00,6.00
2025-04-25T02:00:00Z,,,82.00,,59.32,,38.00,,18.16,4.00,6.00
2025-04-25T06:00:00Z,,,82.00,,52.00,,38.00,,18.16,4.00,6.00
2025-04-25T14:00:00Z,,,82.00,,52.00,,29.00,,14.00,4.00,6.00
2025-04-25T18:00:00Z,,,82.00,,52.00,,26.21,,10.47,3.00,1.00
2025-04-25T23:00:00Z,,,79.00,,52.00,,32.00,,10.47,7.00,1.00
2025-04-26T00:00:00Z,,,79.00,,52.00,,24.11,,10.47,7.00,1.00
2025-04-27T00:00:00Z,,,79.00,,52.00,,24.11,,14.00,6.74,4.00
2025-04-27T04:00:00Z,,,79.00,,52.40,,24.11,,14.00,6.74,4.00
2025-04-27T14:00:00Z,,,79.00,,52.40,,24.11,,7.00,6.74,4.00
2025-04-27T17:00:00Z,,,76.00,,53.73,,24.11,,7.00,6.74,4.00
2025-04-27T19:00:00Z,,,76.00,,53.73,,28.03,,7.00,6.74,4.00
2025-04-28T18:00:00Z,,,76.00,,53.00,,28.03,,7.00,6.74,4.00
2025-04-29T16:00:00Z,,,76.00,,54.00,,28.03,,7.00,6.74,4.00
2025-04-29T21:00:00Z,,,76.00,,54.00,,24.00,,7.00,6.74,4.00
2025-04-29T22:00:00Z,,,76.00,,53.98,,24.00,,7.00,6.74,4.00
2025-04-30T00:00:00Z,,,76.00,,53.07,,28.00,,7.00,6.74,4.00
2025-04-30T01:00:00Z,,,72.14,,53.07,,28.00,,7.00,6.74,4.00
2025-04-30T02:00:00Z,,,72.14,,53.07,,28.00,,7.00,6.00,4.00
2025-04-30T13:00:00Z,,,72.14,,54.58,,28.00,,7.00,6.00,4.00
2025-04-30T17:00:00Z,,,75.00,,54.58,,28.00,,14.00,6.00,4.00
2025-04-30T23:00:00Z,,,75.00,,54.58,,28.00,,14.00,6.00,4.00
2025-05-01T02:00:00Z,,,75.00,,46.18,,28.00,,14.00,6.00,4.00
2025-05-01T14:00:00Z,,,75.00,,53.40,,29.72,,14.00,6.00,4.00
2025-05-01T15:00:00Z,,,75.00,,53.40,,24.76,,14.00,6.00,4.00
2025-05-01T16:00:00Z,,,75.00,,53.40,,24.76,,14.00,6.00,4.00
2025-05-01T17:00:00Z,,,75.00,,47.00,,24.76,,14.00,6.00,4.00
2025-05-01T18:00:00Z,,,76.59,,54.18,,30.74,,14.00,6.00,4.00
2025-05-01T20:00:00Z,,,77.00,,54.18,,30.74,,14.00,6.00,4.00
2025-05-01T23:00:00Z,,,77.00,,58.44,,39.06,,17.99,6.00,4.00
2025-05-02T01:00:00Z,,,78.00,,62.34,,39.06,,17.99,6.00,4.00
2025-05-02T02:00:00Z,,,79.00,,62.34,,39.06,,17.99,6.00,4.00
2025-05-02T03:00:00Z,,,79.00,,65.58,,39.06,,17.99,6.00,4.00
2025-05-02T04:00:00Z,,,79.00,,65.00,,39.06,,17.99,6.00,4.00
2025-05-02T05:00:00Z,,,80.00,,64.36,,39.06,,17.99,6.00,4.00
2025-05-02T13:00:00Z,,,75.57,,59.49,,34.00,,11.00,6.00,4.00
2025-05-02T14:00:00Z,,,75.57,,51.00,,34.00,,11.00,6.00,4.00
2025-05-02T15:00:00Z,,,70.00,,51.66,,34.00,,11.00,6.00,4.00
2025-05-02T16:00:00Z,,,74.00,,51.66,,34.00,,15.00,6.00,4.00
2025-05-02T17:00:00Z,,,75.00,,51.66,,34.00,,14.00,6.00,4.00
2025-05-02T19:00:00Z,,,74.00,,60.00,,34.00,,14.00,6.00,4.00
2025-05-02T21:00:00Z,,,74.00,,60.00,,34.00,,14.00,6.00,4.00
2025-05-02T22:00:00Z,,,67.62,,53.89,,26.60,,14.00,6.00,4.00
2025-05-02T23:00:00Z,,,63.33,,41.39,,19.78,,14.00,6.00,4.00
2025-05-03T00:00:00Z,,,51.37,,27.71,,13.00,,14.00,6.00,4.00
2025-05-03T01:00:00Z,,,51.37,,26.00,,13.00,,14.00,6.00,4.00
2025-05-03T05:00:00Z,,,54.00,,30.63,,13.00,,14.00,6.00,4.00
2025-05-03T07:00:00Z,,,55.00,,31.00,,13.00,,9.00,6.00,4.00
2025-05-03T13:00:00Z,,,55.00,,27.00,,13.00,,9.00,6.00,4.00
2025-05-03T14:00:00Z,,,55.00,,27.00,,14.00,,9.00,6.00,4.00
2025-05-03T15:00:00Z,,,56.56,,31.19,,14.00,,9.00,4.00,4.00
2025-05-03T16:00:00Z,,,56.56,,31.19,,10.01,,9.00,4.00,4.00
2025-05-03T18:00:00Z,,,56.56,,31.19,,9.16,,9.00,4.00,4.00
2025-05-03T20:00:00Z,,,56.98,,32.00,,8.08,,9.00,4.00,4.00
2025-05-03T21:00:00Z,,,49.00,,32.00,,8.08,,9.00,4.00,4.00
2025-05-03T22:00:00Z,,,49.00,,31.73,,13.47,,9.00,4.00,4.00
2025-05-03T23:00:00Z,,,49.00,,31.73,,14.00,,9.00,4.00,4.00
2025-05-04T00:00:00Z,,,56.00,,27.00,,14.00,,9.00,4.00,4.00
2025-05-04T05:00:00Z,,,56.94,,32.00,,14.00,,9.00,4.00,4.00
2025-05-04T06:00:00Z,,,56.94,,32.37,,14.00,,9.00,4.00,4.00
2025-05-04T07:00:00Z,,,56.94,,32.37,,14.00,,9.00,1.00,4.00
2025-05-04T13:00:00Z,,,56.94,,26.00,,14.00,,9.00,1.00,4.00
2025-05-04T15:00:00Z,,,56.94,,26.00,,14.00,,9.00,1.00,4.00
2025-05-04T17:00:00Z,,,56.94,,30.76,,11.00,,9.00,1.00,4.00
2025-05-04T18:00:00Z,,,56.94,,30.76,,12.00,,9.00,1.00,4.00
2025-05-04T19:00:00Z,,,56.94,,30.76,,12.00,,3.00,1.00,4.00
2025-05-04T22:00:00Z,,,57.00,,30.76,,12.00,,3.00,1.00,4.00
2025-05-04T23:00:00Z,,,57.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T00:00:00Z,,,57.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T01:00:00Z,,,57.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T03:00:00Z,,,57.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T05:00:00Z,,,50.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T06:00:00Z,,,50.00,,32.00,,12.00,,3.00,1.00,4.00
2025-05-05T07:00:00Z,,,50.00,,30.00,,12.00,,3.00,1.00,4.00
2025-05-05T14:00:00Z,,80.36,57.29,,30.00,,12.00,,3.00,1.00,4.00
2025-05-05T15:00:00Z,,80.36,57.29,,30.84,,12.00,,3.00,1.00,4.00
2025-05-05T16:00:00Z,,80.36,57.29,,31.97,,12.00,,3.00,1.00,4.00
2025-05-05T17:00:00Z,,80.36,77.62,,42.86,,15.92,,3.00,1.00,4.00
2025-05-05T18:00:00Z,,80.36,76.80,,57.85,,32.66,,5.02,1.00,4.00
2025-05-05T19:00:00Z,,80.36,78.40,,61.20,,31.00,,5.02,1.00,4.00
2025-05-05T20:00:00Z,,80.36,78.40,,60.00,,27.07,,9.00,1.00,4.00
2025-05-05T21:00:00Z,,86.78,75.36,,51.41,,21.49,,9.00,1.00,4.00
2025-05-05T22:00:00Z,,83.02,66.13,,41.17,,21.49,,9.00,1.00,4.00
2025-05-05T23:00:00Z,,83.02,66.13,,38.50,,21.49,,8.00,1.00,4.00
2025-05-06T00:00:00Z,,83.02,67.00,,38.50,,19.00,,8.00,1.00,4.00
2025-05-06T01:00:00Z,,88.93,69.24,,37.74,,19.32,,8.14,2.00,4.00
2025-05-06T02:00:00Z,,88.93,69.24,,46.32,,19.32,,8.14,2.00,4.00
2025-05-06T03:00:00Z,,88.93,66.79,,41.63,,20.00,,8.14,2.00,4.00
2025-05-06T04:00:00Z,,88.93,63.73,,43.00,,20.23,,8.14,2.00,4.00
2025-05-06T05:00:00Z,95.00,84.01,63.73,,40.99,,20.00,,8.14,2.00,4.00
2025-05-06T06:00:00Z,95.00,84.01,63.73,,41.00,,15.00,,8.14,2.00,4.00
2025-05-06T07:00:00Z,95.00,87.00,63.73,,41.00,,15.00,,8.14,2.00,4.00
2025-05-06T13:00:00Z,95.00,87.00,65.63,,44.95,,15.00,,8.14,2.00,4.00
2025-05-06T14:00:00Z,95.00,87.00,65.63,,44.95,,21.79,,8.14,2.00,4.00
