timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95
2025-04-05T00:00:00Z,81.84,45.08,,,23.84,,,,,5.50,,
2025-04-06T00:00:00Z,75.11,47.00,,,22.06,,,,,5.50,,
2025-04-07T00:00:00Z,66.92,44.11,,,22.06,,,,,5.50,,
2025-04-08T00:00:00Z,73.15,44.16,13.00,,19.69,,,,,5.50,,
2025-04-09T00:00:00Z,75.12,50.50,13.00,,19.69,,,,,5.50,,
2025-04-10T00:00:00Z,76.95,52.13,24.30,13.00,10.00,4.00,,,,5.50,,
2025-04-11T00:00:00Z,70.00,51.08,24.30,13.00,21.85,4.00,,,,7.00,,
2025-04-12T00:00:00Z,80.00,49.85,29.00,13.00,17.00,4.00,,,,7.00,,
2025-04-13T00:00:00Z,80.00,49.95,29.00,31.69,25.68,21.25,,,,7.00,,
2025-04-14T00:00:00Z,81.57,52.00,29.00,31.69,24.00,21.25,,,,7.63,,
2025-04-15T00:00:00Z,74.71,53.54,43.73,31.69,24.00,21.25,,,,7.63,,
2025-04-16T00:00:00Z,81.06,49.00,30.00,30.75,11.00,4.00,,,,8.00,,
2025-04-17T00:00:00Z,75.15,48.31,38.78,27.00,12.00,5.00,,,,8.00,,
2025-04-18T00:00:00Z,82.00,48.00,27.85,27.00,12.00,5.00,,,,8.00,,
2025-04-19T00:00:00Z,82.00,57.34,27.00,16.00,11.00,5.00,,,,8.00,,
2025-04-20T00:00:00Z,76.88,57.25,27.00,32.00,11.00,5.00,,,,8.00,,
2025-04-21T00:00:00Z,80.00,51.63,27.00,32.00,11.00,5.00,,,,8.00,,
2025-04-22T00:00:00Z,81.64,63.06,40.40,32.00,18.64,5.00,,,,8.00,,
2025-04-23T00:00:00Z,82.00,63.00,40.40,32.00,13.00,5.00,,17.00,,8.00,,
2025-04-24T00:00:00Z,78.44,54.59,40.40,32.00,13.00,5.00,,17.00,,8.00,,
2025-04-25T00:00:00Z,74.45,54.59,40.40,33.00,15.00,5.00,,17.00,,8.00,,
2025-04-26T00:00:00Z,73.29,49.77,29.00,33.00,12.52,5.00,,17.00,,7.00,,
2025-04-27T00:00:00Z,83.60,54.23,29.00,18.00,12.52,5.00,,17.00,,7.00,,
2025-04-28T00:00:00Z,83.60,52.01,29.00,18.00,12.52,5.00,,17.00,,7.00,,
2025-04-29T00:00:00Z,83.61,53.00,34.50,18.00,17.00,5.00,,17.00,,7.00,,
2025-04-30T00:00:00Z,86.43,62.20,41.82,18.00,18.05,5.00,,17.00,,7.00,,
2025-05-01T00:00:00Z,90.36,79.74,66.99,43.07,28.08,21.33,,17.00,,7.00,,
2025-05-02T00:00:00Z,91.85,86.98,75.64,49.30,30.33,17.04,,17.00,,7.00,,
2025-05-03T00:00:00Z,92.27,84.78,71.45,49.82,26.40,17.00,,17.00,,7.00,,
2025-05-04T00:00:00Z,92.05,81.00,71.54,49.08,31.41,20.22,,17.00,,7.00,,
2025-05-05T00:00:00Z,92.00,81.00,71.70,48.85,32.00,20.22,,17.00,,7.00,,
2025-05-06T00:00:00Z,92.13,78.58,68.57,48.38,29.63,18.33,,17.00,,7.00,,
2025-05-07T00:00:00Z,94.00,78.51,70.92,46.77,28.58,19.00,,12.00,,7.00,,
2025-05-08T00:00:00Z,93.79,82.09,66.53,43.86,28.34,19.00,,12.00,,7.00,,
2025-05-09T00:00:00Z,96.52,78.03,73.91,51.27,35.17,22.41,,12.00,,3.00,,
2025-05-10T00:00:00Z,96.20,87.21,82.98,68.79,44.21,27.72,,13.40,,3.33,,
2025-05-11T00:00:00Z,96.55,91.78,81.13,75.00,50.81,27.83,,13.96,,4.50,,
2025-05-12T00:00:00Z,96.00,86.82,79.53,68.72,44.05,28.56,,12.58,,3.98,,
2025-05-13T00:00:00Z,96.00,87.31,84.59,76.81,52.48,35.95,,14.55,,3.00,,
2025-05-14T00:00:00Z,99.00,97.90,97.79,96.14,77.76,66.45,70.31,36.18,,9.37,,3.00
2025-05-15T00:00:00Z,99.00,99.00,97.79,99.00,95.38,92.60,86.29,79.82,70.24,36.19,33.34,4.76
2025-05-16T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.45,96.52,92.03,83.02,64.06,35.92,4.88
2025-05-17T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.91,98.75,95.01,90.10,69.78,35.42,2.08
2025-05-18T00:00:00Z,99.00,99.00,99.00,98.11,99.00,98.99,99.00,98.90,97.15,88.22,53.81,1.00
2025-05-19T00:00:00Z,99.00,99.00,99.00,98.11,99.00,99.00,99.00,99.00,99.00,95.99,70.45,1.00
