timestamp,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2025-11-13T00:00:00Z,,,,,,,,38.12,18.54,4.74,
2025-11-14T00:00:00Z,,,,,,,,35.92,11.60,8.88,3.50
2025-11-15T00:00:00Z,,,,,,,,38.69,14.28,9.95,6.00
2025-11-16T00:00:00Z,,,,,,,,33.51,13.72,9.91,6.00
2025-11-17T00:00:00Z,,,,,,,,32.54,16.82,5.12,6.00
2025-11-18T00:00:00Z,,,,,,,,33.45,14.81,6.00,6.00
2025-11-19T00:00:00Z,,,,,,,,32.49,17.42,7.28,3.00
2025-11-20T00:00:00Z,,,,,,,,30.75,16.05,8.36,3.00
2025-11-21T00:00:00Z,,,,,75.00,,,26.94,16.28,7.70,3.00
2025-11-22T00:00:00Z,92.00,81.00,68.00,,40.40,,22.00,13.47,7.87,3.79,4.00
2025-11-23T00:00:00Z,89.05,81.96,68.17,54.49,42.88,31.53,23.71,15.44,4.76,3.79,4.00
2025-11-24T00:00:00Z,89.05,81.96,68.17,54.49,72.21,65.00,25.00,15.44,9.33,4.59,4.00
2025-11-25T00:00:00Z,89.05,81.96,97.33,91.00,72.21,68.00,44.67,18.59,10.48,5.00,4.00
2025-11-26T00:00:00Z,99.00,99.00,99.00,91.10,63.59,62.00,44.87,30.48,14.18,10.60,3.50
2025-11-27T00:00:00Z,99.00,99.00,80.32,70.17,57.64,50.22,34.16,25.56,12.48,8.28,4.12
2025-11-28T00:00:00Z,99.00,88.00,84.56,65.92,62.66,62.56,44.35,29.91,19.27,3.53,4.12
2025-11-29T00:00:00Z,99.00,99.00,96.00,94.00,74.08,54.93,48.14,30.29,27.97,5.93,4.45
2025-11-30T00:00:00Z,99.00,99.00,98.00,93.00,72.61,61.96,45.87,29.64,19.98,8.58,3.99
2025-12-01T00:00:00Z,99.00,99.00,98.00,93.00,71.53,55.77,41.78,30.44,16.61,8.26,2.12
2025-12-02T00:00:00Z,99.00,99.00,95.90,89.45,66.57,56.09,44.53,32.48,14.21,5.59,1.08
2025-12-03T00:00:00Z,92.00,99.00,96.00,90.64,72.91,58.74,24.15,33.11,14.53,5.58,1.00
2025-12-04T00:00:00Z,92.00,96.97,95.05,82.27,71.43,60.80,42.68,28.42,11.92,3.28,1.00
2025-12-05T00:00:00Z,91.52,62.77,31.14,20.78,14.10,8.76,3.19,3.55,1.63,1.13,1.00
2025-12-06T00:00:00Z,85.95,28.76,7.21,2.95,1.56,1.61,1.00,1.00,1.00,1.00,1.00
2025-12-07T00:00:00Z,97.05,10.21,2.05,1.19,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2025-12-08T00:00:00Z,98.16,3.11,1.16,1.01,1.01,1.00,1.00,1.00,1.00,1.00,1.00
