timestamp,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2025-11-12T16:00:00Z,,,,,,,,33.00,,,
2025-11-12T17:00:00Z,,,,,,,,33.00,,4.56,
2025-11-12T20:00:00Z,,,,,,,,29.88,,4.56,
2025-11-12T21:00:00Z,,,,,,,,41.23,20.57,4.00,
2025-11-12T22:00:00Z,,,,,,,,37.50,16.93,6.52,
2025-11-12T23:00:00Z,,,,,,,,35.50,18.53,6.52,
2025-11-13T00:00:00Z,,,,,,,,35.50,18.62,6.52,
2025-11-13T01:00:00Z,,,,,,,,33.00,13.00,6.52,
2025-11-13T02:00:00Z,,,,,,,,38.00,13.00,6.52,
2025-11-13T03:00:00Z,,,,,,,,37.00,12.00,6.52,
2025-11-13T04:00:00Z,,,,,,,,37.71,12.00,6.52,
2025-11-13T05:00:00Z,,,,,,,,38.00,12.00,6.52,
2025-11-13T06:00:00Z,,,,,,,,35.00,11.57,6.52,
2025-11-13T07:00:00Z,,,,,,,,35.00,11.57,6.52,3.50
2025-11-13T08:00:00Z,,,,,,,,37.87,11.57,6.52,3.50
2025-11-13T13:00:00Z,,,,,,,,39.00,11.57,4.00,3.50
2025-11-13T14:00:00Z,,,,,,,,33.71,11.57,4.00,3.50
2025-11-13T16:00:00Z,,,,,,,,33.71,13.66,4.00,3.50
2025-11-13T17:00:00Z,,,,,,,,33.71,13.66,9.00,3.50
2025-11-13T18:00:00Z,,,,,,,,31.42,13.66,9.00,3.50
2025-11-13T19:00:00Z,,,,,,,,31.42,13.66,6.00,3.50
2025-11-13T20:00:00Z,,,,,,,,37.31,14.00,6.00,3.50
2025-11-13T21:00:00Z,,,,,,,,38.00,14.00,6.00,3.50
2025-11-14T01:00:00Z,,,,,,,,38.00,12.00,6.00,3.50
2025-11-14T02:00:00Z,,,,,,,,38.00,12.00,9.00,3.50
2025-11-14T04:00:00Z,,,,,,,,39.01,12.00,9.00,3.50
2025-11-14T05:00:00Z,,,,,,,,38.00,12.00,9.00,3.50
2025-11-14T06:00:00Z,,,,,,,,40.00,12.00,9.00,3.50
