timestamp,Above 45,Above 60,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95,Above 97
2024-03-22T00:00:00Z,92.00,,,,,,,,,
2024-03-23T00:00:00Z,92.00,,73.00,,,,,,,8.00
2024-03-25T00:00:00Z,92.00,88.36,75.00,,,,,,,6.00
2024-03-26T00:00:00Z,92.00,91.00,75.00,,,,,29.66,,6.00
2024-03-27T00:00:00Z,92.00,91.00,77.00,,,,,33.16,,6.00
2024-03-28T00:00:00Z,92.00,91.00,77.00,,,,,26.21,,6.00
2024-03-29T00:00:00Z,92.00,91.00,74.00,,,,,26.21,,6.00
2024-03-31T00:00:00Z,92.00,91.00,74.00,,,,,26.21,,6.00
2024-04-02T00:00:00Z,92.00,91.00,71.00,,,,,29.32,,7.00
2024-04-04T00:00:00Z,95.00,91.00,70.83,,,,,30.00,,7.00
2024-04-05T00:00:00Z,95.00,91.00,70.83,,,,,30.00,,7.86
2024-04-06T00:00:00Z,95.00,91.00,70.83,,,,,30.50,,8.00
2024-04-07T00:00:00Z,95.00,91.00,75.00,,,,,30.50,,8.00
2024-04-09T00:00:00Z,95.00,91.00,75.00,,,,,31.00,,8.00
2024-04-10T00:00:00Z,95.00,91.00,75.00,,,,,31.00,,8.00
2024-04-11T00:00:00Z,95.00,91.00,75.00,,,,,32.00,,8.00
2024-04-13T00:00:00Z,95.00,91.00,77.00,,,,,32.00,,8.00
2024-04-14T00:00:00Z,95.00,91.00,77.00,,,,,32.77,,8.00
2024-04-16T00:00:00Z,95.00,91.00,77.00,,,,,34.40,,8.00
2024-04-17T00:00:00Z,95.00,91.00,77.00,,,,,33.00,,8.00
2024-04-18T00:00:00Z,95.00,91.00,78.00,,,,,31.00,,5.00
2024-04-19T00:00:00Z,95.00,91.00,78.00,,,,,35.00,,5.00
2024-04-20T00:00:00Z,96.00,93.00,79.00,,,,,35.00,,5.00
2024-04-21T00:00:00Z,96.00,93.00,80.85,,,,,37.98,,5.00
2024-04-22T00:00:00Z,96.00,93.00,80.00,,,,,34.07,,5.00
2024-04-23T00:00:00Z,96.00,93.00,80.00,,,,,40.82,,5.00
2024-04-24T00:00:00Z,96.00,95.00,85.00,,,,,47.00,,5.00
2024-04-25T00:00:00Z,96.00,95.00,85.00,,,,,50.36,,5.00
2024-04-26T00:00:00Z,96.00,95.00,87.00,,,,,50.87,,8.50
2024-04-27T00:00:00Z,96.00,95.00,87.00,,,,,49.14,,8.50
2024-04-28T00:00:00Z,96.00,95.00,86.00,,,,,51.00,,5.00
2024-04-29T00:00:00Z,96.00,95.00,87.00,,,,,52.41,,5.00
2024-04-30T00:00:00Z,96.00,95.00,83.00,,,,,48.52,,5.00
2024-05-01T00:00:00Z,96.00,95.00,83.00,,,,,53.00,,5.00
2024-05-02T00:00:00Z,96.00,95.00,83.00,,,,,47.61,,4.00
2024-05-03T00:00:00Z,99.00,97.00,87.83,,,,,46.38,,4.00
2024-05-04T00:00:00Z,98.00,97.00,86.89,,,,,41.75,,4.00
2024-05-05T00:00:00Z,98.00,97.00,87.25,,,,,45.00,,4.00
2024-05-06T00:00:00Z,98.00,97.00,89.00,,,,,42.31,,5.00
2024-05-07T00:00:00Z,98.00,97.00,85.91,,,,,50.06,,5.25
2024-05-08T00:00:00Z,98.00,97.00,92.90,85.00,,72.00,,52.26,,5.34
2024-05-09T00:00:00Z,98.00,97.00,92.90,87.00,,74.56,,45.85,,5.00
2024-05-10T00:00:00Z,98.00,97.00,95.00,83.00,,73.03,,47.92,,6.30
2024-05-11T00:00:00Z,98.00,97.00,95.00,87.00,,74.65,,44.84,,6.00
2024-05-12T00:00:00Z,98.00,97.00,95.00,86.00,,71.96,,38.73,,6.00
2024-05-13T00:00:00Z,98.00,97.00,95.00,86.00,,71.96,,45.96,,6.00
2024-05-14T00:00:00Z,99.00,97.00,91.71,89.34,,83.74,,56.93,,6.33
2024-05-15T00:00:00Z,99.00,97.00,97.00,93.69,,89.26,,66.76,30.52,6.68
2024-05-16T00:00:00Z,99.00,97.00,97.00,74.32,,45.09,,28.17,21.82,2.34
2024-05-17T00:00:00Z,99.00,98.10,96.61,76.45,,41.97,,12.20,2.45,1.02
2024-05-18T00:00:00Z,98.00,97.00,91.39,68.63,,26.68,,4.79,3.29,1.02
2024-05-19T00:00:00Z,98.00,97.00,94.07,71.87,,31.11,,7.48,3.00,1.02
2024-05-20T00:00:00Z,98.00,97.00,95.01,76.80,,31.91,,2.70,3.00,1.16
2024-05-21T00:00:00Z,98.00,97.00,96.87,79.33,51.39,23.04,7.63,3.59,1.91,1.00
2024-05-22T00:00:00Z,99.00,98.69,98.99,91.18,76.13,45.56,19.38,4.99,1.58,1.00
2024-05-23T00:00:00Z,99.00,98.00,98.99,97.32,92.31,80.48,40.22,9.25,1.76,1.00
2024-05-24T00:00:00Z,99.00,98.00,99.00,97.77,97.99,93.15,69.67,12.37,3.35,1.00
2024-05-25T00:00:00Z,99.00,98.00,99.00,98.83,97.15,99.00,93.64,30.49,2.00,1.00
2024-05-26T00:00:00Z,99.00,98.00,99.00,99.00,97.15,99.00,95.75,3.99,2.00,1.71
2024-05-27T00:00:00Z,99.00,98.00,99.00,99.00,99.00,99.00,96.96,2.93,2.00,1.00
