timestamp,Above 40,Above 45,Above 50,Above 60,Above 64,Above 75,Above 90
2024-02-24T00:00:00Z,,69.00,,42.40,35.37,23.30,8.23
2024-02-26T00:00:00Z,,69.00,,42.40,35.37,17.00,8.23
2024-02-27T00:00:00Z,,69.00,,40.01,36.00,17.00,8.23
2024-02-29T00:00:00Z,,69.00,,40.63,36.00,17.00,8.23
2024-03-01T00:00:00Z,,69.00,,35.33,34.00,18.00,3.93
2024-03-02T00:00:00Z,,66.00,,36.48,34.00,18.00,3.93
2024-03-04T00:00:00Z,,67.00,,39.00,30.97,18.00,3.93
2024-03-05T00:00:00Z,,67.00,,37.00,30.97,18.00,3.93
2024-03-09T00:00:00Z,,67.00,,37.56,30.97,18.00,3.93
2024-03-10T00:00:00Z,,63.00,,37.56,30.97,18.00,3.93
2024-03-11T00:00:00Z,,63.00,,34.00,31.91,11.00,3.93
2024-03-12T00:00:00Z,,65.00,,39.96,34.97,14.97,3.93
2024-03-13T00:00:00Z,,71.64,,40.64,34.97,14.00,3.93
2024-03-14T00:00:00Z,,72.90,,41.35,33.42,14.00,3.93
2024-03-15T00:00:00Z,,76.66,,44.54,34.47,17.22,3.93
2024-03-16T00:00:00Z,,76.66,,50.62,45.31,28.18,3.93
2024-03-17T00:00:00Z,,76.66,,50.62,47.00,29.29,3.93
2024-03-18T00:00:00Z,,76.66,,60.00,50.78,27.00,3.93
2024-03-19T00:00:00Z,,86.52,,60.00,49.51,26.65,7.00
2024-03-20T00:00:00Z,,84.97,,61.37,53.12,29.37,7.00
2024-03-21T00:00:00Z,69.24,53.40,17.14,22.63,25.12,9.19,2.50
2024-03-22T00:00:00Z,85.68,49.97,8.36,1.50,25.12,9.19,2.50
2024-03-23T00:00:00Z,89.42,20.35,3.04,1.00,25.12,9.19,2.50
2024-03-24T00:00:00Z,88.12,7.24,3.67,1.00,25.12,9.19,2.50
2024-03-25T00:00:00Z,94.11,5.82,2.84,1.00,25.12,9.19,2.50
