timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 75,Above 76,Above 90
2024-03-21T00:00:00Z,84.00,,,69.37,,51.47,51.04,
2024-03-22T00:00:00Z,84.00,,,60.04,,40.00,37.89,
2024-03-23T00:00:00Z,81.01,,,56.81,,28.58,28.24,
2024-03-24T00:00:00Z,83.80,,,55.93,,33.95,28.13,
2024-03-25T00:00:00Z,79.83,,,50.56,,23.28,20.33,4.00
2024-03-26T00:00:00Z,76.46,,,44.64,,13.20,13.07,5.00
2024-03-27T00:00:00Z,71.16,,,44.52,,10.23,10.13,5.00
2024-03-28T00:00:00Z,75.83,,,44.58,,9.22,5.25,1.16
2024-03-29T00:00:00Z,94.10,92.61,72.34,35.71,8.84,1.56,1.27,1.00
2024-03-30T00:00:00Z,97.88,62.20,13.88,3.32,2.37,1.00,1.05,2.52
2024-03-31T00:00:00Z,98.33,92.67,47.52,3.58,8.00,1.00,1.05,2.52
2024-04-01T00:00:00Z,99.00,92.67,36.75,7.13,4.61,1.00,1.49,2.52
