timestamp,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2025-06-23T15:00:00Z,,,,,,81.07,,,54.00,,,33.21,6.00
2025-06-23T16:00:00Z,,,,,,81.07,,,48.41,,,33.21,6.00
2025-06-23T17:00:00Z,,,,,,81.07,,,48.41,,,24.00,6.00
2025-06-23T18:00:00Z,,,,,,65.65,,,48.12,,,24.00,6.85
2025-06-23T19:00:00Z,,,,,,67.00,,,39.00,,,24.00,6.85
2025-06-23T20:00:00Z,,,,,,64.82,,,41.55,,,25.94,6.85
2025-06-23T21:00:00Z,,,,,,66.04,,,44.05,,,25.94,6.00
2025-06-23T22:00:00Z,,,,,,69.24,,,44.93,,,26.00,6.00
2025-06-23T23:00:00Z,,,,,,70.34,,,48.43,,,26.00,6.00
2025-06-24T00:00:00Z,,,,,,68.80,,,47.34,,,24.33,7.00
2025-06-24T01:00:00Z,,,,,,71.77,,,49.00,,,22.66,7.00
2025-06-24T02:00:00Z,,,,,,72.98,,,47.51,,,26.24,7.00
2025-06-24T03:00:00Z,,,,,,68.58,,,49.96,,,26.24,7.00
2025-06-24T04:00:00Z,,,,,,75.98,,,50.72,,,28.00,7.00
2025-06-24T05:00:00Z,,,,,,63.29,,,42.48,,,23.98,7.00
2025-06-24T06:00:00Z,,,,,,63.29,,,55.00,,,30.60,7.00
2025-06-24T07:00:00Z,,,,,,74.24,,,55.00,,,27.00,9.69
2025-06-24T13:00:00Z,,,,,,65.03,,,52.00,,,24.19,6.00
2025-06-24T14:00:00Z,,,,,,64.52,,,39.25,,,24.19,6.00
2025-06-24T15:00:00Z,,,,,,67.00,,,44.30,,,20.00,7.81
2025-06-24T16:00:00Z,,,,,,69.00,,,47.00,,,21.68,7.81
2025-06-24T17:00:00Z,,,,,,71.50,,,47.00,,,21.68,7.81
2025-06-24T18:00:00Z,,,,,,69.00,,,46.91,,,22.04,7.81
2025-06-24T19:00:00Z,,,,,,72.17,,,42.04,,,16.00,7.81
2025-06-24T20:00:00Z,,,,,,71.03,,,39.97,,,16.00,7.81
2025-06-24T21:00:00Z,,,,,,70.08,,,42.95,,,22.00,6.70
2025-06-24T22:00:00Z,,,,,,72.65,,,47.03,,,22.00,6.70
2025-06-24T23:00:00Z,,,,,,73.38,,,46.26,,,18.00,6.00
2025-06-25T00:00:00Z,,,,,,73.38,,,44.54,,,29.31,6.00
2025-06-25T01:00:00Z,,,,,,72.00,,,44.54,,,31.00,6.00
2025-06-25T02:00:00Z,,,,,,76.50,,,44.54,,,30.86,6.00
2025-06-25T03:00:00Z,,,,,,75.00,,,46.47,,,30.86,6.00
2025-06-25T04:00:00Z,,,,,,72.45,,,47.81,,,30.86,8.00
2025-06-25T05:00:00Z,,,,,,72.00,,,46.62,,,24.65,8.00
2025-06-25T06:00:00Z,,,,,,72.00,,,51.57,,,24.65,8.00
2025-06-25T07:00:00Z,,,,,,76.77,,,52.14,,,24.65,8.00
2025-06-25T14:00:00Z,,,,,,76.77,,,53.00,,,24.65,8.00
2025-06-25T15:00:00Z,,,,,,77.21,,,53.00,,,29.88,8.00
