timestamp,Above 45,Above 60,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-01-11T00:00:00Z,84.00,57.22,35.07,,,,,8.00,
2025-01-12T00:00:00Z,83.33,62.63,34.87,,,,,10.43,
2025-01-13T00:00:00Z,83.33,61.15,37.37,,,,,3.00,
2025-01-14T00:00:00Z,80.22,63.11,40.31,,,,,7.00,
2025-01-15T00:00:00Z,84.00,63.11,40.31,,,,,8.00,
2025-01-16T00:00:00Z,85.43,64.83,40.00,,,,,6.49,
2025-01-17T00:00:00Z,84.23,64.08,33.77,,,,,1.89,
2025-01-18T00:00:00Z,84.89,64.33,32.37,,,,,1.89,
2025-01-19T00:00:00Z,83.63,65.32,31.88,,,,,1.89,
2025-01-20T00:00:00Z,80.39,60.99,30.92,,,,,1.89,
2025-01-21T00:00:00Z,80.21,63.24,30.06,,,,,4.71,
2025-01-22T00:00:00Z,85.65,64.83,33.08,,,,,6.00,
2025-01-23T00:00:00Z,84.00,66.08,31.00,,,,,6.24,
2025-01-24T00:00:00Z,85.84,63.69,31.88,,,,,5.96,
2025-01-25T00:00:00Z,84.88,66.79,34.06,,,,,5.88,
2025-01-26T00:00:00Z,76.50,63.97,33.50,,,,,4.43,
2025-01-27T00:00:00Z,82.72,69.32,33.29,,,,,5.27,
2025-01-28T00:00:00Z,85.60,72.35,35.02,,,,,5.63,
2025-01-29T00:00:00Z,86.79,71.42,39.33,,,,,4.11,
2025-01-30T00:00:00Z,88.52,74.70,49.26,,,,,6.85,
2025-01-31T00:00:00Z,89.88,81.24,61.50,,,,,11.60,
2025-02-01T00:00:00Z,96.25,95.01,76.36,66.85,,33.22,,7.27,
2025-02-02T00:00:00Z,98.24,97.00,91.84,74.70,,47.45,,22.59,2.00
2025-02-03T00:00:00Z,98.24,98.74,94.56,86.12,,61.55,,30.67,1.00
2025-02-04T00:00:00Z,98.24,98.19,97.72,88.95,,72.90,,36.06,2.74
2025-02-05T00:00:00Z,99.00,99.00,97.36,89.49,,77.68,,33.57,2.24
2025-02-06T00:00:00Z,99.00,99.00,95.52,79.87,,51.75,,8.10,1.37
2025-02-07T00:00:00Z,99.00,99.00,97.32,75.10,43.90,27.09,7.43,2.37,1.00
2025-02-08T00:00:00Z,99.00,99.00,97.23,73.37,40.68,12.74,4.22,1.00,1.00
2025-02-09T00:00:00Z,99.00,99.00,98.60,83.19,44.97,3.04,4.22,1.00,1.00
2025-02-10T00:00:00Z,99.00,99.00,98.56,77.08,8.04,1.25,1.00,1.00,1.00
