timestamp,Above 45,Above 60,Above 75,Above 85,Above 90,Above 92,Above 93,Above 94,Above 95,Above 96,Above 97
2026-02-11T00:00:00Z,95.00,93.11,87.01,,41.63,,,,,,
2026-02-12T00:00:00Z,95.00,97.00,90.88,,51.26,,,,,,
2026-02-13T00:00:00Z,99.00,97.00,92.26,,47.37,,,,,,
2026-02-14T00:00:00Z,99.00,97.00,93.91,,49.51,,,,,,
2026-02-15T00:00:00Z,99.00,97.00,92.97,80.27,46.57,,,,,,
2026-02-16T00:00:00Z,98.00,97.00,91.85,74.13,48.14,,,,,,
2026-02-17T00:00:00Z,98.00,97.84,91.85,83.20,54.68,47.00,,,23.51,,
2026-02-18T00:00:00Z,98.00,97.84,91.85,86.34,62.93,41.60,,,11.10,,
2026-02-19T00:00:00Z,98.00,97.84,92.77,83.51,56.59,42.24,,,17.91,,
2026-02-20T00:00:00Z,98.00,97.84,91.91,80.69,51.99,39.75,,,13.33,,
2026-02-21T00:00:00Z,98.00,97.84,91.91,80.00,52.70,37.00,,,13.33,,
2026-02-22T00:00:00Z,98.00,97.84,92.00,80.58,48.91,33.00,,,12.00,,
2026-02-23T00:00:00Z,98.00,97.84,92.00,79.60,53.03,36.99,,,17.00,,
2026-02-24T00:00:00Z,98.00,97.84,91.40,76.83,55.25,37.50,,,18.29,,
2026-02-25T00:00:00Z,98.00,98.00,92.04,85.45,55.49,38.75,,,18.00,,
2026-02-26T00:00:00Z,98.00,98.00,92.06,79.05,55.71,35.27,,,14.72,,
2026-02-27T00:00:00Z,98.00,98.00,93.28,77.91,53.71,42.35,,,17.09,,
2026-02-28T00:00:00Z,98.00,98.00,92.85,81.67,60.30,45.45,,,17.00,,
2026-03-01T00:00:00Z,98.00,98.00,91.36,84.85,71.23,48.08,,,18.71,,
2026-03-02T00:00:00Z,98.00,99.00,90.14,73.28,57.26,25.30,,,10.96,,
2026-03-03T00:00:00Z,98.00,99.00,97.83,97.10,88.33,64.47,,,31.66,,
2026-03-04T00:00:00Z,98.00,99.00,97.83,99.00,97.88,87.01,75.30,73.24,52.99,25.46,2.02
2026-03-05T00:00:00Z,98.00,99.00,97.83,99.00,96.50,93.84,87.74,75.11,53.36,19.43,3.87
2026-03-06T00:00:00Z,98.00,99.00,97.83,99.00,97.59,91.35,81.36,58.08,29.75,3.63,1.01
2026-03-07T00:00:00Z,98.00,99.00,97.83,99.00,95.72,83.71,73.13,25.59,12.69,1.00,1.00
2026-03-08T00:00:00Z,98.00,99.00,99.00,99.00,98.52,79.68,57.90,2.42,1.00,1.00,1.00
2026-03-09T00:00:00Z,98.00,99.00,99.00,99.00,99.00,98.04,87.00,1.16,1.00,1.00,1.00
