timestamp,Above 45,Above 60,Above 75,Above 77,Above 80,Above 82,Above 85,Above 90,Above 95
2025-05-03T00:00:00Z,,77.50,85.75,,,,,31.41,
2025-05-04T00:00:00Z,,95.00,81.17,,,,,40.00,
2025-05-05T00:00:00Z,,95.00,92.00,,,,,46.55,
2025-05-06T00:00:00Z,94.50,95.20,85.00,,,,,39.59,
2025-05-07T00:00:00Z,94.50,95.20,76.78,,,,51.00,34.75,
2025-05-08T00:00:00Z,94.50,95.20,76.78,,78.36,,67.46,46.28,20.10
2025-05-09T00:00:00Z,94.50,95.20,92.00,,78.36,,66.47,46.63,28.34
2025-05-10T00:00:00Z,94.50,84.96,75.31,,80.00,,61.80,51.78,14.31
2025-05-11T00:00:00Z,91.60,84.41,75.45,,74.39,,53.90,50.38,23.25
2025-05-12T00:00:00Z,91.60,84.41,89.28,,74.39,,59.90,38.22,23.03
2025-05-13T00:00:00Z,91.60,84.41,89.28,,74.39,,58.33,36.94,19.87
2025-05-14T00:00:00Z,91.60,84.41,92.00,,78.17,,63.83,39.43,14.00
2025-05-15T00:00:00Z,91.60,84.41,92.00,,79.66,,53.44,37.00,14.00
2025-05-16T00:00:00Z,91.60,84.41,92.00,,80.83,,64.16,42.59,18.00
2025-05-17T00:00:00Z,91.60,84.41,92.00,,75.06,,65.18,41.77,14.00
2025-05-18T00:00:00Z,91.60,84.41,92.00,,75.06,,65.18,41.00,14.00
2025-05-19T00:00:00Z,91.60,84.41,92.00,,75.06,,65.18,44.97,14.00
2025-05-20T00:00:00Z,91.60,84.41,92.00,,75.06,,67.48,48.06,15.00
2025-05-21T00:00:00Z,91.60,84.41,84.00,,82.00,,63.81,40.94,11.43
2025-05-22T00:00:00Z,91.60,84.41,83.33,,76.56,,66.71,43.27,8.00
2025-05-23T00:00:00Z,91.60,95.00,85.05,,75.54,,66.38,46.73,14.72
2025-05-24T00:00:00Z,91.60,95.00,89.00,,86.16,,68.72,47.54,13.56
2025-05-25T00:00:00Z,91.60,95.00,89.00,,82.55,,62.00,48.00,13.56
2025-05-26T00:00:00Z,91.60,95.00,87.00,,80.31,,64.44,43.11,14.00
2025-05-27T00:00:00Z,91.60,95.00,84.97,,77.67,,59.86,40.64,9.00
2025-05-28T00:00:00Z,96.00,93.00,89.93,,73.15,,53.06,34.72,7.24
2025-05-29T00:00:00Z,96.00,95.00,90.26,,73.06,,50.70,26.28,7.10
2025-05-30T00:00:00Z,98.01,91.20,78.55,,59.57,,43.65,25.53,7.10
2025-05-31T00:00:00Z,96.22,89.50,64.65,,50.86,,36.48,24.44,7.10
2025-06-01T00:00:00Z,96.22,93.00,69.98,,65.55,,50.74,34.81,8.95
2025-06-02T00:00:00Z,96.22,92.08,82.10,,73.12,,57.49,34.85,9.64
2025-06-03T00:00:00Z,99.00,92.08,78.71,,69.97,,53.74,21.99,9.36
2025-06-04T00:00:00Z,99.00,92.08,84.49,,76.85,,57.94,26.47,9.00
2025-06-05T00:00:00Z,99.00,97.00,84.70,,79.54,,61.53,25.56,8.55
2025-06-06T00:00:00Z,97.00,97.00,86.10,,79.57,,55.81,25.38,2.77
2025-06-07T00:00:00Z,97.00,97.00,83.69,,74.45,,46.30,17.48,2.77
2025-06-08T00:00:00Z,99.00,97.00,88.03,,84.96,,51.32,36.36,5.00
2025-06-09T00:00:00Z,99.00,97.00,94.89,,86.81,,64.06,44.62,9.71
2025-06-10T00:00:00Z,99.00,97.00,89.81,81.69,63.56,41.28,16.66,7.90,6.64
2025-06-11T00:00:00Z,99.00,97.00,88.39,72.50,47.17,35.09,8.44,1.00,6.64
2025-06-12T00:00:00Z,99.00,99.00,88.30,78.83,35.54,15.09,2.94,1.00,1.00
2025-06-13T00:00:00Z,99.00,99.00,81.86,54.04,10.65,2.46,1.00,1.00,1.00
2025-06-14T00:00:00Z,99.00,99.00,87.29,43.61,1.97,1.02,1.00,1.00,1.00
2025-06-15T00:00:00Z,99.00,99.00,92.99,34.66,1.00,1.02,1.00,1.00,1.00
2025-06-16T00:00:00Z,99.00,99.00,97.75,23.07,1.00,1.02,1.00,1.00,1.00
