timestamp,Above 45,Above 47,Above 50,Above 52,Above 55,Above 57,Above 60,Above 65,Above 70,Above 75,Above 90
2025-05-29T00:00:00Z,59.37,,,,,,52.59,,,29.00,6.00
2025-05-30T00:00:00Z,68.46,,,,,,56.20,,,34.93,2.00
2025-05-31T00:00:00Z,79.00,,,,,,57.80,,,26.00,2.00
2025-06-01T00:00:00Z,84.00,,,,,,57.00,,,29.00,2.00
2025-06-02T00:00:00Z,84.03,,,,,,57.00,,,27.00,2.00
2025-06-03T00:00:00Z,85.61,,,,,,62.66,,,32.61,2.00
2025-06-04T00:00:00Z,83.86,,,,,,51.78,,,29.92,5.03
2025-06-05T00:00:00Z,85.26,,,,,,53.27,,,26.09,5.00
2025-06-06T00:00:00Z,85.26,,,,,,53.38,,,24.13,5.00
2025-06-07T00:00:00Z,84.00,,,,,,51.37,,,28.00,4.00
2025-06-08T00:00:00Z,88.26,,,,,,51.69,,,28.00,4.00
2025-06-09T00:00:00Z,88.26,,,,,,52.00,,,26.42,4.00
2025-06-10T00:00:00Z,82.20,,,,,,51.90,,,25.78,4.00
2025-06-11T00:00:00Z,87.00,,,,,,52.21,,,27.49,4.72
2025-06-12T00:00:00Z,72.20,,,,,,50.70,,,28.96,4.60
2025-06-13T00:00:00Z,83.42,,,,,,48.87,,,30.52,4.60
2025-06-14T00:00:00Z,84.01,,,,,,51.88,,,30.52,8.00
2025-06-15T00:00:00Z,83.12,,,,,,52.00,,,30.04,8.00
2025-06-16T00:00:00Z,85.11,,,,,,53.66,,,33.26,11.00
2025-06-17T00:00:00Z,84.77,,,,,,48.60,,,26.25,4.16
2025-06-18T00:00:00Z,83.00,,,,,,53.03,,,29.30,6.00
2025-06-19T00:00:00Z,83.42,,,,,,56.51,,,32.86,6.00
2025-06-20T00:00:00Z,90.97,,,,,,60.09,,,34.92,6.00
2025-06-21T00:00:00Z,82.62,,,,,,54.47,,,23.57,2.00
2025-06-22T00:00:00Z,85.35,,,,,,51.84,,,24.81,2.00
2025-06-23T00:00:00Z,80.97,,,,,,52.85,,,23.50,2.00
2025-06-24T00:00:00Z,85.40,,69.20,,54.94,,49.18,34.82,,19.23,1.88
2025-06-25T00:00:00Z,85.75,,72.57,,61.42,,56.12,43.31,28.38,19.04,3.00
2025-06-26T00:00:00Z,82.88,,74.91,,61.40,,52.66,41.19,24.98,17.62,2.00
2025-06-27T00:00:00Z,83.02,,77.27,,63.10,,53.26,39.48,27.25,14.47,2.00
2025-06-28T00:00:00Z,89.80,,80.67,,72.99,,65.52,45.04,25.11,15.94,2.00
2025-06-29T00:00:00Z,91.22,,80.63,,71.01,,62.85,42.40,25.14,14.24,2.00
2025-06-30T00:00:00Z,90.38,,82.18,,78.25,,65.83,49.10,28.12,13.40,2.00
2025-07-01T00:00:00Z,95.23,,82.14,,55.08,34.55,26.97,11.12,6.39,2.84,1.00
2025-07-02T00:00:00Z,92.02,82.65,47.61,19.80,10.41,3.66,1.55,1.01,1.00,1.00,1.00
2025-07-03T00:00:00Z,98.59,93.59,71.84,35.09,6.34,1.95,1.00,1.00,1.00,1.00,1.00
2025-07-04T00:00:00Z,99.00,94.93,48.61,15.82,1.96,1.24,1.00,1.00,1.00,1.00,1.00
2025-07-05T00:00:00Z,99.00,97.76,55.69,8.34,1.10,1.00,1.00,1.00,1.00,1.00,1.00
2025-07-06T00:00:00Z,99.00,99.00,65.18,5.55,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2025-07-07T00:00:00Z,99.00,99.00,94.78,17.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00
