timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 94
2024-04-03T00:00:00Z,71.93,53.79,,,36.86,,,12.48,6.96
2024-04-04T00:00:00Z,83.17,71.66,,,43.06,,,16.76,6.96
2024-04-05T00:00:00Z,83.17,74.00,,,43.06,,,18.00,6.96
2024-04-06T00:00:00Z,83.17,74.00,,,48.00,,,18.00,10.00
2024-04-07T00:00:00Z,83.17,74.00,,,39.72,,,18.00,10.00
2024-04-08T00:00:00Z,83.17,72.83,,,39.72,,,17.00,10.00
2024-04-09T00:00:00Z,89.00,72.83,,,44.74,,,17.00,10.00
2024-04-10T00:00:00Z,88.00,71.00,,,44.00,,,17.00,10.00
2024-04-11T00:00:00Z,88.00,71.00,,,45.57,,,17.78,9.00
2024-04-12T00:00:00Z,88.00,71.00,,,50.87,,,17.78,11.00
2024-04-13T00:00:00Z,88.00,79.00,,,49.58,,,17.78,7.70
2024-04-14T00:00:00Z,88.00,79.00,,,58.00,,,23.00,7.70
2024-04-15T00:00:00Z,88.00,82.42,,,60.00,,,23.00,7.70
2024-04-16T00:00:00Z,92.57,83.00,,,60.77,,,23.63,7.70
2024-04-17T00:00:00Z,92.57,83.28,,,64.30,,,23.63,7.70
2024-04-18T00:00:00Z,92.57,83.28,,,68.64,,,23.63,7.70
2024-04-19T00:00:00Z,92.57,85.00,,,68.66,,,25.78,7.70
2024-04-20T00:00:00Z,92.57,87.00,,,68.21,,,28.00,7.70
2024-04-21T00:00:00Z,92.57,87.00,,,68.85,,,28.00,7.70
2024-04-22T00:00:00Z,92.57,87.50,,,77.00,,,29.60,7.70
2024-04-23T00:00:00Z,90.24,82.66,,,73.04,,,30.87,11.00
2024-04-24T00:00:00Z,74.60,71.05,,,51.56,,,15.57,11.00
2024-04-25T00:00:00Z,82.00,71.81,,,55.95,,,16.82,2.00
2024-04-26T00:00:00Z,82.00,70.73,,,51.50,,,12.00,5.42
2024-04-27T00:00:00Z,75.29,61.06,,,43.93,,,10.13,5.42
2024-04-28T00:00:00Z,65.15,51.81,,,32.45,,,6.10,4.00
2024-04-29T00:00:00Z,73.52,59.42,,,32.60,,,10.35,5.00
2024-04-30T00:00:00Z,69.94,56.59,,,32.28,,,8.59,4.00
2024-05-01T00:00:00Z,71.42,55.30,,,33.90,,,10.72,3.00
2024-05-02T00:00:00Z,73.09,62.71,,,39.48,,,12.02,3.00
2024-05-03T00:00:00Z,74.35,60.02,,,41.93,,,10.88,2.00
2024-05-04T00:00:00Z,91.62,77.56,73.31,66.16,52.79,34.73,22.07,10.12,2.89
2024-05-05T00:00:00Z,92.17,79.00,68.40,62.98,55.45,37.47,20.06,9.78,3.00
2024-05-06T00:00:00Z,92.17,77.00,72.00,61.00,50.78,37.22,23.48,10.92,5.43
2024-05-07T00:00:00Z,92.17,82.66,67.86,58.35,42.60,30.40,15.23,7.45,5.43
2024-05-08T00:00:00Z,97.62,93.56,79.90,73.51,51.78,43.25,25.89,12.09,3.63
2024-05-09T00:00:00Z,99.00,97.55,93.33,96.58,84.11,58.58,18.63,3.86,1.75
2024-05-10T00:00:00Z,99.00,99.00,99.00,98.53,94.54,47.42,4.68,1.00,1.75
2024-05-11T00:00:00Z,99.00,99.00,99.00,98.53,98.51,62.16,2.46,1.00,1.00
2024-05-12T00:00:00Z,99.00,99.00,99.00,98.53,98.51,33.90,1.37,1.00,1.00
2024-05-13T00:00:00Z,99.00,99.00,99.00,98.53,98.51,70.61,2.13,2.16,4.71
