timestamp,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 60,Above 75,Above 90
2024-12-03T00:00:00Z,,,,,,,,57.24,,48.66,26.18,
2024-12-04T00:00:00Z,,,,,,,,46.94,,33.35,11.67,
2024-12-05T00:00:00Z,,,,,,,,48.05,,35.21,12.41,5.00
2024-12-06T00:00:00Z,,,,,,79.46,65.16,46.22,40.81,27.43,8.58,5.00
2024-12-07T00:00:00Z,,,,,,80.00,62.39,49.24,43.01,27.43,8.01,5.00
2024-12-08T00:00:00Z,,,,,,80.00,60.96,50.58,39.39,27.40,5.55,5.00
2024-12-09T00:00:00Z,,,,,,76.03,62.66,51.03,41.99,24.80,9.00,1.00
2024-12-10T00:00:00Z,,,,,,79.13,62.01,48.24,42.40,22.54,5.00,1.00
2024-12-11T00:00:00Z,,97.00,88.49,79.83,61.82,62.06,53.41,33.39,29.24,17.72,4.73,1.00
2024-12-12T00:00:00Z,81.05,57.71,37.19,36.81,37.45,18.42,5.93,5.22,6.35,1.55,1.71,1.00
2024-12-13T00:00:00Z,92.74,29.18,10.44,4.28,4.05,2.02,1.51,1.72,2.00,1.47,1.71,1.00
2024-12-14T00:00:00Z,92.24,25.36,3.15,1.21,2.85,1.15,1.00,1.00,1.75,1.00,1.00,1.00
2024-12-15T00:00:00Z,97.29,20.70,2.26,2.84,2.85,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2024-12-16T00:00:00Z,99.00,6.39,1.01,1.00,2.85,1.00,1.00,1.00,1.00,1.00,1.00,1.00
