timestamp,Above 45,Above 50,Above 55,Above 57,Above 60,Above 62,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2025-05-27T00:00:00Z,,,,,75.56,,,,51.38,,,22.40
2025-05-28T00:00:00Z,85.80,,,,72.94,,,,48.43,,,17.77
2025-05-29T00:00:00Z,85.68,,,,70.72,,67.14,53.67,42.68,32.28,24.00,14.45
2025-05-30T00:00:00Z,90.03,,,,72.66,,60.57,52.63,43.07,30.83,10.00,12.00
2025-05-31T00:00:00Z,90.03,,,,76.59,,66.50,53.20,44.73,31.45,18.00,12.00
2025-06-01T00:00:00Z,92.50,,,,74.61,,81.30,57.42,47.91,31.45,20.11,9.00
2025-06-02T00:00:00Z,92.50,,,,74.61,,74.85,61.50,47.91,30.06,20.11,13.70
2025-06-03T00:00:00Z,89.43,,,,84.00,,71.60,61.87,50.00,34.26,21.00,13.70
2025-06-04T00:00:00Z,89.43,,,,84.00,,71.60,63.34,50.87,37.00,21.39,12.00
2025-06-05T00:00:00Z,92.50,,,,84.00,,77.25,62.93,63.22,34.60,15.00,11.02
2025-06-06T00:00:00Z,95.00,,,,84.00,,73.00,65.00,45.38,32.82,13.49,13.00
2025-06-07T00:00:00Z,94.86,,,,78.05,,75.00,59.30,46.00,31.57,8.00,5.00
2025-06-08T00:00:00Z,94.86,,,,83.83,,62.32,58.74,46.14,31.00,8.00,5.00
2025-06-09T00:00:00Z,94.86,,,,81.00,,65.00,56.40,48.56,31.00,13.75,10.67
2025-06-10T00:00:00Z,92.46,,,,81.76,,75.00,61.12,49.03,32.09,14.20,11.00
2025-06-11T00:00:00Z,92.00,,,,82.51,,73.64,62.87,49.26,26.12,14.20,11.00
2025-06-12T00:00:00Z,92.00,,,,82.51,,70.00,61.00,49.58,32.00,14.20,11.00
2025-06-13T00:00:00Z,96.00,,,,78.37,,70.19,60.06,51.96,32.00,14.20,5.00
2025-06-14T00:00:00Z,96.00,,,,78.37,,76.00,61.00,51.96,28.00,12.51,8.21
2025-06-15T00:00:00Z,96.00,,,,81.00,,71.94,57.44,51.88,26.83,9.00,8.21
2025-06-16T00:00:00Z,92.15,,,,78.71,,71.94,62.38,50.30,26.38,13.93,8.21
2025-06-17T00:00:00Z,92.15,,,,78.71,,71.94,62.29,53.91,30.72,13.79,9.52
2025-06-18T00:00:00Z,92.00,,,,78.71,,78.00,60.52,53.00,31.62,13.82,10.16
2025-06-19T00:00:00Z,91.07,,,,79.48,,69.83,56.54,50.67,30.12,11.10,5.87
2025-06-20T00:00:00Z,95.03,,,,85.04,,78.35,69.18,59.33,38.46,14.70,5.87
2025-06-21T00:00:00Z,98.00,,,,84.81,,78.35,74.27,67.15,38.87,16.09,10.83
2025-06-22T00:00:00Z,97.88,,,,84.00,,78.35,76.00,65.57,42.30,17.94,10.83
2025-06-23T00:00:00Z,92.20,,,,79.86,,78.69,71.42,64.32,38.17,15.75,5.70
2025-06-24T00:00:00Z,98.22,,,,86.48,,84.23,71.45,61.68,42.68,13.63,6.34
2025-06-25T00:00:00Z,93.18,,,,81.46,,73.17,55.03,49.62,32.37,9.99,4.26
2025-06-26T00:00:00Z,95.32,91.07,76.97,,52.78,,32.38,10.96,9.09,7.14,6.45,2.49
2025-06-27T00:00:00Z,95.32,98.78,79.94,,47.19,21.83,16.50,2.98,1.05,1.08,1.00,1.00
2025-06-28T00:00:00Z,99.00,97.87,77.81,,11.07,3.14,1.65,1.00,1.00,1.00,1.00,1.00
2025-06-29T00:00:00Z,99.00,98.98,92.01,66.28,2.81,1.00,2.00,1.10,1.04,1.00,1.00,1.00
2025-06-30T00:00:00Z,99.00,98.98,97.04,71.72,1.68,1.00,1.00,1.10,1.00,1.00,1.00,1.00
