timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-05-22T00:00:00Z,,83.33,,69.92,48.97,41.56,,19.50,,33.48,5.00
2025-05-23T00:00:00Z,,85.00,71.98,61.00,44.85,28.22,,19.00,,12.75,5.00
2025-05-24T00:00:00Z,,78.00,71.00,61.12,44.00,26.11,,15.00,,12.00,5.00
2025-05-25T00:00:00Z,,84.66,71.80,56.06,49.93,33.95,,19.65,,11.35,5.00
2025-05-26T00:00:00Z,,84.66,79.06,68.48,58.31,37.72,,25.14,,13.00,5.00
2025-05-27T00:00:00Z,,84.66,79.06,68.48,58.31,35.77,,25.00,,13.00,5.00
2025-05-28T00:00:00Z,,96.00,88.49,74.00,63.68,39.63,,25.00,,14.69,5.00
2025-05-29T00:00:00Z,,96.00,88.49,85.00,78.00,60.34,,38.99,,16.89,5.00
2025-05-30T00:00:00Z,,96.00,88.49,90.00,78.00,60.34,,34.83,,14.39,6.00
2025-05-31T00:00:00Z,,96.00,88.49,90.00,78.48,51.57,,30.12,,15.00,6.00
2025-06-01T00:00:00Z,,96.00,88.49,90.00,78.48,53.96,,30.12,,15.25,5.96
2025-06-02T00:00:00Z,,96.00,88.49,86.00,78.48,60.25,,30.71,,15.25,7.00
2025-06-03T00:00:00Z,,93.00,88.49,86.00,79.01,61.16,,31.65,,17.00,7.00
2025-06-04T00:00:00Z,,93.00,88.49,86.00,74.06,54.25,,30.24,,17.22,6.00
2025-06-05T00:00:00Z,,93.00,93.00,90.99,75.48,50.59,,29.56,,16.39,6.00
2025-06-06T00:00:00Z,,93.00,93.00,90.99,81.68,62.75,,38.46,,23.65,8.00
2025-06-07T00:00:00Z,,93.00,93.00,90.99,86.78,71.15,,52.31,,31.18,8.35
2025-06-08T00:00:00Z,,93.00,93.00,90.99,86.01,75.34,,49.54,,33.06,8.35
2025-06-09T00:00:00Z,,93.00,93.00,90.99,86.01,75.34,,50.50,,30.61,10.00
2025-06-10T00:00:00Z,,93.00,98.74,99.00,97.53,87.86,,53.77,,27.53,4.38
2025-06-11T00:00:00Z,,93.00,98.74,99.00,98.00,90.03,82.75,60.34,38.15,14.27,1.00
2025-06-12T00:00:00Z,,93.00,98.74,99.00,97.29,85.15,77.30,40.51,21.46,5.16,1.00
2025-06-13T00:00:00Z,,93.00,98.74,99.00,99.00,96.30,85.98,68.84,44.69,2.55,1.00
2025-06-14T00:00:00Z,,93.00,98.74,99.00,99.00,99.00,98.88,79.36,59.61,1.22,1.00
2025-06-15T00:00:00Z,,93.00,98.74,99.00,99.00,99.00,99.00,89.98,31.06,1.00,1.00
2025-06-16T00:00:00Z,,93.00,98.74,99.00,99.00,99.00,99.00,84.85,1.81,1.00,1.00
