timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 78,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-02-04T00:00:00Z,,,,,47.29,80.03,77.34,,77.79,,53.82,,38.32,8.55
2025-02-05T00:00:00Z,,,,,47.29,80.03,77.34,,78.92,,67.07,,41.96,18.83
2025-02-06T00:00:00Z,,,,,47.29,80.03,85.00,,79.00,,80.46,,46.10,15.00
2025-02-07T00:00:00Z,,99.00,99.00,,96.00,80.03,85.00,,80.00,,68.59,,47.35,18.00
2025-02-08T00:00:00Z,,99.00,99.00,,96.00,80.03,82.32,,77.01,,78.68,,43.14,11.80
2025-02-09T00:00:00Z,,99.00,99.00,,96.00,90.00,80.33,,75.16,,67.91,,45.81,11.80
2025-02-10T00:00:00Z,,99.00,99.00,,90.00,93.00,80.33,,76.25,,67.91,,41.53,12.26
2025-02-11T00:00:00Z,,99.00,99.00,,90.00,93.00,82.16,,76.40,,67.34,,43.26,14.17
2025-02-12T00:00:00Z,,99.00,99.00,,90.00,93.00,83.00,,71.78,,55.50,,41.21,13.29
2025-02-13T00:00:00Z,,99.00,99.00,98.00,88.81,92.00,79.24,,64.44,,53.53,,35.49,11.62
2025-02-14T00:00:00Z,,99.00,99.00,98.00,90.00,91.61,85.86,,77.77,,62.61,,45.63,14.22
2025-02-15T00:00:00Z,,99.00,99.00,98.00,95.12,91.61,95.30,,83.18,,80.00,,57.15,19.99
2025-02-16T00:00:00Z,,99.00,99.00,98.00,96.00,85.10,63.89,,53.90,,26.60,,17.10,7.16
2025-02-17T00:00:00Z,,99.00,99.00,98.00,96.50,93.00,91.89,,80.86,,48.53,,12.89,6.00
2025-02-18T00:00:00Z,,99.00,99.00,99.00,98.60,93.00,81.39,,81.12,,45.26,,9.89,3.80
2025-02-19T00:00:00Z,,99.00,99.00,99.00,98.60,93.00,91.61,,81.00,,48.10,,14.83,3.00
2025-02-20T00:00:00Z,99.00,99.00,99.00,99.00,98.60,93.00,95.90,,79.77,,51.64,,19.07,3.00
2025-02-21T00:00:00Z,99.00,99.00,99.00,99.00,98.00,96.00,82.46,,85.09,,51.99,,18.94,2.00
2025-02-22T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.50,93.04,,83.09,,50.61,,17.91,2.00
2025-02-23T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.94,90.44,,74.20,,52.42,,20.18,2.26
2025-02-24T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.87,91.66,,80.00,,52.60,,20.37,3.00
2025-02-25T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.65,91.66,,76.91,,50.15,,20.09,3.67
2025-02-26T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.00,89.14,,71.66,57.00,41.55,44.00,10.61,2.47
2025-02-27T00:00:00Z,99.00,99.00,99.00,99.00,99.00,96.01,89.51,,73.37,58.92,40.81,26.74,7.05,2.00
2025-02-28T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.00,92.54,,72.91,69.67,45.58,23.04,8.90,1.00
2025-03-01T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.00,92.54,,75.08,72.75,48.42,27.04,8.23,1.00
2025-03-02T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,92.54,,79.10,73.26,49.32,29.87,12.90,1.00
2025-03-03T00:00:00Z,99.00,99.00,99.00,99.00,99.00,96.66,92.17,,83.22,75.53,49.22,33.11,16.13,1.00
2025-03-04T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.60,96.83,,88.78,78.88,54.84,30.05,10.78,1.00
2025-03-05T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.99,,93.61,83.94,57.98,33.24,6.22,1.00
2025-03-06T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,96.46,79.28,71.73,49.42,24.63,4.19,1.86,1.00
2025-03-07T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.63,86.28,71.58,39.13,2.74,1.03,1.00,1.00
2025-03-08T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,95.19,43.93,9.13,2.10,1.00,1.00,1.00,1.00
2025-03-09T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.44,50.79,1.05,2.10,1.00,1.00,1.00,1.00
2025-03-10T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.99,22.96,1.71,1.00,1.00,1.00,1.00,1.00
