timestamp,Above 70,Above 75,Above 78,Above 79,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95,Above 97
2025-03-29T00:00:00Z,,94.75,,,89.23,,85.00,80.00,67.04,,38.48,11.10
2025-03-30T00:00:00Z,,94.75,,,89.23,,85.00,80.00,73.40,63.94,40.70,17.10
2025-03-31T00:00:00Z,,94.75,,,81.00,,85.00,80.00,73.88,63.58,43.09,22.75
2025-04-01T00:00:00Z,,94.75,,,89.83,,91.16,85.66,75.04,63.42,47.71,22.68
2025-04-02T00:00:00Z,,94.00,,,89.83,,91.16,78.41,74.20,63.00,37.85,16.67
2025-04-03T00:00:00Z,,94.00,,,89.83,,91.16,77.18,66.00,62.17,36.93,14.12
2025-04-04T00:00:00Z,,89.05,,,89.83,,91.16,77.18,72.82,62.17,36.00,14.12
2025-04-05T00:00:00Z,,89.05,,,82.00,,80.00,78.00,68.11,57.13,37.85,16.00
2025-04-06T00:00:00Z,,89.05,,,82.00,,80.00,78.00,65.09,61.51,36.00,14.36
2025-04-07T00:00:00Z,,97.00,,,82.00,,80.00,87.00,72.95,55.75,36.90,14.36
2025-04-08T00:00:00Z,,97.00,,,82.00,,80.00,72.78,74.76,62.11,46.90,17.31
2025-04-09T00:00:00Z,,95.04,,,82.00,,80.00,87.57,74.00,61.69,39.56,12.20
2025-04-10T00:00:00Z,,97.00,,,86.00,,80.00,87.57,74.00,61.92,44.32,7.94
2025-04-11T00:00:00Z,,97.00,,,86.00,,87.66,75.00,65.00,63.76,53.84,17.98
2025-04-12T00:00:00Z,,97.00,,,86.00,,87.66,75.00,75.00,58.00,47.31,16.72
2025-04-13T00:00:00Z,,97.00,,,86.00,,87.66,75.00,72.00,65.48,44.63,16.31
2025-04-14T00:00:00Z,,97.00,,,86.00,,87.66,75.00,75.00,65.48,47.67,16.00
2025-04-15T00:00:00Z,,97.00,,,95.00,,93.00,86.61,81.29,78.00,47.10,17.25
2025-04-16T00:00:00Z,,97.00,,,95.00,,93.00,86.61,81.29,72.62,50.16,17.89
2025-04-17T00:00:00Z,,97.00,,,95.00,,93.00,82.96,77.83,68.01,50.36,13.00
2025-04-18T00:00:00Z,,96.49,,,89.00,,93.00,82.96,82.00,68.30,45.58,17.98
2025-04-19T00:00:00Z,,98.00,,,89.00,,93.00,82.96,79.00,65.00,44.00,13.00
2025-04-20T00:00:00Z,,98.00,,,89.00,,93.00,88.00,77.00,65.92,54.45,18.00
2025-04-21T00:00:00Z,,98.00,,,96.00,,93.00,88.00,79.00,70.96,46.25,17.62
2025-04-22T00:00:00Z,,98.00,,,96.00,,85.77,89.00,84.42,67.00,45.63,17.63
2025-04-23T00:00:00Z,,98.00,,,96.00,,85.77,91.00,83.67,73.97,46.76,17.37
2025-04-24T00:00:00Z,,98.00,,,96.00,,85.77,91.00,83.00,71.08,44.02,14.13
2025-04-25T00:00:00Z,,98.00,,,96.00,,85.77,91.00,83.00,68.17,39.96,13.92
2025-04-26T00:00:00Z,,95.00,,,90.00,,92.00,89.00,85.00,72.04,40.05,13.14
2025-04-27T00:00:00Z,,95.00,,,91.00,,92.00,89.00,82.00,69.94,40.71,14.57
2025-04-28T00:00:00Z,,95.00,,,91.00,,92.00,89.00,85.00,72.78,40.31,15.00
2025-04-29T00:00:00Z,,96.00,,,93.00,,92.00,89.00,82.00,70.52,38.94,15.00
2025-04-30T00:00:00Z,,96.00,,,93.00,,92.00,89.00,82.00,73.00,39.05,13.00
2025-05-01T00:00:00Z,,96.00,,,93.00,,92.00,89.00,80.94,68.20,36.95,12.54
2025-05-02T00:00:00Z,,96.00,,,93.00,,92.00,89.00,79.69,70.59,40.23,13.00
2025-05-03T00:00:00Z,,96.00,,,93.00,,92.00,89.00,81.00,69.08,41.00,11.92
2025-05-04T00:00:00Z,,96.00,,,93.00,,92.00,87.00,83.45,71.00,43.12,12.67
2025-05-05T00:00:00Z,,96.00,,,93.00,,92.00,86.06,81.23,70.02,46.91,14.64
2025-05-06T00:00:00Z,,96.00,,,93.93,,92.00,86.06,80.63,70.82,40.89,13.24
2025-05-07T00:00:00Z,,96.00,,,95.00,,91.00,86.06,83.45,70.05,43.10,14.14
2025-05-08T00:00:00Z,,98.00,,,92.00,,91.00,88.00,83.45,68.40,43.54,14.14
2025-05-09T00:00:00Z,,98.00,,,92.00,,91.00,88.00,83.45,70.41,45.95,15.02
2025-05-10T00:00:00Z,,98.00,,,92.00,,91.00,88.92,85.03,73.96,46.85,16.44
2025-05-11T00:00:00Z,,98.00,,,92.00,,91.00,88.92,86.00,75.12,48.85,15.00
2025-05-12T00:00:00Z,,98.00,,,92.00,,91.00,88.92,86.00,76.00,45.75,14.16
2025-05-13T00:00:00Z,,98.00,,,92.00,,91.00,88.92,83.49,78.69,50.81,18.53
2025-05-14T00:00:00Z,,90.43,,,78.67,,61.20,42.86,36.83,25.16,15.69,3.12
2025-05-15T00:00:00Z,95.00,90.22,,,76.42,68.89,53.35,35.54,18.69,3.08,2.39,1.16
2025-05-16T00:00:00Z,95.00,85.27,68.39,,63.49,45.99,15.08,5.29,2.07,1.02,1.32,1.00
2025-05-17T00:00:00Z,93.46,83.12,60.12,,38.39,9.66,4.32,2.11,1.00,1.00,1.00,1.00
2025-05-18T00:00:00Z,93.46,86.78,63.93,,41.50,10.35,3.97,2.02,1.00,1.22,1.00,1.00
2025-05-19T00:00:00Z,93.46,91.32,70.21,,40.63,12.90,3.87,3.03,2.42,2.00,1.00,1.00
2025-05-20T00:00:00Z,93.46,92.04,71.22,,40.11,11.18,3.74,2.27,1.08,1.29,1.00,1.00
2025-05-21T00:00:00Z,93.46,92.78,64.85,,22.27,4.36,1.98,1.26,1.00,1.00,1.00,1.00
2025-05-22T00:00:00Z,98.04,92.02,61.02,33.41,14.56,2.10,1.83,1.00,1.00,1.00,1.00,1.00
2025-05-23T00:00:00Z,98.04,95.66,73.45,36.21,12.03,7.34,1.70,1.00,1.00,1.00,1.00,1.00
2025-05-24T00:00:00Z,98.04,98.95,92.43,73.87,26.81,2.47,1.14,1.00,1.00,1.00,1.00,1.00
2025-05-25T00:00:00Z,98.04,98.99,95.90,72.31,10.02,2.14,1.00,1.00,1.00,1.00,1.00,1.00
2025-05-26T00:00:00Z,98.04,99.00,97.70,85.14,8.10,1.94,1.00,1.00,1.00,1.00,1.00,1.00
