timestamp,Above 45,Above 50,Above 55,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 75,Above 80,Above 90
2024-11-01T00:00:00Z,,,,,,,,,,,50.00,
2024-11-06T00:00:00Z,,99.00,,,,,,,,,50.00,
2024-11-07T00:00:00Z,,99.00,,,,,50.14,,19.93,,10.00,
2024-11-08T00:00:00Z,,91.54,88.52,,,,49.59,,22.25,,7.00,
2024-11-09T00:00:00Z,,91.54,94.00,,71.91,,51.00,,22.27,,4.00,
2024-11-10T00:00:00Z,,91.54,89.62,,67.09,,47.62,,23.00,,1.00,
2024-11-11T00:00:00Z,,91.54,89.62,,72.69,,54.24,,23.00,,1.00,
2024-11-12T00:00:00Z,,91.54,89.62,,72.69,,54.24,,23.00,,1.00,
2024-11-13T00:00:00Z,,91.54,90.00,,77.00,,58.29,,23.23,7.00,1.00,
2024-11-14T00:00:00Z,96.00,91.54,90.00,,76.82,,55.00,,22.12,5.00,5.00,
2024-11-15T00:00:00Z,96.00,91.54,95.00,,76.94,,60.95,,22.12,6.13,5.00,
2024-11-16T00:00:00Z,96.00,91.54,95.00,,77.95,,63.63,,20.02,6.13,5.00,
2024-11-17T00:00:00Z,96.00,91.54,95.00,,74.00,,64.73,,21.02,6.13,5.00,
2024-11-18T00:00:00Z,96.00,91.54,95.00,,77.00,,58.00,,21.82,5.00,5.00,
2024-11-19T00:00:00Z,96.00,91.54,95.00,,77.44,,57.05,,18.88,5.00,5.00,1.00
2024-11-20T00:00:00Z,96.00,91.54,95.31,,79.47,,57.43,,18.00,6.00,5.00,1.00
2024-11-21T00:00:00Z,96.00,91.54,91.00,,79.00,,59.43,,15.00,6.00,5.00,1.00
2024-11-22T00:00:00Z,96.00,91.54,91.00,,78.57,,63.67,,14.05,6.00,5.00,1.00
2024-11-23T00:00:00Z,99.00,97.00,92.00,,68.54,,41.90,,9.93,1.00,1.00,1.00
2024-11-24T00:00:00Z,99.00,90.00,86.37,,62.79,,29.74,,9.93,1.00,1.00,1.00
2024-11-25T00:00:00Z,99.00,90.00,86.37,,67.00,,29.07,,9.93,1.00,1.00,1.00
2024-11-26T00:00:00Z,99.00,97.00,92.30,,72.77,,33.51,,7.24,1.00,1.00,1.00
2024-11-27T00:00:00Z,99.00,97.00,92.30,,77.41,,37.34,,10.37,5.94,1.00,1.00
2024-11-28T00:00:00Z,99.00,97.00,93.00,,75.21,,42.00,,10.00,7.00,1.00,1.00
2024-11-29T00:00:00Z,99.00,97.00,93.00,,80.30,,41.00,,4.00,7.00,1.00,1.00
2024-11-30T00:00:00Z,97.00,97.00,88.45,,72.76,,32.65,,9.98,7.00,1.00,1.00
2024-12-01T00:00:00Z,97.00,97.00,97.00,,76.28,,29.24,,6.51,7.00,1.00,1.00
2024-12-02T00:00:00Z,97.00,98.00,87.72,,74.21,,25.03,,9.00,7.00,1.00,1.00
2024-12-03T00:00:00Z,97.00,98.25,92.86,,72.41,60.80,21.51,,4.03,2.69,1.00,1.00
2024-12-04T00:00:00Z,97.00,98.39,96.99,,73.25,43.43,22.72,,1.33,2.69,1.00,1.00
2024-12-05T00:00:00Z,97.00,98.96,96.54,,69.39,29.21,3.95,1.96,1.33,2.69,1.00,1.00
2024-12-06T00:00:00Z,97.00,99.00,96.77,,43.53,16.25,2.32,1.96,1.00,2.69,1.00,1.00
2024-12-07T00:00:00Z,97.00,99.00,94.58,67.69,10.00,2.90,1.32,2.00,1.00,2.69,1.00,1.16
2024-12-08T00:00:00Z,97.00,99.00,98.84,92.37,5.50,1.00,1.00,2.00,1.00,2.69,1.00,1.16
2024-12-09T00:00:00Z,97.00,99.00,99.00,97.02,2.45,1.00,1.00,2.00,1.00,2.69,1.00,1.16
