timestamp,Above 45,Above 60,Above 75,Above 80,Above 85,Above 87,Above 90,Above 92,Above 95,Above 96,Above 97,Above 98
2025-08-16T00:00:00Z,96.83,85.00,71.77,,,,31.83,,,,,
2025-08-17T00:00:00Z,96.83,97.91,92.47,,,,43.59,,,,,
2025-08-18T00:00:00Z,96.83,97.91,93.50,,,,47.75,,,,,
2025-08-19T00:00:00Z,96.83,92.00,90.00,,,,41.93,,,,,
2025-08-20T00:00:00Z,96.83,99.00,90.00,,,,45.30,,,,,
2025-08-21T00:00:00Z,96.83,99.00,90.86,,,,47.29,,,,,
2025-08-22T00:00:00Z,96.83,99.00,90.86,,,,50.07,,,,,
2025-08-23T00:00:00Z,96.83,99.00,94.37,77.54,69.00,,47.97,,,,,
2025-08-24T00:00:00Z,96.83,99.00,94.37,86.13,70.63,,44.04,,,,,
2025-08-25T00:00:00Z,96.83,99.00,92.20,86.00,71.00,,50.83,,,,,
2025-08-26T00:00:00Z,95.81,91.96,87.58,85.00,69.07,,49.00,,,,,
2025-08-27T00:00:00Z,95.81,92.00,85.65,86.43,70.62,,45.74,,,,,
2025-08-28T00:00:00Z,95.81,92.00,85.65,86.01,65.11,,39.85,,,,,
2025-08-29T00:00:00Z,95.81,92.00,85.65,78.00,60.69,,38.29,,,,,
2025-08-30T00:00:00Z,95.81,92.00,93.56,85.04,69.00,,46.34,,,,,
2025-08-31T00:00:00Z,95.81,92.00,93.56,85.04,72.05,,49.76,,,,,
2025-09-02T00:00:00Z,95.81,92.00,93.56,89.00,69.00,,49.76,,,,,
2025-09-03T00:00:00Z,95.81,92.00,93.00,85.86,69.71,,41.24,,,,,
2025-09-04T00:00:00Z,95.81,92.00,93.00,84.83,68.68,,40.60,,,,,
2025-09-05T00:00:00Z,95.81,94.00,93.00,89.70,72.42,,49.64,,,,,
2025-09-06T00:00:00Z,95.81,94.00,93.00,85.00,73.00,,50.00,,,,,
2025-09-07T00:00:00Z,95.81,94.00,93.00,85.00,65.82,,44.84,,,,,
2025-09-08T00:00:00Z,99.00,94.00,93.00,88.96,68.86,,48.07,,,,,
2025-09-09T00:00:00Z,99.00,97.97,91.56,92.14,77.17,,52.77,,,,,
2025-09-10T00:00:00Z,99.00,97.97,91.56,92.14,88.79,85.00,67.92,49.11,30.88,,13.22,
2025-09-11T00:00:00Z,99.00,99.00,99.00,92.94,90.77,85.00,76.04,58.91,28.53,,12.49,
2025-09-12T00:00:00Z,99.00,99.00,99.00,96.00,90.33,88.00,75.47,58.09,35.00,,12.49,
2025-09-13T00:00:00Z,99.00,99.00,99.00,96.00,90.33,88.00,74.34,56.73,24.95,,12.49,
2025-09-14T00:00:00Z,99.00,99.00,99.00,96.26,86.00,86.00,77.69,55.91,26.96,,12.49,
2025-09-15T00:00:00Z,99.00,99.00,99.00,92.09,87.12,85.09,74.85,57.17,29.31,,12.09,
2025-09-16T00:00:00Z,99.00,99.00,99.00,91.40,88.99,84.58,71.97,57.22,24.48,,11.68,
2025-09-17T00:00:00Z,99.00,99.00,99.00,96.34,94.94,88.33,78.71,62.08,29.61,,6.90,
2025-09-18T00:00:00Z,99.00,99.00,99.00,98.99,96.73,92.35,95.74,88.59,51.81,,14.99,
2025-09-19T00:00:00Z,99.00,99.00,99.00,98.99,96.73,92.35,98.49,94.43,54.19,,13.92,
2025-09-20T00:00:00Z,99.00,99.00,99.00,98.99,97.99,92.35,97.76,93.75,61.44,,18.42,
2025-09-21T00:00:00Z,99.00,99.00,99.00,99.00,99.00,92.35,96.01,93.22,72.33,,13.48,
2025-09-22T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,96.00,92.13,64.53,,10.25,
2025-09-23T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,95.90,92.80,61.21,,13.81,
2025-09-24T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,97.88,95.78,66.41,,16.89,
2025-09-25T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.57,98.15,84.14,69.41,30.70,6.80
2025-09-26T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,94.30,82.35,64.48,19.35
2025-09-27T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,94.83,76.66,10.23,3.01
2025-09-28T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.99,78.23,3.76,1.13,1.00
2025-09-29T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.98,89.07,2.17,1.00,1.00
