timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 77,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-10-01T00:00:00Z,,90.18,,,74.10,,,,,,35.72,
2025-10-02T00:00:00Z,94.00,90.68,,,75.94,,,,,,26.05,
2025-10-03T00:00:00Z,94.00,97.97,,,74.52,,,,,,30.25,
2025-10-04T00:00:00Z,94.00,97.13,,,74.46,,,,,,27.91,
2025-10-05T00:00:00Z,94.00,97.13,,,73.61,,,,,,33.01,
2025-10-06T00:00:00Z,96.00,93.00,,,72.69,,,,,,29.34,
2025-10-07T00:00:00Z,96.00,93.00,,,73.75,,,,,,28.91,
2025-10-08T00:00:00Z,96.00,94.31,,,75.46,,,,,,27.97,
2025-10-09T00:00:00Z,96.00,94.76,,,74.85,,,,46.45,,28.09,
2025-10-10T00:00:00Z,96.00,94.76,,,74.85,,71.98,,45.97,,20.33,
2025-10-11T00:00:00Z,96.00,96.00,,,77.64,,63.14,,48.12,,28.05,
2025-10-12T00:00:00Z,96.00,96.00,,,77.64,,66.14,,50.20,,28.79,
2025-10-13T00:00:00Z,96.00,93.18,,,76.94,,66.84,,52.48,,28.82,
2025-10-14T00:00:00Z,96.00,97.22,,,82.61,,64.18,,52.89,,30.01,
2025-10-15T00:00:00Z,96.00,94.00,,,81.75,,67.94,,49.39,,29.46,
2025-10-16T00:00:00Z,96.00,94.00,,,81.50,,66.69,,46.39,,29.69,
2025-10-17T00:00:00Z,96.00,94.12,,,81.00,,69.37,,51.73,,29.69,
2025-10-18T00:00:00Z,96.00,98.46,,,84.34,,66.84,,47.84,,25.00,
2025-10-19T00:00:00Z,96.00,98.46,,,88.58,,68.08,,49.36,,24.23,
2025-10-20T00:00:00Z,96.00,98.46,,,85.00,,68.18,,50.32,,26.94,
2025-10-21T00:00:00Z,96.00,98.46,,,85.43,,73.92,,55.62,,24.87,
2025-10-22T00:00:00Z,96.60,94.00,,,86.17,,68.66,,52.38,,24.43,
2025-10-23T00:00:00Z,96.60,98.00,,,86.05,,68.65,,49.10,,23.72,
2025-10-24T00:00:00Z,96.60,93.23,,,80.33,,74.68,,50.00,,25.36,
2025-10-25T00:00:00Z,96.00,94.00,,,80.33,,73.11,,52.98,,19.81,
2025-10-26T00:00:00Z,96.00,94.00,,,82.28,,71.41,,51.32,,25.46,
2025-10-27T00:00:00Z,96.00,97.66,,,80.41,,73.06,,48.19,,25.74,
2025-10-28T00:00:00Z,96.00,97.66,,,77.69,,64.41,,41.96,,17.61,6.92
2025-10-29T00:00:00Z,98.00,96.00,,87.02,75.68,,57.67,,38.54,,12.09,3.00
2025-10-30T00:00:00Z,98.24,93.36,93.00,84.92,76.65,,66.56,,38.92,,9.45,3.34
2025-10-31T00:00:00Z,98.24,96.00,94.60,90.08,81.42,,54.45,,40.60,,13.35,3.34
2025-11-01T00:00:00Z,95.35,96.00,92.00,95.00,82.01,,62.88,,40.20,,15.21,3.34
2025-11-02T00:00:00Z,95.35,94.83,92.00,95.00,75.88,,62.09,,35.89,,14.22,3.34
2025-11-04T00:00:00Z,96.73,87.69,90.62,82.68,68.53,,63.75,,24.42,,9.27,3.34
2025-11-05T00:00:00Z,96.73,96.97,98.00,98.90,93.57,95.66,78.56,78.16,42.19,19.05,5.58,1.38
2025-11-06T00:00:00Z,96.73,99.00,99.00,98.00,91.53,92.43,84.60,86.75,68.24,36.31,13.20,1.00
2025-11-07T00:00:00Z,96.73,99.00,99.00,98.84,98.42,97.00,93.95,83.48,32.47,8.89,1.21,1.00
2025-11-08T00:00:00Z,99.00,99.00,99.00,99.00,98.84,97.00,98.18,94.24,55.22,4.29,1.00,1.00
2025-11-09T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.00,98.87,94.27,14.30,1.04,1.00,1.00
2025-11-10T00:00:00Z,99.00,99.00,99.00,99.00,99.00,97.00,99.00,96.91,9.37,1.06,1.00,1.00
