timestamp,Above 45,Above 60,Above 70,Above 72,Above 75,Above 77,Above 80,Above 82,Above 85,Above 87,Above 90
2025-12-25T00:00:00Z,99.00,96.00,,,93.92,,,,,,18.88
2025-12-26T00:00:00Z,99.00,96.00,,,88.85,,,,,,18.24
2025-12-27T00:00:00Z,99.00,94.58,,,87.90,,,,,,22.84
2025-12-28T00:00:00Z,99.00,95.48,,,85.13,,,,,,22.15
2025-12-29T00:00:00Z,99.00,95.48,,,87.29,,,,,,17.67
2025-12-30T00:00:00Z,99.00,91.00,,,85.94,,,,46.98,,16.27
2025-12-31T00:00:00Z,99.00,96.00,,,84.41,,69.74,,35.12,,11.40
2026-01-01T00:00:00Z,99.00,96.00,,,80.19,,61.85,,31.12,,10.11
2026-01-02T00:00:00Z,99.00,96.00,,,80.63,,66.27,,33.43,,12.54
2026-01-03T00:00:00Z,99.00,96.00,,,87.08,,70.73,,38.65,,15.72
2026-01-04T00:00:00Z,99.00,96.00,,,88.00,,70.10,,40.30,,16.50
2026-01-05T00:00:00Z,99.00,96.00,,,87.59,,65.63,,39.59,,10.35
2026-01-06T00:00:00Z,99.00,96.00,,,86.15,,70.50,54.37,33.44,21.81,10.32
2026-01-07T00:00:00Z,99.00,99.00,,,92.27,91.90,69.26,58.20,27.83,15.23,7.12
2026-01-08T00:00:00Z,99.00,99.00,,,96.22,85.54,73.90,58.82,25.55,14.82,2.47
2026-01-09T00:00:00Z,99.00,98.97,90.94,77.72,62.74,39.72,22.31,6.38,1.52,1.65,1.00
2026-01-10T00:00:00Z,99.00,99.00,97.53,89.22,70.35,37.46,6.57,2.54,1.08,1.00,1.00
2026-01-11T00:00:00Z,99.00,99.00,99.00,98.17,92.03,46.66,1.16,1.00,1.00,1.00,1.00
2026-01-12T00:00:00Z,99.00,99.00,99.00,98.89,95.62,40.77,1.00,1.00,1.00,1.00,1.00
