timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90,Above 95
2026-03-04T00:00:00Z,93.00,92.00,,,,77.86,,59.41,,49.97,,19.00,8.30
2026-03-05T00:00:00Z,92.00,92.00,,,,72.75,,64.96,,44.37,37.00,19.00,7.00
2026-03-06T00:00:00Z,92.00,92.00,,84.07,,73.90,,62.94,,43.27,21.21,9.85,3.00
2026-03-07T00:00:00Z,96.00,92.00,,84.07,,73.90,,64.00,,39.00,21.21,7.41,3.00
2026-03-08T00:00:00Z,96.00,92.00,,84.07,82.73,76.00,,66.70,,39.00,21.21,7.41,3.00
2026-03-09T00:00:00Z,96.00,92.00,92.00,90.00,84.00,69.56,,61.71,,40.00,21.21,7.00,3.00
2026-03-10T00:00:00Z,96.00,93.00,88.00,57.67,56.06,50.98,,57.09,,34.63,15.38,7.00,3.00
2026-03-11T00:00:00Z,96.00,93.00,88.00,80.29,70.39,54.77,,44.43,,29.58,14.00,7.00,3.00
2026-03-12T00:00:00Z,96.00,93.00,88.00,82.00,78.00,55.16,,48.77,,33.94,18.25,5.00,3.00
2026-03-13T00:00:00Z,96.00,93.00,92.00,83.28,78.00,67.47,,50.00,,32.04,22.00,7.81,3.00
2026-03-14T00:00:00Z,96.44,96.00,97.16,92.97,88.56,80.69,,64.98,,44.61,26.82,26.70,3.85
2026-03-15T00:00:00Z,96.44,96.00,99.00,89.00,94.89,90.54,,82.95,,68.70,32.61,9.08,4.87
2026-03-16T00:00:00Z,99.00,96.00,97.00,89.00,94.68,79.69,,51.25,,30.87,16.53,2.19,1.00
2026-03-17T00:00:00Z,99.00,96.00,97.00,92.00,96.73,91.45,,74.81,,34.22,12.88,1.00,1.00
2026-03-18T00:00:00Z,99.00,99.00,97.00,95.17,93.89,78.77,71.72,51.05,36.91,28.34,12.63,1.06,1.00
2026-03-19T00:00:00Z,99.00,99.00,99.00,99.00,93.89,85.96,83.52,55.73,33.59,12.02,2.08,1.00,1.00
2026-03-20T00:00:00Z,99.00,99.00,99.00,95.96,89.86,68.37,54.90,28.78,19.11,4.45,1.00,1.00,1.00
2026-03-21T00:00:00Z,99.00,99.00,99.00,95.96,96.69,91.65,70.17,26.45,6.46,1.00,1.00,1.00,1.00
2026-03-22T00:00:00Z,99.00,99.00,99.00,95.96,99.00,97.57,93.24,45.47,8.55,1.00,1.00,1.00,1.00
2026-03-23T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.11,64.52,4.90,1.00,1.00,1.00,1.00
