timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90,Above 95
2026-03-03T16:00:00Z,93.00,,,,,,,,,,,,7.00
2026-03-03T17:00:00Z,93.00,,,,,,,,,,,,10.00
2026-03-03T18:00:00Z,93.00,,,,,80.81,,,,,,19.00,10.00
2026-03-03T20:00:00Z,93.00,,,,,75.00,,,,60.00,,19.00,10.00
2026-03-03T21:00:00Z,93.00,,,,,75.00,,69.00,,60.00,,19.00,10.00
2026-03-04T00:00:00Z,93.00,,,,,72.20,,69.00,,49.81,,19.00,10.00
2026-03-04T03:00:00Z,93.00,,,,,72.20,,59.00,,49.81,,19.00,10.00
2026-03-04T04:00:00Z,93.00,92.00,,,,72.20,,59.00,,49.81,,19.00,10.00
2026-03-04T07:00:00Z,93.00,92.00,,,,72.20,,68.00,,48.92,,19.00,10.00
2026-03-04T11:00:00Z,92.00,92.00,,,,72.20,,68.00,,48.92,,19.00,10.00
2026-03-04T17:00:00Z,92.00,92.00,,,,72.20,,68.00,,44.14,,19.00,7.00
2026-03-04T18:00:00Z,92.00,92.00,,,,73.00,,68.00,,43.00,,19.00,7.00
2026-03-04T21:00:00Z,92.00,92.00,,,,72.00,,68.00,,43.00,,19.00,7.00
2026-03-04T23:00:00Z,92.00,92.00,,,,72.00,,64.69,,43.29,,19.00,7.00
2026-03-05T02:00:00Z,92.00,92.00,,,,72.00,,64.69,,43.29,37.00,19.00,7.00
2026-03-05T05:00:00Z,92.00,92.00,,,,72.00,,64.69,,48.00,37.00,19.00,7.00
2026-03-05T06:00:00Z,92.00,92.00,,,,72.00,,64.69,,48.00,37.00,11.00,7.00
2026-03-05T07:00:00Z,92.00,92.00,,,,72.00,,64.13,,48.00,21.37,11.00,7.00
2026-03-05T08:00:00Z,92.00,92.00,,83.00,,72.00,,54.93,,48.00,21.37,11.00,7.00
2026-03-05T12:00:00Z,92.00,92.00,,83.00,,72.00,,54.93,,48.00,21.37,11.00,3.00
2026-03-05T14:00:00Z,92.00,92.00,,90.00,,73.88,,54.93,,39.00,20.00,7.00,3.00
2026-03-05T16:00:00Z,92.00,92.00,,90.00,,73.88,,54.93,,39.00,20.00,7.29,3.00
2026-03-05T19:00:00Z,92.00,92.00,,90.00,,73.88,,54.93,,39.00,20.00,7.29,3.00
2026-03-05T20:00:00Z,92.00,92.00,,90.00,,74.00,,63.54,,43.53,20.00,7.29,3.00
2026-03-05T21:00:00Z,92.00,92.00,,90.00,,74.00,,63.52,,43.92,20.00,7.29,3.00
2026-03-06T04:00:00Z,92.00,92.00,,90.00,,74.00,,63.52,,40.00,20.00,7.29,3.00
2026-03-06T07:00:00Z,92.00,92.00,,90.00,,74.00,,63.52,,40.00,20.00,6.00,3.00
