timestamp,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2024-07-18T00:00:00Z,,,,,,,,,25.77,20.31,,
2024-07-19T00:00:00Z,,,,,,,,,32.57,20.31,12.50,
2024-07-20T00:00:00Z,,,,,,,,,33.65,18.00,15.00,
2024-07-21T00:00:00Z,,,,,,,,,42.14,18.00,15.42,
2024-07-22T00:00:00Z,,,,,,,,,86.00,82.50,16.66,
2024-07-23T00:00:00Z,,,,,,,,,41.64,21.27,12.73,
2024-07-24T00:00:00Z,,86.00,76.50,69.00,67.80,62.82,,,38.55,20.51,12.73,
2024-07-25T00:00:00Z,,86.00,78.00,72.00,67.80,62.82,,,40.60,22.00,12.44,
2024-07-26T00:00:00Z,96.00,86.00,78.00,72.00,67.80,63.00,,49.00,40.60,18.00,15.59,
2024-07-27T00:00:00Z,96.00,86.00,78.00,72.00,67.80,62.00,,49.00,38.42,18.72,15.59,
2024-07-28T00:00:00Z,96.00,86.00,78.00,72.00,73.00,62.00,66.00,57.00,43.00,18.72,15.59,
2024-07-29T00:00:00Z,96.00,90.00,86.00,72.00,73.00,62.00,66.00,57.00,43.00,33.00,13.00,
2024-07-30T00:00:00Z,96.00,95.00,79.00,72.00,73.00,65.00,60.00,51.00,43.00,24.00,13.66,
2024-07-31T00:00:00Z,97.00,95.00,79.00,72.00,73.00,65.00,60.00,51.00,42.07,23.00,13.66,
2024-08-01T00:00:00Z,97.00,95.00,79.00,72.00,67.61,65.00,62.00,52.00,40.00,23.00,13.00,
2024-08-02T00:00:00Z,97.00,95.00,82.00,77.00,67.98,65.00,57.58,52.00,45.57,23.00,13.00,
2024-08-03T00:00:00Z,96.00,89.00,78.77,77.00,72.00,65.00,57.58,67.93,46.00,26.00,14.65,
2024-08-04T00:00:00Z,96.00,89.00,78.77,70.00,72.00,65.00,57.58,48.67,42.20,26.00,14.65,
2024-08-05T00:00:00Z,96.00,87.00,81.00,70.00,64.00,65.00,60.14,48.67,35.00,26.00,14.65,
2024-08-06T00:00:00Z,95.00,87.00,78.97,70.00,67.00,65.00,56.00,39.57,44.96,26.00,10.00,
2024-08-08T00:00:00Z,95.00,87.00,79.00,70.00,65.00,64.00,56.00,39.57,44.96,19.50,10.00,
2024-08-09T00:00:00Z,92.05,84.00,72.00,70.00,65.00,56.91,56.00,30.00,44.96,19.50,7.00,
2024-08-10T00:00:00Z,92.00,84.00,72.00,70.00,56.00,56.91,56.00,30.00,44.96,15.66,7.00,
2024-08-11T00:00:00Z,93.00,84.00,72.00,70.00,56.00,49.26,45.00,35.00,30.00,14.00,7.00,
2024-08-12T00:00:00Z,93.00,84.00,70.01,70.00,52.00,47.00,38.28,29.00,30.00,12.00,7.00,
2024-08-13T00:00:00Z,97.00,86.83,81.00,60.00,45.86,47.00,34.00,29.00,17.00,10.00,3.00,
2024-08-14T00:00:00Z,98.00,91.00,79.00,63.24,57.33,44.00,34.00,29.00,24.68,9.00,3.00,
2024-08-15T00:00:00Z,95.40,90.00,79.33,68.78,58.00,40.57,37.03,31.07,24.68,3.00,3.00,
2024-08-16T00:00:00Z,95.00,91.00,72.92,68.78,59.27,40.53,34.00,31.07,24.00,3.00,3.00,
2024-08-17T00:00:00Z,95.00,91.00,76.00,68.78,60.72,44.88,38.00,31.07,23.76,3.00,3.00,
2024-08-18T00:00:00Z,95.00,91.00,79.00,69.00,61.00,46.34,39.00,30.00,23.76,12.00,3.00,
2024-08-19T00:00:00Z,95.00,91.00,79.00,69.00,61.00,45.45,39.00,30.00,23.76,12.00,2.00,
2024-08-20T00:00:00Z,98.00,88.52,72.00,62.48,56.94,41.40,32.32,20.25,14.33,12.00,1.00,
2024-08-21T00:00:00Z,98.00,88.52,72.00,62.00,53.00,40.26,31.00,20.25,14.33,12.00,1.00,
2024-08-22T00:00:00Z,98.00,88.52,72.00,62.00,62.00,40.26,31.00,19.69,18.02,12.00,1.00,1.00
2024-08-23T00:00:00Z,94.52,88.52,79.00,62.00,52.00,26.28,24.41,12.72,6.32,1.40,1.00,1.00
2024-08-24T00:00:00Z,94.52,91.00,79.00,55.70,44.00,26.28,24.41,13.00,8.52,1.40,1.00,1.00
2024-08-25T00:00:00Z,96.00,88.50,79.00,55.70,44.00,26.28,24.00,13.00,8.52,1.40,1.00,1.00
2024-08-26T00:00:00Z,96.00,88.50,79.00,55.70,44.00,26.28,13.60,14.00,8.40,1.40,1.00,1.00
2024-08-27T00:00:00Z,95.10,92.00,51.00,55.70,44.00,20.71,12.78,14.00,9.00,6.00,2.00,1.00
2024-08-28T00:00:00Z,92.50,89.00,75.28,50.16,48.64,22.92,19.00,11.31,8.72,2.60,2.00,1.00
2024-08-29T00:00:00Z,96.17,88.04,77.00,49.08,36.30,18.58,23.55,6.39,7.00,1.22,2.00,1.00
2024-08-30T00:00:00Z,99.00,96.74,90.14,78.57,63.78,33.57,19.84,6.39,2.00,1.22,2.00,1.00
2024-08-31T00:00:00Z,99.00,98.84,89.60,61.95,23.75,6.99,1.08,1.00,1.54,1.22,2.00,1.00
2024-09-01T00:00:00Z,99.00,99.00,93.45,14.28,1.00,1.00,1.08,1.00,1.00,1.22,2.00,1.00
2024-09-02T00:00:00Z,99.00,99.00,99.00,5.00,1.00,1.00,1.08,1.00,1.00,1.22,2.00,1.00
