timestamp,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2024-07-17T16:00:00Z,,,,,,,,,2.11,,,
2024-07-17T17:00:00Z,,,,,,,,,49.00,,,
2024-07-17T19:00:00Z,,,,,,,,,30.00,,,
2024-07-17T20:00:00Z,,,,,,,,,32.00,,,
2024-07-17T21:00:00Z,,,,,,,,,34.00,18.85,,
2024-07-17T22:00:00Z,,,,,,,,,34.00,21.00,,
2024-07-18T00:00:00Z,,,,,,,,,29.00,21.00,,
2024-07-18T01:00:00Z,,,,,,,,,29.00,21.00,,
2024-07-18T03:00:00Z,,,,,,,,,28.24,24.00,,
2024-07-18T04:00:00Z,,,,,,,,,30.00,24.00,,
2024-07-18T13:00:00Z,,,,,,,,,32.00,24.00,,
2024-07-18T14:00:00Z,,,,,,,,,32.00,24.00,,
2024-07-18T17:00:00Z,,,,,,,,,31.47,24.00,,
2024-07-18T18:00:00Z,,,,,,,,,36.00,24.00,15.00,
2024-07-18T21:00:00Z,,,,,,,,,38.00,24.00,11.00,
2024-07-18T22:00:00Z,,,,,,,,,33.00,24.00,11.00,
2024-07-19T17:00:00Z,,,,,,,,,33.00,24.00,15.00,
2024-07-19T19:00:00Z,,,,,,,,,31.25,24.00,15.00,
2024-07-19T20:00:00Z,,,,,,,,,35.00,24.00,15.00,
2024-07-19T23:00:00Z,,,,,,,,,35.00,24.00,15.00,
2024-07-20T00:00:00Z,,,,,,,,,35.00,24.00,15.00,
2024-07-20T01:00:00Z,,,,,,,,,31.00,24.00,15.00,
2024-07-20T02:00:00Z,,,,,,,,,35.00,18.00,15.00,
2024-07-20T04:00:00Z,,,,,,,,,31.00,18.00,15.00,
2024-07-20T15:00:00Z,,,,,,,,,31.00,18.00,15.00,
2024-07-20T17:00:00Z,,,,,,,,,31.00,18.00,15.00,
2024-07-20T19:00:00Z,,,,,,,,,34.92,18.00,15.00,
2024-07-20T21:00:00Z,,,,,,,,,36.00,18.00,15.00,
2024-07-20T22:00:00Z,,,,,,,,,45.50,18.00,15.00,
2024-07-21T01:00:00Z,,,,,,,,,46.00,18.00,18.00,
2024-07-21T17:00:00Z,,,,,,,,,86.00,18.00,18.00,
2024-07-21T19:00:00Z,,,,,,,,,86.00,18.00,20.00,
2024-07-21T22:00:00Z,,,,,,,,,86.00,18.00,12.00,
2024-07-22T01:00:00Z,,,,,,,,,86.00,18.00,20.00,
2024-07-22T02:00:00Z,,,,,,,,,86.00,82.50,20.00,
2024-07-22T04:00:00Z,,,,,,,,,86.00,82.50,16.00,
2024-07-22T15:00:00Z,,,,,,,,,39.00,21.00,16.00,
2024-07-22T16:00:00Z,,,,,,,,,39.00,21.00,16.00,
2024-07-22T17:00:00Z,,,,,,,,,44.00,21.00,13.00,
2024-07-22T19:00:00Z,,,,,,,,,44.00,21.00,13.00,
2024-07-22T20:00:00Z,,,,,,,,,44.00,21.00,12.00,
2024-07-22T23:00:00Z,,,,,,,,,38.79,21.00,12.00,
2024-07-23T00:00:00Z,,,,,,,,,34.00,22.00,12.00,
2024-07-23T14:00:00Z,,,,,,,,,38.58,20.00,12.00,
2024-07-23T16:00:00Z,,,,,,60.00,,,38.58,20.00,12.00,
2024-07-23T17:00:00Z,,,76.22,,,63.00,,,38.58,20.00,12.00,
2024-07-23T18:00:00Z,,,76.22,69.00,63.00,63.00,,,38.58,17.00,12.00,
2024-07-23T19:00:00Z,,86.00,76.22,69.00,63.00,63.00,,,38.58,17.00,12.00,
2024-07-23T20:00:00Z,,86.00,76.22,69.00,63.00,63.00,,,37.00,20.55,12.00,
2024-07-23T22:00:00Z,,86.00,76.22,69.00,63.00,62.00,,,37.00,20.55,12.00,
2024-07-23T23:00:00Z,,86.00,77.00,69.00,63.00,62.00,,,37.00,20.55,12.00,
