timestamp,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 60,Above 75,Above 90
2024-10-25T00:00:00Z,,,,,75.00,,50.00,,
2024-10-26T00:00:00Z,,,,,64.97,,34.74,,
2024-10-27T00:00:00Z,,,,,63.27,,36.39,16.92,
2024-10-28T00:00:00Z,,,,,62.00,,39.75,16.00,
2024-10-29T00:00:00Z,,,,,60.55,,40.59,13.20,4.00
2024-10-30T00:00:00Z,,,,,59.72,,39.32,15.86,4.00
2024-10-31T00:00:00Z,,,,,57.95,,36.89,16.54,4.66
2024-11-01T00:00:00Z,,,,,59.37,,40.89,14.66,4.66
2024-11-02T00:00:00Z,,,,,56.81,,40.87,17.23,5.00
2024-11-03T00:00:00Z,,,,,60.33,,41.87,21.10,6.00
2024-11-04T00:00:00Z,,,,,60.33,,41.87,21.10,1.00
2024-11-05T00:00:00Z,,90.00,78.00,72.82,48.99,45.40,32.39,16.11,5.47
2024-11-06T00:00:00Z,,75.40,74.39,64.95,49.64,44.02,39.33,23.40,5.47
2024-11-07T00:00:00Z,,85.37,71.43,44.47,33.22,21.88,18.51,10.29,5.76
2024-11-08T00:00:00Z,,79.90,58.76,40.50,21.61,10.47,8.68,3.98,2.58
2024-11-09T00:00:00Z,,74.78,51.36,30.29,11.80,8.39,2.06,1.69,2.73
2024-11-10T00:00:00Z,,78.98,58.25,28.70,12.37,10.28,2.52,1.95,2.73
2024-11-11T00:00:00Z,,86.27,58.58,28.04,14.09,5.74,5.21,3.00,2.73
2024-11-12T00:00:00Z,81.79,76.52,42.03,20.61,6.13,2.91,1.75,3.00,1.00
2024-11-13T00:00:00Z,76.26,52.71,29.68,9.46,4.36,2.80,2.66,2.00,1.00
2024-11-14T00:00:00Z,88.23,79.94,48.97,22.94,7.57,3.67,1.97,6.00,1.00
2024-11-15T00:00:00Z,94.39,76.94,41.53,7.65,2.95,3.23,2.92,2.15,1.00
2024-11-16T00:00:00Z,93.45,70.68,14.30,1.48,4.63,5.99,1.13,2.27,1.00
2024-11-17T00:00:00Z,97.79,82.48,14.09,1.48,4.63,1.00,1.13,2.00,1.00
2024-11-18T00:00:00Z,98.08,92.74,4.41,1.71,1.00,1.00,1.00,2.00,1.00
