timestamp,Above 45,Above 60,Above 75,Above 80,Above 85,Above 87,Above 90,Above 92,Above 95
2025-10-16T00:00:00Z,,96.17,95.97,,,,31.47,,
2025-10-17T00:00:00Z,,96.17,90.91,,,,31.00,,
2025-10-18T00:00:00Z,,96.17,90.91,93.00,,,30.57,,6.85
2025-10-19T00:00:00Z,,96.17,90.91,93.00,77.68,,30.75,,4.00
2025-10-20T00:00:00Z,,96.17,90.91,93.00,75.12,,32.09,,4.00
2025-10-21T00:00:00Z,,97.00,97.00,92.58,72.95,,32.63,,4.58
2025-10-22T00:00:00Z,,97.00,97.00,92.58,81.00,,33.50,,5.00
2025-10-23T00:00:00Z,,97.00,97.00,92.58,81.00,,32.87,12.00,5.00
2025-10-24T00:00:00Z,,97.00,97.00,92.58,81.00,68.60,33.40,12.00,5.00
2025-10-25T00:00:00Z,,97.00,97.00,92.58,84.00,69.00,35.94,16.49,5.26
2025-10-26T00:00:00Z,,97.00,97.00,92.58,84.00,79.30,39.35,16.41,6.00
2025-10-27T00:00:00Z,,97.00,97.00,92.58,89.00,78.00,44.17,20.00,6.00
2025-10-28T00:00:00Z,,97.00,97.00,92.58,89.00,70.92,38.74,15.00,6.00
2025-10-29T00:00:00Z,,97.00,97.00,92.58,89.00,72.00,41.40,15.00,6.00
2025-10-30T00:00:00Z,,97.00,97.00,92.58,89.00,72.00,45.77,19.16,6.00
2025-10-31T00:00:00Z,,97.00,97.00,92.58,85.33,70.02,38.90,22.73,6.00
2025-11-01T00:00:00Z,,97.00,97.00,95.00,85.33,71.00,38.90,22.73,7.00
2025-11-02T00:00:00Z,,99.00,97.00,95.41,86.00,76.50,44.10,23.00,7.35
2025-11-03T00:00:00Z,,99.00,97.00,95.00,86.00,76.50,44.10,23.00,7.35
2025-11-04T00:00:00Z,,99.00,97.00,96.66,85.45,76.50,48.93,24.15,7.82
2025-11-05T00:00:00Z,,99.00,97.00,96.66,85.80,73.00,49.60,22.48,8.00
2025-11-06T00:00:00Z,,99.00,97.00,96.66,84.00,73.00,44.56,27.75,8.00
2025-11-07T00:00:00Z,,99.00,97.00,97.00,84.00,74.50,50.90,27.83,8.00
2025-11-08T00:00:00Z,,99.00,97.00,97.00,90.65,75.00,51.00,27.00,8.00
2025-11-09T00:00:00Z,,99.00,97.00,97.00,90.65,74.39,50.78,28.55,8.07
2025-11-10T00:00:00Z,,99.00,97.00,97.00,93.00,74.78,49.96,29.00,9.95
2025-11-11T00:00:00Z,,99.00,97.00,97.00,93.00,75.66,53.72,29.86,9.40
2025-11-12T00:00:00Z,,99.00,97.00,97.00,94.93,78.94,54.82,27.66,10.00
2025-11-13T00:00:00Z,,99.00,97.00,96.00,94.93,77.77,49.24,24.97,9.00
2025-11-14T00:00:00Z,,99.00,97.00,96.00,95.00,78.00,56.53,30.65,9.00
2025-11-15T00:00:00Z,,99.00,97.00,96.00,90.73,75.95,56.83,33.67,12.45
2025-11-16T00:00:00Z,,99.00,97.00,96.00,96.84,81.41,77.47,37.82,16.02
2025-11-17T00:00:00Z,,99.00,97.00,99.00,87.60,83.35,60.05,43.42,13.59
2025-11-18T00:00:00Z,,99.00,97.00,99.00,92.94,84.00,60.61,44.84,9.90
2025-11-19T00:00:00Z,,99.00,97.00,99.00,87.42,60.69,37.14,19.43,4.57
2025-11-20T00:00:00Z,,99.00,97.00,99.00,76.08,50.55,12.83,3.69,1.61
2025-11-21T00:00:00Z,,99.00,97.00,97.00,88.53,58.17,17.90,3.09,1.00
2025-11-22T00:00:00Z,,99.00,97.00,96.19,57.00,16.31,2.94,1.13,1.00
2025-11-23T00:00:00Z,,99.00,99.00,98.00,92.87,18.14,1.00,1.00,1.00
2025-11-24T00:00:00Z,,99.00,99.00,98.50,97.83,46.46,1.30,1.00,1.00
