timestamp,Above 0,Above 5,Above 10,Above 12,Above 15,Above 17,Above 20,Above 22,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2025-12-25T00:00:00Z,,,,,,,,,,,,,32.03,21.96,8.25,1.00
2025-12-26T00:00:00Z,,,,,,,,,,,,,32.74,18.90,8.25,1.00
2025-12-27T00:00:00Z,,,,,,,,,,,,,29.13,19.00,8.42,4.00
2025-12-28T00:00:00Z,,,,,,,,,,,,,32.50,19.66,8.42,3.00
2025-12-29T00:00:00Z,,,,,,,,,,,,,34.29,20.00,8.42,3.00
2025-12-30T00:00:00Z,,,,,,,,,,,,,31.49,21.74,9.00,3.00
2025-12-31T00:00:00Z,,,,,,,,,,,,,33.54,20.36,9.00,3.00
2026-01-01T00:00:00Z,,,,,,,,,,,,,37.33,20.42,9.00,3.00
2026-01-02T00:00:00Z,,,,,,,,,,,,,32.70,19.40,9.02,3.00
2026-01-03T00:00:00Z,,,,,,,,,,,,,40.00,21.87,10.90,3.00
2026-01-04T00:00:00Z,,,,,,,,,,,,,37.40,22.00,10.90,3.00
2026-01-05T00:00:00Z,,,,,,,,,,,,,35.37,22.00,7.61,3.00
2026-01-06T00:00:00Z,,,,,,,,,,,,46.00,39.94,14.15,9.93,3.00
2026-01-07T00:00:00Z,,,,,,,,,,58.46,,45.50,39.94,14.15,6.67,3.00
2026-01-08T00:00:00Z,,,,,,,,,,61.00,50.24,41.95,38.00,17.40,8.63,3.00
2026-01-09T00:00:00Z,,,,,,,,,,55.28,45.70,37.47,38.00,19.87,6.51,3.00
2026-01-10T00:00:00Z,,,,,,,,,,54.47,43.00,43.00,38.00,19.00,8.03,3.00
2026-01-11T00:00:00Z,,,,,,,,,,52.00,49.30,43.54,36.33,18.00,9.15,3.00
2026-01-12T00:00:00Z,,,,,,,,,,52.00,51.00,39.20,29.71,18.00,9.15,3.00
2026-01-13T00:00:00Z,,,,,,,,,,56.47,47.03,39.20,28.00,16.26,9.00,2.52
2026-01-14T00:00:00Z,,,,,,,,,,60.65,51.86,35.50,30.11,18.00,3.97,2.52
2026-01-15T00:00:00Z,,,,,,,,,,60.95,46.00,35.00,28.44,18.00,8.53,2.52
2026-01-16T00:00:00Z,,,,,,,,,,57.21,46.08,32.43,27.83,17.15,7.50,3.07
2026-01-17T00:00:00Z,,,,,,,,,,56.09,46.43,30.00,24.53,15.05,5.27,4.00
2026-01-18T00:00:00Z,,,,,,,,,,56.00,47.54,32.66,28.30,15.34,5.00,4.00
2026-01-19T00:00:00Z,,,,,,,,,,55.17,42.16,34.70,29.27,15.48,7.83,4.00
2026-01-20T00:00:00Z,,,,,,,,,,57.37,43.65,32.77,31.00,12.16,6.41,4.28
2026-01-21T00:00:00Z,,,,,,,,,,52.53,38.79,30.32,26.25,11.82,3.83,4.28
2026-01-22T00:00:00Z,98.55,74.15,49.60,,33.64,,14.11,,6.34,4.30,3.33,1.73,2.25,1.48,1.14,4.28
2026-01-23T00:00:00Z,98.55,74.72,50.48,,24.12,,16.12,,3.74,3.94,1.01,1.00,1.00,2.02,1.00,1.00
2026-01-24T00:00:00Z,98.55,97.13,89.22,,52.03,53.44,20.26,,4.64,1.00,1.02,1.00,1.00,1.00,1.00,1.00
2026-01-25T00:00:00Z,98.55,99.00,97.80,90.13,58.98,25.96,18.52,14.75,2.99,1.00,1.02,1.00,1.00,1.00,1.00,1.00
2026-01-26T00:00:00Z,98.55,99.00,99.00,96.63,67.35,12.82,8.03,5.02,1.01,1.00,1.02,1.00,1.00,1.00,1.00,1.00
