timestamp,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 75,Above 90
2025-10-17T00:00:00Z,,,,,66.83,,,40.22,,17.00,
2025-10-18T00:00:00Z,,,,,68.44,,,39.84,,17.61,
2025-10-19T00:00:00Z,,,,,70.57,,,42.69,,18.74,
2025-10-20T00:00:00Z,,,,,62.60,,,37.47,,19.00,5.00
2025-10-21T00:00:00Z,,,,,70.96,,,37.34,,14.26,5.00
2025-10-22T00:00:00Z,,,,,70.96,,,36.00,,14.26,5.00
2025-10-23T00:00:00Z,,,,,69.91,,,36.00,,14.26,5.00
2025-10-24T00:00:00Z,,,,,70.85,,,45.92,,16.32,5.00
2025-10-25T00:00:00Z,,,,,70.85,,,45.00,,14.00,5.00
2025-10-26T00:00:00Z,,,,,70.85,,,39.00,,14.00,5.00
2025-10-28T00:00:00Z,,,,,67.00,,,37.90,,12.30,5.00
2025-10-29T00:00:00Z,,,,,69.63,,,37.00,,13.00,4.00
2025-10-30T00:00:00Z,,,,,70.00,,,37.00,,16.57,4.00
2025-10-31T00:00:00Z,,,,79.32,74.39,62.00,59.00,45.92,32.79,19.90,4.00
2025-11-01T00:00:00Z,,,,79.32,78.00,62.00,59.00,35.00,32.79,19.90,4.00
2025-11-02T00:00:00Z,,,,93.00,78.00,62.00,59.00,40.00,32.79,19.90,6.44
2025-11-04T00:00:00Z,,,,91.47,81.21,73.35,61.68,52.99,52.61,32.44,6.16
2025-11-05T00:00:00Z,,,,86.81,82.71,63.34,63.00,54.36,43.31,21.96,3.39
2025-11-06T00:00:00Z,,,,86.26,78.72,61.00,53.65,49.20,37.72,19.59,6.00
2025-11-07T00:00:00Z,,,,75.80,68.11,54.90,50.10,44.24,22.58,10.41,3.00
2025-11-08T00:00:00Z,95.63,92.72,92.61,96.96,87.18,87.96,76.56,60.08,29.90,11.01,3.00
2025-11-09T00:00:00Z,96.12,92.72,99.00,96.05,92.31,84.90,89.94,63.93,59.29,25.58,3.14
2025-11-10T00:00:00Z,96.38,92.72,99.00,97.71,95.37,93.63,89.63,90.88,86.70,53.80,4.04
