timestamp,Above 25,Above 30,Above 32,Above 35,Above 37,Above 40,Above 42,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2026-02-05T00:00:00Z,,,,,,,,91.90,,,71.00,,,29.63,4.44
2026-02-06T00:00:00Z,,,,,,,,88.08,,,60.22,,,23.44,9.86
2026-02-07T00:00:00Z,,,,,,,,79.31,,,67.46,,,36.00,11.21
2026-02-08T00:00:00Z,,,,,,,,90.60,,,78.75,,,41.00,8.26
2026-02-09T00:00:00Z,,,,,,,,80.13,,,86.36,,,72.00,9.00
2026-02-10T00:00:00Z,,,,,,,,88.72,,,73.62,,,45.61,7.97
2026-02-11T00:00:00Z,,,,,,,,92.27,,,73.60,,,44.55,6.85
2026-02-12T00:00:00Z,,,,,,,,93.00,,,79.75,,,47.03,5.00
2026-02-13T00:00:00Z,,,,,,,,92.69,,,81.23,,,47.45,7.38
2026-02-14T00:00:00Z,,,,,,,,91.85,,,81.50,,,49.08,5.84
2026-02-15T00:00:00Z,,,,,,,,94.81,,,81.90,,,50.00,4.80
2026-02-16T00:00:00Z,,,,,,,,91.78,,,81.18,,,45.08,7.11
2026-02-17T00:00:00Z,,,,,,,,93.74,92.00,91.00,77.60,62.77,43.57,33.76,3.36
2026-02-18T00:00:00Z,,,,,,,,91.96,86.60,91.00,74.05,66.84,56.68,30.03,2.78
2026-02-19T00:00:00Z,,,,,,,,91.10,83.80,80.65,70.69,55.36,52.80,28.66,2.25
2026-02-20T00:00:00Z,,,,,,,,90.04,84.50,79.00,63.82,52.36,43.43,27.99,3.03
2026-02-21T00:00:00Z,,,,,,,,85.75,83.63,76.12,58.62,43.77,46.49,29.61,3.60
2026-02-22T00:00:00Z,,,,,,,,83.71,78.12,68.43,60.22,40.92,38.37,27.79,4.31
2026-02-23T00:00:00Z,,,,,,,,87.43,79.00,69.53,63.44,43.98,40.77,26.63,4.10
2026-02-24T00:00:00Z,,,,,,,,80.00,58.33,63.62,24.12,39.05,33.38,20.15,3.36
2026-02-25T00:00:00Z,,,,,,,,92.56,75.63,56.16,48.72,28.33,25.74,17.31,7.10
2026-02-26T00:00:00Z,80.46,77.52,,67.01,,59.38,,39.79,29.35,32.44,26.94,14.15,4.85,2.70,1.75
2026-02-27T00:00:00Z,94.93,94.50,,85.86,,47.58,,20.46,12.07,5.86,1.87,1.87,2.73,1.08,1.00
2026-02-28T00:00:00Z,99.00,92.85,55.58,23.06,10.79,6.23,1.21,2.24,1.37,1.00,1.00,1.00,1.00,1.00,1.00
2026-03-01T00:00:00Z,99.00,98.19,80.67,16.81,2.76,1.04,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-03-02T00:00:00Z,99.00,99.00,94.46,5.94,1.27,1.00,1.00,1.00,1.00,1.00,1.00,11.42,1.00,1.00,1.00
