timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95
2025-12-31T00:00:00Z,90.00,70.97,,,34.49,,,,,5.00,,
2026-01-01T00:00:00Z,89.69,72.99,,,42.38,,,,,6.95,,
2026-01-02T00:00:00Z,89.96,74.00,,,50.00,,,,,11.25,,
2026-01-03T00:00:00Z,88.45,74.00,,,48.03,,,,,5.96,,
2026-01-04T00:00:00Z,88.45,74.00,,,48.18,,,,,6.09,,
2026-01-05T00:00:00Z,92.44,75.28,,,51.76,,,,,11.30,,
2026-01-06T00:00:00Z,92.44,75.28,,,53.22,,,,,12.00,,
2026-01-07T00:00:00Z,92.44,81.55,,,56.16,,,,,11.92,,
2026-01-08T00:00:00Z,92.44,83.00,,,56.05,,,,,13.00,,
2026-01-09T00:00:00Z,94.00,81.00,,,48.02,,,,,9.00,,
2026-01-10T00:00:00Z,94.00,81.00,,,51.57,,,,,12.89,,
2026-01-11T00:00:00Z,94.00,81.00,,,52.00,,,,,12.89,,
2026-01-12T00:00:00Z,94.00,81.96,,,50.12,,,,,12.89,,
2026-01-13T00:00:00Z,93.00,82.00,,,51.04,,,,,7.50,,
2026-01-14T00:00:00Z,93.00,82.00,,,48.85,,,,,13.51,,
2026-01-15T00:00:00Z,95.00,82.00,,,47.38,,,,,12.78,,
2026-01-16T00:00:00Z,90.55,82.00,,,51.12,,,,,13.91,,
2026-01-17T00:00:00Z,94.97,76.00,,,51.91,,,,,13.93,,
2026-01-18T00:00:00Z,94.97,77.25,,,52.25,,,,,13.93,,
2026-01-19T00:00:00Z,94.97,82.00,,,50.56,,,,,13.93,,
2026-01-20T00:00:00Z,94.97,76.28,,,52.77,,,,,13.20,,
2026-01-21T00:00:00Z,94.00,81.57,80.00,68.00,53.66,,,24.50,,10.68,,
2026-01-22T00:00:00Z,94.00,84.90,83.10,76.25,55.62,44.74,,27.60,,10.14,,
2026-01-23T00:00:00Z,97.00,88.32,90.80,76.89,59.77,46.64,,29.17,,13.93,,
2026-01-24T00:00:00Z,98.33,96.02,95.00,93.00,78.16,72.15,,37.84,,24.73,,
2026-01-25T00:00:00Z,98.33,97.36,95.00,90.00,80.80,68.46,,37.28,,17.00,,
2026-01-26T00:00:00Z,98.33,99.00,94.41,89.22,86.17,71.84,,37.94,,18.15,,
2026-01-27T00:00:00Z,98.33,97.76,97.35,98.87,91.48,88.35,92.15,72.91,60.06,20.88,8.46,1.48
2026-01-28T00:00:00Z,98.33,99.00,99.00,99.00,99.00,97.61,92.89,88.17,71.49,41.48,19.39,1.15
2026-01-29T00:00:00Z,98.33,99.00,99.00,99.00,99.00,98.91,92.89,95.51,87.45,76.55,32.51,1.18
2026-01-30T00:00:00Z,98.33,99.00,99.00,99.00,99.00,99.00,98.72,91.36,76.34,38.86,6.87,1.00
2026-01-31T00:00:00Z,98.33,99.00,99.00,99.00,99.00,99.00,98.72,98.88,97.57,91.08,46.87,1.00
2026-02-01T00:00:00Z,98.33,99.00,99.00,99.00,99.00,99.00,98.72,99.00,99.00,98.11,82.09,1.00
2026-02-02T00:00:00Z,98.33,99.00,99.00,99.00,99.00,99.00,98.72,99.00,99.00,99.00,94.43,1.00
