timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95
2025-12-30T16:00:00Z,90.00,66.00,,,30.00,,,,,5.00,,
2025-12-30T17:00:00Z,90.00,62.00,,,32.96,,,,,5.00,,
2025-12-30T18:00:00Z,90.00,61.00,,,26.00,,,,,5.00,,
2025-12-30T19:00:00Z,90.00,61.00,,,26.00,,,,,5.00,,
2025-12-30T20:00:00Z,90.00,61.00,,,26.00,,,,,5.00,,
2025-12-30T21:00:00Z,90.00,61.90,,,26.00,,,,,5.00,,
2025-12-30T22:00:00Z,90.00,61.00,,,26.00,,,,,5.00,,
2025-12-31T03:00:00Z,90.00,71.91,,,34.89,,,,,5.00,,
2025-12-31T06:00:00Z,90.00,71.91,,,36.00,,,,,5.00,,
2025-12-31T12:00:00Z,90.00,72.00,,,36.00,,,,,6.95,,
2025-12-31T20:00:00Z,86.57,72.00,,,36.00,,,,,6.95,,
2025-12-31T23:00:00Z,89.99,73.00,,,42.60,,,,,6.95,,
2026-01-01T01:00:00Z,88.00,78.00,,,44.00,,,,,6.95,,
2026-01-01T04:00:00Z,88.00,78.00,,,44.00,,,,,6.95,,
2026-01-01T07:00:00Z,88.00,78.00,,,44.00,,,,,12.00,,
2026-01-01T13:00:00Z,90.00,78.00,,,44.00,,,,,12.00,,
2026-01-01T19:00:00Z,89.00,78.00,,,44.00,,,,,12.00,,
2026-01-01T23:00:00Z,89.00,74.00,,,44.00,,,,,12.00,,
2026-01-02T00:00:00Z,89.00,74.00,,,50.00,,,,,12.00,,
2026-01-02T02:00:00Z,89.00,74.00,,,50.00,,,,,8.71,,
2026-01-02T06:00:00Z,89.00,74.00,,,50.00,,,,,5.00,,
2026-01-02T09:00:00Z,88.45,74.00,,,51.82,,,,,5.00,,
2026-01-02T22:00:00Z,88.45,74.00,,,51.82,,,,,5.00,,
2026-01-02T23:00:00Z,88.45,74.00,,,51.82,,,,,6.00,,
2026-01-03T00:00:00Z,88.45,74.00,,,51.82,,,,,6.00,,
2026-01-03T03:00:00Z,88.45,74.00,,,51.82,,,,,6.00,,
2026-01-03T05:00:00Z,88.45,74.00,,,45.03,,,,,6.00,,
2026-01-03T15:00:00Z,88.45,74.00,,,45.03,,,,,5.00,,
2026-01-03T17:00:00Z,88.45,74.00,,,44.00,,,,,5.00,,
2026-01-04T04:00:00Z,88.45,74.00,,,50.05,,,,,10.13,,
2026-01-04T06:00:00Z,88.45,74.00,,,51.00,,,,,10.13,,
2026-01-04T15:00:00Z,92.00,73.00,,,43.41,,,,,10.13,,
2026-01-04T17:00:00Z,92.00,78.00,,,43.41,,,,,10.13,,
2026-01-04T18:00:00Z,92.00,78.00,,,43.41,,,,,9.55,,
2026-01-04T19:00:00Z,92.00,78.00,,,51.95,,,,,9.55,,
2026-01-04T22:00:00Z,95.00,77.00,,,51.95,,,,,9.55,,
2026-01-04T23:00:00Z,95.00,75.93,,,51.95,,,,,9.55,,
2026-01-05T01:00:00Z,95.00,75.93,,,50.23,,,,,9.55,,
2026-01-05T02:00:00Z,92.00,75.93,,,50.23,,,,,9.55,,
2026-01-05T03:00:00Z,92.00,82.53,,,51.91,,,,,11.92,,
2026-01-05T04:00:00Z,92.00,75.03,,,51.91,,,,,13.55,,
2026-01-05T10:00:00Z,92.00,75.03,,,53.00,,,,,13.55,,
2026-01-05T15:00:00Z,92.00,75.03,,,53.00,,,,,12.00,,
2026-01-05T19:00:00Z,92.00,75.03,,,53.00,,,,,12.00,,
2026-01-05T23:00:00Z,92.00,75.03,,,54.00,,,,,12.00,,
2026-01-06T00:00:00Z,92.00,75.03,,,54.00,,,,,12.00,,
2026-01-06T08:00:00Z,92.00,79.00,,,54.00,,,,,12.00,,
2026-01-06T18:00:00Z,92.00,79.00,,,54.00,,,,,11.00,,
2026-01-06T19:00:00Z,92.00,79.75,,,56.00,,,,,11.00,,
2026-01-06T20:00:00Z,92.00,82.00,,,56.00,,,,,11.91,,
2026-01-06T21:00:00Z,92.00,82.00,,,56.00,,,,,12.00,,
2026-01-06T22:00:00Z,92.00,82.00,,,57.05,,,,,12.00,,
2026-01-07T00:00:00Z,92.00,82.73,,,57.05,,,,,12.00,,
2026-01-07T01:00:00Z,92.00,82.73,,,57.05,,,,,12.00,,
2026-01-07T02:00:00Z,92.00,82.00,,,57.05,,,,,12.00,,
2026-01-07T10:00:00Z,92.00,82.00,,,57.05,,,,,13.00,,
2026-01-07T18:00:00Z,92.00,82.00,,,57.05,,,,,13.00,,
2026-01-07T19:00:00Z,92.00,83.00,,,57.05,,,,,13.00,,
2026-01-07T23:00:00Z,92.00,83.00,,,55.00,,,,,13.00,,
2026-01-08T03:00:00Z,92.00,83.00,,,57.00,,,,,13.00,,
2026-01-08T04:00:00Z,92.00,83.00,,,54.00,,,,,13.00,,
2026-01-08T08:00:00Z,94.00,83.00,,,47.38,,,,,13.00,,
2026-01-08T15:00:00Z,94.00,83.00,,,47.38,,,,,9.00,,
2026-01-09T02:00:00Z,94.00,83.00,,,51.74,,,,,9.00,,
2026-01-09T05:00:00Z,94.00,81.00,,,51.74,,,,,9.00,,
2026-01-09T13:00:00Z,94.00,81.00,,,52.00,,,,,9.00,,
2026-01-09T16:00:00Z,94.00,81.00,,,52.08,,,,,12.89,,
2026-01-09T18:00:00Z,94.00,81.00,,,52.00,,,,,12.89,,
2026-01-09T19:00:00Z,94.00,81.00,,,52.00,,,,,12.89,,
2026-01-09T22:00:00Z,94.00,81.00,,,47.10,,,,,12.89,,
2026-01-10T00:00:00Z,94.00,81.00,,,51.62,,,,,12.89,,
2026-01-10T21:00:00Z,94.00,81.00,,,52.00,,,,,12.89,,
2026-01-11T21:00:00Z,94.00,81.96,,,51.26,,,,,12.89,,
2026-01-11T22:00:00Z,94.00,81.96,,,52.00,,,,,12.89,,
2026-01-12T00:00:00Z,94.00,81.96,,,49.24,,,,,12.89,,
2026-01-12T06:00:00Z,94.00,81.96,,,52.00,,,,,12.89,,
2026-01-12T19:00:00Z,93.00,82.00,,,51.00,,,,,12.89,,
2026-01-12T23:00:00Z,93.00,82.00,,,51.00,,,,,12.89,,
2026-01-13T00:00:00Z,93.00,82.00,,,51.00,,,,,12.89,,
2026-01-13T05:00:00Z,93.00,82.00,,,51.00,,,,,7.50,,
2026-01-13T08:00:00Z,93.00,82.00,,,50.00,,,,,7.50,,
2026-01-13T16:00:00Z,93.00,82.00,,,50.00,,,,,13.13,,
2026-01-13T17:00:00Z,93.00,82.00,,,50.00,,,,,13.13,,
2026-01-13T18:00:00Z,93.00,82.00,,,48.57,,,,,13.13,,
2026-01-13T19:00:00Z,93.00,82.00,,,48.57,,,,,14.00,,
2026-01-13T22:00:00Z,93.00,82.00,,,48.57,,,,,14.00,,
2026-01-13T23:00:00Z,93.00,82.00,,,48.57,,,,,14.00,,
