timestamp,Above 45,Above 60,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95,Above 96,Above 97,Above 98,Above 99
2025-03-08T00:00:00Z,99.00,91.18,58.68,,,,,11.16,,,,,,
2025-03-09T00:00:00Z,99.00,91.18,67.41,,,,,17.90,,,,,,
2025-03-10T00:00:00Z,99.00,93.00,70.68,,,,,17.92,,,,,,
2025-03-11T00:00:00Z,99.00,93.00,64.75,,,,,19.15,,,,,,
2025-03-12T00:00:00Z,99.00,93.00,69.32,,,,,21.33,,,,,,
2025-03-13T00:00:00Z,99.00,93.00,69.16,69.38,,,,25.43,,,,,,
2025-03-14T00:00:00Z,99.00,93.00,75.45,73.02,,47.06,,25.52,,,,,,
2025-03-15T00:00:00Z,99.00,93.00,75.16,75.22,,49.48,,29.21,,,,,,
2025-03-16T00:00:00Z,99.00,93.00,75.16,69.67,,49.48,,28.00,,,,,,
2025-03-17T00:00:00Z,99.00,93.00,79.34,63.78,,52.00,,28.00,,,,,,
2025-03-18T00:00:00Z,99.00,93.00,74.43,71.86,,40.10,,22.00,,,,,,
2025-03-19T00:00:00Z,99.00,93.00,74.43,63.12,,46.08,,21.54,,,,,,
2025-03-20T00:00:00Z,99.00,93.00,74.36,63.12,,47.66,,21.54,,,,,,
2025-03-21T00:00:00Z,99.00,93.00,84.00,67.36,,42.00,,25.05,,,,,,
2025-03-22T00:00:00Z,99.00,93.00,86.00,78.00,,45.37,,19.04,,,,,,
2025-03-23T00:00:00Z,99.00,97.00,86.00,77.00,,45.37,,18.00,,,,,,
2025-03-24T00:00:00Z,99.00,97.00,83.93,75.00,,46.26,,18.00,,,,,,
2025-03-25T00:00:00Z,99.00,97.00,78.43,69.23,,50.77,,27.41,,,,,,
2025-03-26T00:00:00Z,99.00,91.00,80.22,78.62,,56.83,,32.74,,,,,,
2025-03-27T00:00:00Z,99.00,91.00,84.22,73.87,,56.63,,31.24,,,,,,
2025-03-28T00:00:00Z,99.00,95.00,86.00,73.87,,57.90,,31.31,,,,,,
2025-03-29T00:00:00Z,99.00,95.00,83.00,78.17,,60.00,,31.55,,,,,,
2025-03-30T00:00:00Z,99.00,95.00,85.00,79.00,,55.47,,31.55,,,,,,
2025-03-31T00:00:00Z,99.00,95.00,85.00,79.00,,63.88,,31.55,,,,,,
2025-04-01T00:00:00Z,99.00,95.00,85.00,72.27,,58.21,,30.08,,10.00,,,,
2025-04-02T00:00:00Z,99.00,91.43,83.12,76.41,,54.11,,33.64,,10.00,,,,
2025-04-03T00:00:00Z,95.00,94.00,83.00,70.22,,54.00,,28.65,,8.06,,,,
2025-04-04T00:00:00Z,95.00,95.61,79.80,75.00,,55.98,48.71,29.62,,8.50,,,,
2025-04-05T00:00:00Z,95.00,94.79,85.90,79.77,,66.80,52.52,38.61,6.61,8.50,,,,
2025-04-06T00:00:00Z,95.00,97.00,96.00,85.00,,69.81,73.88,46.58,6.61,8.50,,,,
2025-04-07T00:00:00Z,95.00,97.00,85.00,85.65,,63.20,48.87,42.09,6.61,8.50,,,,
2025-04-08T00:00:00Z,95.00,98.00,93.77,84.73,88.00,75.45,69.73,49.44,15.46,8.50,,,,
2025-04-09T00:00:00Z,95.00,98.00,93.12,88.04,86.73,79.34,68.85,51.44,17.29,8.50,,,,
2025-04-10T00:00:00Z,95.00,98.00,96.62,90.38,86.00,82.38,70.33,58.06,20.90,5.10,,,,
2025-04-11T00:00:00Z,97.00,98.00,99.00,93.17,90.43,95.12,81.97,89.65,76.75,52.57,,19.30,,
2025-04-12T00:00:00Z,97.00,98.00,99.00,98.00,90.43,98.56,98.84,92.51,85.42,49.85,,25.16,,
2025-04-13T00:00:00Z,97.00,98.00,99.00,98.00,90.43,97.01,99.00,94.62,84.51,52.89,,26.90,,
2025-04-14T00:00:00Z,97.00,98.00,99.00,98.00,90.43,97.01,94.12,95.52,81.07,51.05,,28.67,,
2025-04-15T00:00:00Z,97.00,98.00,99.00,98.00,98.00,96.81,97.56,94.18,85.07,53.17,,29.72,,
2025-04-16T00:00:00Z,97.00,98.00,99.00,98.01,98.00,99.00,99.00,98.34,95.74,73.05,63.84,49.06,25.07,3.59
2025-04-17T00:00:00Z,97.00,98.00,99.00,99.00,98.00,99.00,99.00,99.00,98.87,89.61,85.08,69.09,24.98,1.00
2025-04-18T00:00:00Z,97.00,98.00,99.00,99.00,98.00,99.00,99.00,99.00,98.35,87.13,73.55,49.63,6.60,1.00
2025-04-19T00:00:00Z,97.00,98.00,99.00,99.00,98.00,99.00,99.00,99.00,98.95,85.38,70.15,30.71,1.07,1.00
2025-04-20T00:00:00Z,97.00,98.00,99.00,99.00,98.00,99.00,99.00,99.00,98.95,97.20,94.86,76.12,1.33,1.00
2025-04-21T00:00:00Z,97.00,98.00,99.00,99.00,98.00,99.00,99.00,99.00,98.95,99.00,97.98,85.94,1.00,1.00
