timestamp,Above 45,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 72,Above 75,Above 80,Above 85,Above 90
2025-10-08T00:00:00Z,96.71,,93.00,,,,,,34.18,,,4.00
2025-10-09T00:00:00Z,96.71,,92.88,,,,,,27.91,,,4.00
2025-10-10T00:00:00Z,96.71,,92.30,,,,,,28.52,,,4.00
2025-10-11T00:00:00Z,96.71,,92.00,,,,,,25.02,,,4.00
2025-10-12T00:00:00Z,96.71,,92.94,,,,,,22.63,,,6.56
2025-10-13T00:00:00Z,96.71,,90.75,,,,,,22.76,,,5.00
2025-10-14T00:00:00Z,96.71,,92.88,,,,,,20.36,,,5.00
2025-10-15T00:00:00Z,96.71,,91.10,,,,,,17.46,,,3.81
2025-10-16T00:00:00Z,97.00,,88.43,,,,,,16.25,,7.00,2.00
2025-10-17T00:00:00Z,97.00,,83.79,,62.23,,37.16,,19.50,5.37,3.47,2.00
2025-10-18T00:00:00Z,97.00,,90.22,,63.31,,32.49,,10.11,1.00,2.00,2.00
2025-10-19T00:00:00Z,97.00,93.58,82.69,67.40,42.00,25.03,13.21,4.12,2.44,1.00,2.00,2.00
2025-10-20T00:00:00Z,97.00,83.37,75.25,59.64,28.07,14.67,5.94,2.36,1.71,2.00,2.00,2.00
2025-10-21T00:00:00Z,97.00,86.23,75.68,64.06,34.97,17.74,7.86,3.21,1.93,3.12,2.00,2.00
2025-10-22T00:00:00Z,97.00,97.93,92.57,87.52,58.60,38.88,16.35,5.93,3.20,2.26,2.00,1.00
2025-10-23T00:00:00Z,97.00,98.92,93.19,75.37,37.41,18.26,3.66,1.51,2.41,1.00,2.00,1.00
2025-10-24T00:00:00Z,99.00,98.74,88.66,71.24,25.23,10.50,3.33,1.21,1.15,1.00,2.00,1.00
2025-10-25T00:00:00Z,99.00,90.12,57.41,30.35,7.81,1.57,1.15,1.00,1.00,1.00,1.00,1.00
2025-10-26T00:00:00Z,99.00,95.48,81.15,12.18,1.19,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2025-10-27T00:00:00Z,99.00,98.96,67.82,5.38,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
