timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 78,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-05-31T00:00:00Z,,77.24,,,52.43,,,,,,20.45,
2025-06-01T00:00:00Z,,85.17,,,60.88,,,,,,24.44,
2025-06-02T00:00:00Z,,84.23,,,63.59,,,,,,22.30,
2025-06-03T00:00:00Z,,86.00,,,65.91,,,,,,25.45,
2025-06-04T00:00:00Z,98.00,87.32,,,67.07,,,,,,25.00,
2025-06-05T00:00:00Z,99.00,87.00,77.75,,67.38,,,,,,26.28,
2025-06-06T00:00:00Z,99.00,92.17,80.85,75.16,51.00,,54.07,,35.75,,24.62,
2025-06-07T00:00:00Z,99.00,92.17,80.85,75.16,58.12,,60.95,,49.84,,33.85,
2025-06-08T00:00:00Z,99.00,94.00,80.85,87.00,72.40,,66.37,,40.82,,29.57,
2025-06-09T00:00:00Z,99.00,94.00,80.85,87.00,76.09,,63.50,,47.75,,30.00,
2025-06-10T00:00:00Z,99.00,93.00,80.85,86.00,79.90,,74.16,,43.98,,28.58,
2025-06-11T00:00:00Z,99.00,93.00,91.57,91.00,81.95,,77.17,,50.94,,26.68,
2025-06-12T00:00:00Z,99.00,93.00,91.57,91.00,78.15,,73.98,,54.59,,32.38,9.00
2025-06-13T00:00:00Z,99.00,95.06,90.45,90.30,82.00,,78.91,,55.84,,38.40,11.69
2025-06-14T00:00:00Z,99.00,95.06,90.45,91.00,84.82,,73.57,,60.55,,40.41,15.00
2025-06-15T00:00:00Z,99.00,95.06,90.45,91.00,74.84,,76.82,,53.80,,26.00,15.00
2025-06-16T00:00:00Z,99.00,95.06,90.45,91.00,74.84,,71.56,,48.58,,25.60,15.00
2025-06-17T00:00:00Z,99.00,95.06,90.45,91.00,79.25,,70.19,,55.14,,25.99,12.00
2025-06-18T00:00:00Z,99.00,96.00,90.45,91.00,82.26,,72.73,,53.81,,27.15,5.00
2025-06-19T00:00:00Z,99.00,90.37,90.45,90.04,75.01,,73.75,,57.04,,27.71,5.00
2025-06-20T00:00:00Z,99.00,96.00,91.00,82.07,80.40,,69.78,,58.75,,29.38,5.00
2025-06-21T00:00:00Z,99.00,96.86,91.00,82.07,80.00,,69.67,,54.97,,32.19,6.00
2025-06-22T00:00:00Z,99.00,96.86,91.48,82.07,77.49,,69.56,,54.42,,31.69,6.00
2025-06-23T00:00:00Z,99.00,96.86,92.07,82.07,77.33,,68.32,,54.53,,31.89,6.15
2025-06-24T00:00:00Z,99.00,97.48,91.93,82.07,80.87,,70.96,,54.25,,29.69,6.15
2025-06-25T00:00:00Z,99.00,97.48,91.93,92.00,81.93,,69.06,,58.71,,33.03,12.14
2025-06-26T00:00:00Z,97.00,97.48,95.60,92.00,81.00,,69.97,,59.15,,33.67,12.14
2025-06-27T00:00:00Z,97.00,94.00,93.07,88.00,84.74,,75.93,,58.13,,32.96,10.61
2025-06-28T00:00:00Z,97.00,95.00,95.28,90.00,84.60,,77.67,,63.41,,34.14,12.09
2025-06-29T00:00:00Z,97.00,95.00,95.28,90.00,85.28,,76.28,,60.75,,35.48,12.09
2025-06-30T00:00:00Z,97.00,99.00,93.11,89.00,81.48,,77.28,,60.04,,32.94,9.47
2025-07-01T00:00:00Z,97.00,99.00,95.86,93.32,85.41,,78.01,,58.21,,32.51,6.51
2025-07-02T00:00:00Z,97.00,98.00,95.86,92.48,85.69,,76.04,,59.48,,30.96,9.00
2025-07-03T00:00:00Z,97.00,98.00,95.86,92.00,84.11,,73.51,,59.34,,32.27,9.98
2025-07-04T00:00:00Z,98.00,96.11,90.76,88.78,73.46,,65.52,,48.31,,27.21,6.06
2025-07-05T00:00:00Z,98.00,93.42,92.95,82.94,71.44,,56.02,,34.46,,13.83,5.97
2025-07-06T00:00:00Z,96.86,83.49,88.70,81.04,64.11,,50.07,,30.18,,15.07,5.97
2025-07-07T00:00:00Z,97.00,92.07,88.44,83.37,68.83,,57.97,,32.66,,13.84,3.09
2025-07-08T00:00:00Z,98.40,93.96,94.41,87.69,72.13,,60.13,,31.48,,12.38,4.55
2025-07-09T00:00:00Z,99.00,96.60,96.91,95.17,92.55,96.18,73.76,78.65,29.76,17.63,2.88,1.17
2025-07-10T00:00:00Z,99.00,99.00,96.91,99.00,98.91,93.99,85.10,64.70,9.53,2.15,1.00,1.17
2025-07-11T00:00:00Z,99.00,99.00,99.00,99.00,99.00,95.90,75.15,35.03,1.55,1.00,1.00,1.17
2025-07-12T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.68,92.64,34.06,1.30,1.00,1.00,1.17
2025-07-13T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,97.19,16.83,1.00,1.00,1.00,1.17
2025-07-14T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.95,51.97,1.00,1.00,1.00,1.00
