timestamp,Above 45,Above 60,Above 65,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90
2025-03-15T00:00:00Z,92.42,81.51,,61.00,,55.26,,35.03,,11.16
2025-03-16T00:00:00Z,92.42,82.01,,70.38,,58.44,,27.57,,11.16
2025-03-17T00:00:00Z,91.00,92.00,77.71,61.66,,53.76,,23.66,,11.16
2025-03-18T00:00:00Z,91.00,92.00,86.90,70.17,,56.13,,30.59,,11.16
2025-03-19T00:00:00Z,91.00,92.00,86.90,75.13,,60.86,,26.13,,6.00
2025-03-20T00:00:00Z,91.00,92.00,86.90,76.43,,66.78,,33.00,,6.00
2025-03-21T00:00:00Z,91.00,90.90,88.00,78.50,,68.28,,38.41,,4.00
2025-03-22T00:00:00Z,91.00,90.90,88.00,78.50,,71.00,,38.03,,4.00
2025-03-23T00:00:00Z,91.00,90.90,88.00,77.00,,68.00,,36.51,,4.00
2025-03-24T00:00:00Z,91.00,90.90,88.00,77.00,,67.20,,37.30,,4.00
2025-03-25T00:00:00Z,96.00,90.90,87.78,77.98,,63.93,,33.30,,7.91
2025-03-26T00:00:00Z,96.00,90.90,87.78,77.00,,64.00,,32.55,,7.91
2025-03-27T00:00:00Z,96.00,90.90,76.38,77.11,,65.00,,37.14,,3.41
2025-03-28T00:00:00Z,96.00,90.90,76.38,78.00,,64.00,,37.14,,3.41
2025-03-29T00:00:00Z,99.00,88.75,83.15,79.10,,66.67,,36.62,,3.41
2025-03-30T00:00:00Z,99.00,88.75,83.51,72.82,,65.00,,36.78,,3.41
2025-03-31T00:00:00Z,95.00,90.00,84.00,73.39,,66.62,,36.46,,3.41
2025-04-01T00:00:00Z,95.00,91.96,84.00,75.00,,59.33,,34.08,,3.41
2025-04-02T00:00:00Z,95.00,88.00,84.23,67.59,,58.00,,34.08,,3.41
2025-04-03T00:00:00Z,95.00,88.00,84.23,72.00,,59.26,,34.08,,3.41
2025-04-04T00:00:00Z,95.00,91.31,84.23,72.00,,63.39,,38.07,,3.41
2025-04-05T00:00:00Z,95.00,77.60,73.73,64.68,,49.86,,38.47,,3.41
2025-04-06T00:00:00Z,95.00,79.70,61.72,54.43,,47.74,,22.90,,5.00
2025-04-07T00:00:00Z,93.00,78.98,67.00,60.88,,43.30,,29.94,,5.00
2025-04-08T00:00:00Z,93.00,81.82,71.18,65.85,,49.73,,26.97,,2.00
2025-04-09T00:00:00Z,93.00,84.00,71.18,63.70,,47.26,,29.29,,2.00
2025-04-10T00:00:00Z,93.00,88.87,88.12,79.62,,61.48,,33.25,,3.26
2025-04-11T00:00:00Z,93.00,85.83,85.90,78.47,,65.52,,34.83,,3.26
2025-04-12T00:00:00Z,93.00,85.83,87.00,79.32,,64.05,,45.41,,3.26
2025-04-13T00:00:00Z,93.00,96.00,89.50,84.88,,70.28,,51.40,,4.04
2025-04-14T00:00:00Z,93.00,96.00,84.83,84.88,,69.57,,53.20,,4.04
2025-04-15T00:00:00Z,93.00,91.70,90.33,83.05,,70.61,,53.68,25.00,4.04
2025-04-16T00:00:00Z,97.00,91.78,85.77,74.82,,58.41,,37.69,13.67,5.03
2025-04-17T00:00:00Z,99.00,97.12,90.40,80.01,,65.84,,36.10,10.21,2.26
2025-04-18T00:00:00Z,99.00,98.00,87.19,77.51,,66.10,,40.29,11.80,3.15
2025-04-19T00:00:00Z,99.00,98.00,88.39,77.92,,50.81,,28.32,5.47,1.36
2025-04-20T00:00:00Z,99.00,98.00,86.02,72.68,,42.98,,18.40,5.47,1.36
2025-04-21T00:00:00Z,99.00,98.00,86.20,75.17,,42.89,,18.58,4.07,1.36
2025-04-22T00:00:00Z,99.00,98.00,92.46,83.05,,57.25,,26.58,5.86,1.00
2025-04-23T00:00:00Z,99.00,99.00,96.30,91.40,,64.79,,35.89,3.66,1.00
2025-04-24T00:00:00Z,99.00,99.00,97.71,88.71,76.09,48.74,27.22,9.28,1.13,1.00
2025-04-25T00:00:00Z,99.00,98.95,97.53,82.41,64.10,22.48,10.98,1.59,1.00,1.00
2025-04-26T00:00:00Z,99.00,99.00,99.00,97.04,89.12,60.34,15.12,2.96,1.00,1.00
2025-04-27T00:00:00Z,99.00,99.00,99.00,97.04,99.00,94.70,57.85,1.59,1.00,1.00
2025-04-28T00:00:00Z,99.00,99.00,99.00,99.00,98.87,98.16,85.01,1.00,1.00,1.00
