timestamp,Above 45,Above 50,Above 52,Above 55,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90
2025-03-01T00:00:00Z,85.00,,,,,65.00,,,,,,,,,,
2025-03-02T00:00:00Z,85.00,,,,,67.22,,,,,,44.16,,,,
2025-03-03T00:00:00Z,91.17,,,,,68.46,,,,,,40.46,,,,17.39
2025-03-04T00:00:00Z,91.17,,,,,68.18,,,,,,39.52,,,,14.00
2025-03-05T00:00:00Z,87.04,,,,,73.00,,,,,,44.04,,,,6.07
2025-03-06T00:00:00Z,87.04,,,,,69.79,,,,,,46.00,,,,6.07
2025-03-07T00:00:00Z,87.00,,,,,69.79,,,,,,45.28,,,,8.00
2025-03-08T00:00:00Z,87.00,,,,,69.79,,,,,,40.62,,,,7.00
2025-03-09T00:00:00Z,90.07,,,,,74.80,,,,,,47.50,,,,6.00
2025-03-10T00:00:00Z,90.56,,,,,66.41,,,,,,42.59,,,,6.00
2025-03-11T00:00:00Z,90.56,,,,,62.65,,,,,,42.96,,,,6.00
2025-03-12T00:00:00Z,92.00,,,,,65.52,,,,,,44.00,,,,6.00
2025-03-13T00:00:00Z,91.00,,,,,66.00,,,,,,40.28,,,,10.17
2025-03-14T00:00:00Z,93.00,,,,,67.57,,,,,,41.93,,,,10.17
2025-03-15T00:00:00Z,93.00,,,,,67.57,,,,,,42.73,,,,10.17
2025-03-16T00:00:00Z,93.00,,,,,68.58,,,,,,42.73,,,,10.17
2025-03-17T00:00:00Z,93.00,,,,,68.30,,,,,,42.73,,,,10.17
2025-03-18T00:00:00Z,93.00,,,,,67.85,,,,,,40.88,,,,10.17
2025-03-19T00:00:00Z,93.00,,,,,67.85,,,,,,39.00,,,,10.17
2025-03-20T00:00:00Z,93.00,,,,,66.01,,,,,,40.85,,,,10.17
2025-03-21T00:00:00Z,94.00,,,,,78.63,,,,,,41.65,,,,5.00
2025-03-22T00:00:00Z,94.00,,,,,75.53,,,,,,41.65,,,,7.00
2025-03-24T00:00:00Z,94.00,,,,,75.53,,,,,,39.21,,,,7.00
2025-03-25T00:00:00Z,94.00,,,,,75.81,,,,,,38.40,,,,7.00
2025-03-26T00:00:00Z,94.00,,,,,71.45,,,,,,38.40,,,,7.00
2025-03-28T00:00:00Z,94.00,,,,,72.14,,,,,,38.40,,,,7.00
2025-03-30T00:00:00Z,94.00,,,,,73.14,,,,,,43.92,,,,7.00
2025-03-31T00:00:00Z,93.00,,,,,73.41,,,,,,45.23,,,,8.00
2025-04-01T00:00:00Z,93.00,,,,,72.23,,,,,,45.23,,,,8.00
2025-04-02T00:00:00Z,96.00,,,,,66.92,,,,,,34.40,,,,7.00
2025-04-03T00:00:00Z,94.04,,,,,46.34,,47.50,,36.84,,27.00,,,,4.00
2025-04-04T00:00:00Z,93.69,78.00,,56.84,,48.78,,33.61,,26.17,,20.41,,,,4.00
2025-04-05T00:00:00Z,91.00,80.54,,59.00,,48.29,,34.00,,25.11,,10.42,,,,2.35
2025-04-06T00:00:00Z,91.00,85.43,,80.78,,58.98,,39.84,,28.68,,18.70,,,,4.03
2025-04-07T00:00:00Z,97.00,90.51,,84.95,,74.55,,64.24,,46.97,,22.71,,,,2.38
2025-04-08T00:00:00Z,95.35,92.17,,81.44,,68.29,,53.80,,27.46,,12.23,,16.97,30.94,2.38
2025-04-09T00:00:00Z,94.45,96.00,90.99,75.19,69.88,52.78,27.31,20.45,6.23,11.21,5.00,4.14,,3.62,1.92,1.00
2025-04-10T00:00:00Z,94.45,98.38,93.52,93.21,83.50,62.56,41.92,14.70,8.03,2.84,2.00,1.00,,3.62,1.00,1.00
2025-04-11T00:00:00Z,99.00,98.88,98.96,92.51,87.71,60.30,24.06,4.56,1.35,1.04,1.00,1.00,,3.62,1.00,1.00
2025-04-12T00:00:00Z,99.00,99.00,98.96,98.45,95.91,55.31,23.36,1.51,1.00,1.04,1.00,1.00,,1.00,1.00,1.00
2025-04-13T00:00:00Z,99.00,99.00,98.96,98.87,97.64,73.73,5.77,1.00,1.00,1.04,1.00,1.00,,1.00,1.00,1.00
2025-04-14T00:00:00Z,99.00,99.00,98.96,98.87,96.75,80.07,2.37,1.00,1.00,1.04,1.00,1.00,,1.00,1.00,1.00
