timestamp,Above 45,Above 50,Above 52,Above 55,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 72,Above 75,Above 77,Above 80,Above 85,Above 90
2025-02-28T21:00:00Z,,,,,,65.00,,,,,,,,,,
2025-03-01T03:00:00Z,85.00,,,,,65.00,,,,,,,,,,
2025-03-01T07:00:00Z,85.00,,,,,65.00,,,,,,42.00,,,,
2025-03-01T22:00:00Z,85.00,,,,,67.22,,,,,,42.00,,,,
2025-03-01T23:00:00Z,85.00,,,,,67.22,,,,,,48.90,,,,
2025-03-02T16:00:00Z,85.00,,,,,67.22,,,,,,48.90,,,,1.00
2025-03-02T19:00:00Z,85.00,,,,,67.22,,,,,,35.33,,,,1.00
2025-03-02T23:00:00Z,85.00,,,,,67.00,,,,,,47.50,,,,1.00
2025-03-03T00:00:00Z,85.00,,,,,76.00,,,,,,47.50,,,,1.00
2025-03-03T03:00:00Z,88.00,,,,,76.00,,,,,,47.00,,,,1.00
2025-03-03T04:00:00Z,91.20,,,,,76.00,,,,,,47.00,,,,1.00
2025-03-03T05:00:00Z,91.20,,,,,76.00,,,,,,47.00,,,,17.41
2025-03-03T07:00:00Z,91.20,,,,,76.00,,,,,,37.00,,,,17.41
2025-03-03T14:00:00Z,91.20,,,,,76.00,,,,,,37.00,,,,14.00
2025-03-03T15:00:00Z,91.20,,,,,76.00,,,,,,46.00,,,,14.00
2025-03-03T16:00:00Z,91.20,,,,,68.18,,,,,,46.00,,,,14.00
2025-03-03T23:00:00Z,91.20,,,,,68.18,,,,,,36.33,,,,14.00
2025-03-04T00:00:00Z,91.20,,,,,68.18,,,,,,37.00,,,,14.00
2025-03-04T04:00:00Z,91.20,,,,,68.18,,,,,,45.00,,,,14.00
2025-03-04T07:00:00Z,91.20,,,,,68.18,,,,,,45.00,,,,4.41
2025-03-04T15:00:00Z,91.20,,,,,73.00,,,,,,45.00,,,,4.41
2025-03-04T19:00:00Z,86.00,,,,,73.00,,,,,,37.00,,,,4.41
2025-03-04T21:00:00Z,86.00,,,,,73.00,,,,,,37.00,,,,10.00
2025-03-05T02:00:00Z,86.00,,,,,73.00,,,,,,44.00,,,,10.00
2025-03-05T03:00:00Z,88.00,,,,,73.00,,,,,,44.00,,,,10.00
2025-03-05T05:00:00Z,88.00,,,,,73.00,,,,,,45.48,,,,9.00
2025-03-05T18:00:00Z,88.00,,,,,69.00,,,,,,45.48,,,,9.00
2025-03-06T00:00:00Z,88.00,,,,,69.00,,,,,,46.00,,,,9.00
2025-03-06T01:00:00Z,88.00,,,,,68.97,,,,,,46.00,,,,9.00
2025-03-06T04:00:00Z,88.00,,,,,68.97,,,,,,46.00,,,,9.00
2025-03-06T05:00:00Z,88.00,,,,,73.61,,,,,,46.00,,,,9.00
2025-03-06T07:00:00Z,88.00,,,,,73.61,,,,,,46.00,,,,8.00
2025-03-06T16:00:00Z,88.00,,,,,73.61,,,,,,44.00,,,,8.00
2025-03-06T23:00:00Z,87.00,,,,,73.61,,,,,,44.00,,,,8.00
2025-03-07T01:00:00Z,87.00,,,,,73.61,,,,,,45.66,,,,8.00
2025-03-07T14:00:00Z,87.00,,,,,73.61,,,,,,45.50,,,,8.00
2025-03-07T17:00:00Z,87.00,,,,,73.61,,,,,,39.15,,,,8.00
2025-03-08T05:00:00Z,87.00,,,,,73.61,,,,,,39.15,,,,7.00
2025-03-08T23:00:00Z,90.07,,,,,73.61,,,,,,39.15,,,,6.00
2025-03-09T00:00:00Z,90.07,,,,,74.15,,,,,,39.15,,,,6.00
2025-03-09T03:00:00Z,90.07,,,,,74.15,,,,,,47.50,,,,6.00
2025-03-09T04:00:00Z,90.07,,,,,76.00,,,,,,47.50,,,,6.00
2025-03-09T06:00:00Z,88.00,,,,,69.20,,,,,,41.00,,,,6.00
2025-03-09T07:00:00Z,91.00,,,,,69.20,,,,,,41.00,,,,6.00
2025-03-09T17:00:00Z,91.00,,,,,69.20,,,,,,41.00,,,,6.00
2025-03-09T18:00:00Z,91.00,,,,,69.20,,,,,,47.28,,,,6.00
2025-03-10T01:00:00Z,91.00,,,,,66.92,,,,,,42.60,,,,6.00
2025-03-10T03:00:00Z,91.00,,,,,61.12,,,,,,42.44,,,,6.00
2025-03-10T05:00:00Z,91.00,,,,,62.16,,,,,,42.44,,,,6.00
2025-03-10T07:00:00Z,91.00,,,,,62.16,,,,,,41.10,,,,6.00
2025-03-10T15:00:00Z,91.00,,,,,62.16,,,,,,37.00,,,,6.00
2025-03-10T20:00:00Z,91.00,,,,,62.16,,,,,,43.42,,,,6.00
2025-03-10T23:00:00Z,91.00,,,,,65.00,,,,,,43.42,,,,6.00
2025-03-11T02:00:00Z,91.00,,,,,65.00,,,,,,40.00,,,,6.00
2025-03-11T19:00:00Z,91.00,,,,,65.00,,,,,,40.00,,,,6.00
2025-03-11T22:00:00Z,91.00,,,,,65.00,,,,,,40.00,,,,6.00
2025-03-12T00:00:00Z,92.00,,,,,65.00,,,,,,40.00,,,,6.00
2025-03-12T03:00:00Z,92.00,,,,,66.00,,,,,,44.00,,,,6.00
2025-03-12T05:00:00Z,92.00,,,,,66.00,,,,,,40.00,,,,6.00
2025-03-12T16:00:00Z,92.00,,,,,66.00,,,,,,44.00,,,,6.00
2025-03-12T18:00:00Z,91.00,,,,,66.00,,,,,,44.00,,,,6.00
2025-03-12T20:00:00Z,91.00,,,,,66.00,,,,,,44.00,,,,6.00
2025-03-12T23:00:00Z,91.00,,,,,66.00,,,,,,44.00,,,,6.00
2025-03-13T00:00:00Z,91.00,,,,,66.00,,,,,,44.00,,,,10.17
2025-03-13T04:00:00Z,91.00,,,,,66.00,,,,,,42.00,,,,10.17
2025-03-13T06:00:00Z,91.00,,,,,66.00,,,,,,42.00,,,,10.17
2025-03-13T13:00:00Z,91.00,,,,,66.00,,,,,,42.00,,,,10.17
2025-03-13T14:00:00Z,91.00,,,,,66.00,,,,,,42.22,,,,10.17
2025-03-13T17:00:00Z,91.00,,,,,66.00,,,,,,42.00,,,,10.17
2025-03-13T20:00:00Z,91.00,,,,,67.66,,,,,,42.00,,,,10.17
2025-03-14T03:00:00Z,93.00,,,,,67.66,,,,,,41.00,,,,10.17
2025-03-14T06:00:00Z,93.00,,,,,67.66,,,,,,41.00,,,,10.17
2025-03-14T13:00:00Z,93.00,,,,,67.66,,,,,,41.00,,,,10.17
2025-03-14T17:00:00Z,93.00,,,,,67.66,,,,,,42.36,,,,10.17
2025-03-14T21:00:00Z,93.00,,,,,67.66,,,,,,44.00,,,,10.17
2025-03-15T07:00:00Z,93.00,,,,,68.58,,,,,,44.00,,,,10.17
2025-03-16T18:00:00Z,93.00,,,,,66.00,,,,,,44.00,,,,10.17
