timestamp,Above 65,Above 67,Above 70,Above 72,Above 75,Above 77,Above 80
2024-10-04T00:00:00Z,,94.00,90.51,74.00,62.93,51.99,26.00
2024-10-05T00:00:00Z,,94.00,90.51,83.00,65.50,55.02,15.00
2024-10-06T00:00:00Z,,94.00,90.51,89.00,70.00,60.00,15.00
2024-10-07T00:00:00Z,,94.00,90.51,87.00,65.37,54.00,24.65
2024-10-08T00:00:00Z,,94.00,90.51,84.62,65.79,53.02,26.48
2024-10-09T00:00:00Z,,94.00,90.51,84.62,77.33,59.37,24.00
2024-10-10T00:00:00Z,96.74,94.00,90.51,84.62,69.00,70.23,25.00
2024-10-11T00:00:00Z,99.00,99.00,90.51,99.00,90.68,76.59,33.24
2024-10-12T00:00:00Z,99.00,99.00,90.51,99.00,87.16,50.88,13.99
2024-10-13T00:00:00Z,99.00,99.00,90.51,99.00,87.16,20.17,4.10
2024-10-14T00:00:00Z,99.00,99.00,90.51,99.00,88.50,68.00,7.16
