timestamp,Above 30,Above 35,Above 40,Above 45,Above 50,Above 52,Above 55,Above 57,Above 60,Above 62,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2026-02-11T00:00:00Z,,,,84.00,,,,,69.35,,,,48.72,,,15.15
2026-02-12T00:00:00Z,,,,92.81,,,,,75.05,,,,46.20,,,9.80
2026-02-13T00:00:00Z,,,,92.81,,,,,77.09,,,,44.72,,,6.66
2026-02-14T00:00:00Z,,,,92.81,,,,,74.27,,,,47.10,,,9.44
2026-02-15T00:00:00Z,,,,92.80,,,,,79.21,,,,46.16,,,6.00
2026-02-16T00:00:00Z,,,,93.13,,,,,77.19,,,,40.15,,,7.97
2026-02-17T00:00:00Z,,,,88.36,,,,,68.24,,,,29.88,,,8.57
2026-02-18T00:00:00Z,,,,86.64,,,,,53.02,,,,35.17,,,4.24
2026-02-19T00:00:00Z,,,,85.99,,,,,55.95,,,,28.27,,,4.76
2026-02-20T00:00:00Z,,,,88.00,,,,,50.54,,,,28.45,,,6.75
2026-02-21T00:00:00Z,,,,88.00,,,,,59.24,,,,37.17,,,7.95
2026-02-22T00:00:00Z,,,,85.84,,,,,61.16,,,,34.23,,,5.33
2026-02-23T00:00:00Z,,,,86.78,,,,,61.33,,,,31.10,,,6.22
2026-02-24T00:00:00Z,,,,80.66,,,,,62.77,,,,34.17,,,8.00
2026-02-25T00:00:00Z,,,,80.00,,,,,61.65,,,,32.16,,,7.09
2026-02-26T00:00:00Z,,,,60.74,,,,,49.07,,,,30.31,,,6.00
2026-02-27T00:00:00Z,,,,73.29,,,,,56.90,,,,26.30,,,6.47
2026-02-28T00:00:00Z,,,,80.19,,,,,47.26,,49.55,27.76,19.65,22.16,10.00,5.83
2026-03-01T00:00:00Z,,,,72.25,72.00,,59.68,,49.25,,43.13,27.89,20.95,11.96,11.15,7.84
2026-03-02T00:00:00Z,,,,74.12,61.11,,41.19,,48.89,,29.21,28.70,15.97,8.71,9.89,3.16
2026-03-03T00:00:00Z,,,,78.07,68.21,,60.25,,48.21,,38.03,25.67,19.30,8.71,7.23,2.57
2026-03-04T00:00:00Z,,,,75.70,69.83,,55.81,,47.00,,35.30,21.04,14.54,3.56,2.19,1.11
2026-03-05T00:00:00Z,98.07,97.07,97.02,78.23,64.14,64.13,43.40,46.28,24.24,14.54,8.16,2.86,3.97,2.90,1.94,1.00
2026-03-06T00:00:00Z,98.07,97.07,99.00,97.04,98.47,98.37,78.67,77.35,47.19,34.55,11.03,1.85,1.00,2.90,1.94,1.00
2026-03-07T00:00:00Z,98.07,97.07,99.00,99.00,99.00,98.37,96.03,78.60,35.25,8.03,2.23,1.25,1.00,1.00,1.94,1.00
2026-03-08T00:00:00Z,98.07,97.07,99.00,99.00,99.00,98.37,98.90,94.51,20.75,2.54,1.00,1.00,1.00,1.00,1.94,1.00
2026-03-09T00:00:00Z,98.07,97.07,99.00,99.00,99.00,98.37,99.00,98.21,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00
