timestamp,Above 30,Above 35,Above 40,Above 45,Above 50,Above 52,Above 55,Above 57,Above 60,Above 62,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2026-02-10T16:00:00Z,,,,,,,,,70.00,,,,49.85,,,15.00
2026-02-10T17:00:00Z,,,,,,,,,68.00,,,,51.79,,,15.00
2026-02-10T18:00:00Z,,,,,,,,,68.00,,,,51.79,,,16.00
2026-02-10T19:00:00Z,,,,84.00,,,,,68.00,,,,54.00,,,16.00
2026-02-10T21:00:00Z,,,,84.00,,,,,68.00,,,,52.00,,,16.00
2026-02-10T22:00:00Z,,,,84.00,,,,,68.00,,,,43.57,,,16.00
2026-02-10T23:00:00Z,,,,84.00,,,,,68.00,,,,41.62,,,16.00
2026-02-11T00:00:00Z,,,,84.00,,,,,68.00,,,,45.00,,,16.00
2026-02-11T01:00:00Z,,,,84.00,,,,,68.25,,,,45.00,,,16.00
2026-02-11T02:00:00Z,,,,84.00,,,,,68.25,,,,46.00,,,16.00
2026-02-11T04:00:00Z,,,,84.00,,,,,68.25,,,,46.00,,,16.00
2026-02-11T05:00:00Z,,,,84.00,,,,,74.00,,,,45.00,,,16.00
2026-02-11T06:00:00Z,,,,85.00,,,,,65.35,,,,45.00,,,16.00
2026-02-11T08:00:00Z,,,,85.00,,,,,65.35,,,,46.00,,,16.00
2026-02-11T09:00:00Z,,,,85.00,,,,,65.35,,,,46.00,,,16.00
2026-02-11T12:00:00Z,,,,85.00,,,,,65.35,,,,45.00,,,16.00
2026-02-11T13:00:00Z,,,,85.00,,,,,65.35,,,,45.00,,,10.00
2026-02-11T14:00:00Z,,,,85.00,,,,,65.36,,,,43.55,,,10.00
2026-02-11T15:00:00Z,,,,85.00,,,,,65.36,,,,46.00,,,10.00
2026-02-11T16:00:00Z,,,,85.00,,,,,78.34,,,,48.88,,,10.00
2026-02-11T17:00:00Z,,,,85.00,,,,,72.00,,,,48.88,,,10.00
2026-02-11T21:00:00Z,,,,85.00,,,,,72.00,,,,46.00,,,10.00
2026-02-11T22:00:00Z,,,,85.00,,,,,72.00,,,,46.00,,,10.44
2026-02-11T23:00:00Z,,,,85.00,,,,,72.00,,,,48.00,,,10.44
2026-02-12T00:00:00Z,,,,85.00,,,,,72.00,,,,48.00,,,10.44
2026-02-12T02:00:00Z,,,,85.00,,,,,72.00,,,,48.00,,,10.44
2026-02-12T03:00:00Z,,,,85.00,,,,,72.00,,,,47.00,,,10.44
2026-02-12T04:00:00Z,,,,92.85,,,,,72.00,,,,45.17,,,7.13
2026-02-12T06:00:00Z,,,,92.85,,,,,72.00,,,,44.00,,,7.13
2026-02-12T07:00:00Z,,,,92.85,,,,,72.00,,,,44.00,,,7.13
2026-02-12T11:00:00Z,,,,92.85,,,,,72.00,,,,44.34,,,7.13
2026-02-12T12:00:00Z,,,,92.85,,,,,72.57,,,,44.34,,,7.13
2026-02-12T14:00:00Z,,,,92.85,,,,,72.57,,,,44.34,,,9.00
2026-02-12T15:00:00Z,,,,92.85,,,,,76.00,,,,44.34,,,9.00
2026-02-12T16:00:00Z,,,,92.85,,,,,76.00,,,,44.34,,,6.00
2026-02-12T17:00:00Z,,,,92.85,,,,,76.00,,,,44.34,,,6.00
2026-02-12T19:00:00Z,,,,92.85,,,,,76.00,,,,43.00,,,6.00
2026-02-12T20:00:00Z,,,,92.85,,,,,76.00,,,,45.59,,,6.00
2026-02-12T21:00:00Z,,,,92.85,,,,,73.45,,,,45.59,,,6.00
2026-02-13T03:00:00Z,,,,92.85,,,,,78.82,,,,45.59,,,6.00
2026-02-13T06:00:00Z,,,,92.85,,,,,78.82,,,,46.00,,,6.00
2026-02-13T07:00:00Z,,,,92.85,,,,,78.82,,,,47.00,,,6.00
2026-02-13T15:00:00Z,,,,92.85,,,,,78.82,,,,45.00,,,6.00
2026-02-13T18:00:00Z,,,,92.85,,,,,74.22,,,,45.00,,,6.00
2026-02-13T19:00:00Z,,,,92.85,,,,,79.00,,,,47.22,,,9.34
2026-02-13T20:00:00Z,,,,92.85,,,,,79.00,,,,49.00,,,10.00
2026-02-13T22:00:00Z,,,,92.85,,,,,79.00,,,,45.71,,,10.00
2026-02-13T23:00:00Z,,,,92.85,,,,,79.00,,,,45.00,,,10.00
2026-02-14T05:00:00Z,,,,92.85,,,,,79.00,,,,47.33,,,10.00
2026-02-14T06:00:00Z,,,,92.85,,,,,79.00,,,,47.53,,,10.00
2026-02-14T08:00:00Z,,,,90.00,,,,,79.00,,,,47.53,,,10.00
2026-02-14T10:00:00Z,,,,90.00,,,,,79.00,,,,48.00,,,10.00
2026-02-14T12:00:00Z,,,,90.00,,,,,79.48,,,,48.00,,,10.00
2026-02-14T17:00:00Z,,,,90.00,,,,,79.48,,,,46.00,,,6.00
2026-02-14T18:00:00Z,,,,90.00,,,,,79.00,,,,45.94,,,6.00
2026-02-14T19:00:00Z,,,,90.00,,,,,79.13,,,,45.94,,,6.00
2026-02-14T21:00:00Z,,,,94.00,,,,,79.13,,,,46.00,,,6.00
2026-02-14T22:00:00Z,,,,94.00,,,,,79.13,,,,46.00,,,6.00
2026-02-15T00:00:00Z,,,,94.00,,,,,79.13,,,,45.00,,,6.00
2026-02-15T04:00:00Z,,,,94.00,,,,,79.00,,,,45.00,,,6.00
2026-02-15T09:00:00Z,,,,94.00,,,,,79.00,,,,45.00,,,10.16
2026-02-15T14:00:00Z,,,,94.00,,,,,79.00,,,,45.00,,,6.00
2026-02-15T16:00:00Z,,,,94.00,,,,,79.00,,,,46.00,,,6.00
2026-02-15T17:00:00Z,,,,94.00,,,,,79.00,,,,47.00,,,6.00
2026-02-15T19:00:00Z,,,,94.00,,,,,79.00,,,,45.00,,,6.00
2026-02-15T20:00:00Z,,,,94.00,,,,,79.00,,,,45.00,,,6.31
2026-02-15T23:00:00Z,,,,90.00,,,,,75.00,,,,46.00,,,9.00
2026-02-16T00:00:00Z,,,,90.00,,,,,73.39,,,,45.00,,,7.00
2026-02-16T01:00:00Z,,,,90.00,,,,,73.39,,,,41.57,,,7.00
2026-02-16T02:00:00Z,,,,90.00,,,,,78.70,,,,36.25,,,7.00
2026-02-16T04:00:00Z,,,,90.00,,,,,79.00,,,,36.25,,,7.00
2026-02-16T05:00:00Z,,,,90.00,,,,,79.00,,,,36.25,,,7.00
2026-02-16T06:00:00Z,,,,90.00,,,,,62.00,,,,36.25,,,7.00
2026-02-16T07:00:00Z,,,,86.75,,,,,73.00,,,,33.00,,,7.00
2026-02-16T08:00:00Z,,,,92.00,,,,,73.00,,,,33.00,,,7.00
2026-02-16T10:00:00Z,,,,93.78,,,,,75.00,,,,33.00,,,7.00
2026-02-16T11:00:00Z,,,,93.78,,,,,65.00,,,,33.00,,,7.00
2026-02-16T14:00:00Z,,,,93.78,,,,,74.08,,,,33.00,,,10.16
2026-02-16T15:00:00Z,,,,94.90,,,,,74.08,,,,32.32,,,8.00
2026-02-16T16:00:00Z,,,,94.90,,,,,74.08,,,,32.00,,,8.00
2026-02-16T17:00:00Z,,,,87.00,,,,,68.85,,,,36.00,,,7.00
2026-02-16T18:00:00Z,,,,86.50,,,,,72.89,,,,31.47,,,8.29
2026-02-16T19:00:00Z,,,,86.50,,,,,65.02,,,,24.45,,,4.11
2026-02-16T20:00:00Z,,,,85.26,,,,,65.02,,,,25.58,,,4.11
2026-02-16T21:00:00Z,,,,93.70,,,,,65.02,,,,25.58,,,4.11
2026-02-16T23:00:00Z,,,,93.70,,,,,65.02,,,,38.13,,,4.11
2026-02-17T00:00:00Z,,,,82.83,,,,,58.16,,,,14.31,,,4.11
2026-02-17T01:00:00Z,,,,83.75,,,,,54.00,,,,11.18,,,3.96
2026-02-17T02:00:00Z,,,,85.00,,,,,54.00,,,,11.18,,,3.96
2026-02-17T03:00:00Z,,,,74.25,,,,,54.00,,,,12.00,,,3.96
2026-02-17T04:00:00Z,,,,74.25,,,,,54.00,,,,16.72,,,3.96
2026-02-17T05:00:00Z,,,,74.25,,,,,50.62,,,,16.72,,,5.66
2026-02-17T06:00:00Z,,,,74.25,,,,,50.13,,,,16.72,,,5.66
2026-02-17T08:00:00Z,,,,74.25,,,,,57.00,,,,16.72,,,5.66
2026-02-17T09:00:00Z,,,,74.25,,,,,57.00,,,,22.00,,,5.66
2026-02-17T12:00:00Z,,,,74.25,,,,,51.00,,,,22.00,,,5.66
2026-02-17T14:00:00Z,,,,85.83,,,,,51.00,,,,38.84,,,5.66
2026-02-17T15:00:00Z,,,,85.83,,,,,51.00,,,,37.00,,,5.66
2026-02-17T17:00:00Z,,,,85.83,,,,,51.00,,,,34.00,,,5.66
2026-02-17T19:00:00Z,,,,85.83,,,,,56.00,,,,34.00,,,4.50
2026-02-17T20:00:00Z,,,,85.83,,,,,55.00,,,,34.00,,,4.00
2026-02-17T21:00:00Z,,,,85.83,,,,,55.00,,,,34.00,,,4.00
2026-02-17T22:00:00Z,,,,85.83,,,,,52.00,,,,35.00,,,4.00
2026-02-18T00:00:00Z,,,,85.83,,,,,52.00,,,,35.00,,,4.00
2026-02-18T01:00:00Z,,,,85.83,,,,,52.55,,,,35.00,,,4.00
2026-02-18T02:00:00Z,,,,89.36,,,,,52.55,,,,35.00,,,4.00
2026-02-18T05:00:00Z,,,,89.36,,,,,52.55,,,,33.33,,,4.00
2026-02-18T16:00:00Z,,,,89.36,,,,,57.76,,,,31.80,,,4.00
2026-02-18T17:00:00Z,,,,86.45,,,,,57.76,,,,30.00,,,4.00
2026-02-18T18:00:00Z,,,,86.45,,,,,53.80,,,,28.50,,,4.00
2026-02-18T19:00:00Z,,,,86.45,,,,,53.80,,,,27.00,,,7.00
2026-02-18T21:00:00Z,,,,84.10,,,,,53.65,,,,27.00,,,7.00
2026-02-18T23:00:00Z,,,,84.10,,,,,53.80,,,,26.67,,,7.00
2026-02-19T00:00:00Z,,,,86.00,,,,,50.66,,,,25.69,,,4.00
2026-02-19T01:00:00Z,,,,86.00,,,,,50.66,,,,26.52,,,4.00
2026-02-19T02:00:00Z,,,,86.00,,,,,50.66,,,,23.00,,,4.00
2026-02-19T03:00:00Z,,,,88.00,,,,,50.66,,,,23.00,,,4.00
