timestamp,Above 45,Above 50,Above 52,Above 55,Above 57,Above 60,Above 62,Above 65,Above 67,Above 70,Above 75,Above 90
2025-08-08T15:00:00Z,73.00,,,,,48.00,,,,,12.00,
2025-08-08T16:00:00Z,67.00,,,,,48.94,,,,,12.03,
2025-08-08T17:00:00Z,71.00,,,,,37.87,,,,,12.16,
2025-08-08T18:00:00Z,67.08,,,,,36.69,,,,,12.00,
2025-08-08T19:00:00Z,68.84,,,,,43.63,,,,,12.00,
2025-08-08T20:00:00Z,71.35,,,,,44.86,,,,,14.41,3.77
2025-08-08T21:00:00Z,71.00,,,,,44.86,,,,,14.41,3.77
2025-08-08T22:00:00Z,71.00,,,,,37.41,,,,,14.41,3.77
2025-08-08T23:00:00Z,72.39,,,,,42.93,,,,,14.41,3.77
2025-08-09T00:00:00Z,72.39,,,,,42.93,,,,,17.80,3.00
2025-08-09T01:00:00Z,72.39,,,,,39.11,,,,,15.42,7.27
2025-08-09T02:00:00Z,71.75,,,,,43.21,,,,,15.42,7.27
2025-08-09T03:00:00Z,71.75,,,,,45.39,,,,,15.83,7.27
2025-08-09T04:00:00Z,71.75,,,,,46.00,,,,,20.12,7.27
2025-08-09T05:00:00Z,73.04,,,,,46.00,,,,,20.12,7.27
2025-08-09T06:00:00Z,73.04,,,,,39.00,,,,,22.00,7.27
2025-08-09T07:00:00Z,73.00,,,,,39.00,,,,,29.01,8.76
2025-08-09T09:00:00Z,73.00,,,,,39.00,,,,,21.00,8.76
2025-08-09T12:00:00Z,73.00,,,,,54.14,,,,,21.00,8.76
2025-08-09T14:00:00Z,73.00,,,,,51.00,,,,,21.00,8.76
2025-08-09T15:00:00Z,73.00,,,,,65.50,,,,,21.00,5.00
2025-08-09T16:00:00Z,98.00,,,,,79.00,,,,,20.00,5.00
2025-08-09T17:00:00Z,78.00,,,,,79.00,,,,,69.00,5.00
2025-08-09T18:00:00Z,79.85,,,,,59.20,,,,,39.45,9.09
2025-08-09T19:00:00Z,79.00,,,,,59.20,,,,,35.00,5.23
2025-08-09T20:00:00Z,79.00,,,,,57.67,,,,,35.00,5.23
2025-08-09T21:00:00Z,79.00,,,,,58.00,,,,,34.00,5.23
2025-08-09T22:00:00Z,79.00,,,,,56.20,,,,,34.00,5.23
