timestamp,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 92,Above 95
2024-12-25T00:00:00Z,,,,,,,15.79,,2.00,,15.00
2024-12-26T00:00:00Z,,,,90.00,61.13,,40.18,,33.31,10.00,15.00
2024-12-27T00:00:00Z,,,,77.08,50.56,,35.14,,22.15,10.63,15.00
2024-12-28T00:00:00Z,92.14,,,74.82,55.21,,33.28,,15.70,9.29,4.00
2024-12-29T00:00:00Z,88.88,,,69.09,45.19,,24.41,,14.40,8.78,4.00
2024-12-30T00:00:00Z,87.00,75.72,59.67,51.40,27.70,,16.31,,7.30,4.94,2.00
2024-12-31T00:00:00Z,92.18,79.36,64.01,55.64,35.33,,17.83,,3.80,1.26,1.00
2025-01-01T00:00:00Z,96.45,92.10,79.10,74.55,53.86,,27.44,,7.11,1.00,1.00
2025-01-02T00:00:00Z,98.02,93.52,83.46,67.75,40.76,33.14,20.05,11.30,4.31,1.00,1.00
2025-01-03T00:00:00Z,98.90,96.63,84.60,60.73,28.70,15.53,3.96,5.07,1.00,1.00,1.00
2025-01-04T00:00:00Z,98.63,98.35,97.83,91.94,73.57,65.73,29.48,11.23,1.17,1.00,1.00
2025-01-05T00:00:00Z,99.00,99.00,98.81,98.58,95.60,76.80,29.78,8.66,1.14,1.00,1.00
2025-01-06T00:00:00Z,99.00,99.00,99.00,99.00,96.79,86.54,4.90,8.66,1.14,1.00,1.00
