timestamp,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 72,Above 75,Above 77,Above 80,Above 82,Above 85,Above 90,Above 95
2026-03-03T15:05:00Z,,,,,,,,,,,,,51.00,
2026-03-03T15:20:00Z,,,,,,,,,,,,,33.17,
2026-03-03T15:44:00Z,93.00,93.00,93.00,,,,,,,,,,33.17,
2026-03-03T16:01:00Z,93.00,93.00,93.00,,,,,,,,,,33.17,10.00
2026-03-03T16:58:00Z,93.00,93.00,93.00,,,,,,,,,,43.00,10.00
2026-03-03T17:08:00Z,93.00,93.00,93.00,,,,,86.84,,,,,43.00,10.00
2026-03-03T18:27:00Z,96.00,96.00,93.00,,,,,86.84,,,,,43.00,8.00
2026-03-03T19:23:00Z,96.00,96.00,93.00,,,,,80.83,,,,,43.00,8.00
2026-03-03T20:46:00Z,96.00,96.00,93.00,,,,,80.16,,,,,43.00,8.00
2026-03-03T20:48:00Z,96.00,96.00,93.00,91.00,,,,80.16,,,,,43.00,8.00
2026-03-04T02:29:00Z,96.00,96.00,93.00,91.00,,,,80.16,,,,,36.00,8.00
2026-03-04T03:07:00Z,96.00,96.00,93.00,93.00,,,,80.16,,,,,36.00,8.00
2026-03-04T04:41:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,36.00,8.00
2026-03-04T13:04:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,44.71,8.00
2026-03-04T16:10:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,44.71,11.00
2026-03-05T04:03:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,38.00,11.00
2026-03-05T04:34:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,36.75,11.00
2026-03-05T07:49:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,35.00,11.00
2026-03-05T12:01:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,34.00,11.00
2026-03-05T19:36:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,34.00,10.00
2026-03-05T21:42:00Z,96.00,96.00,93.00,93.00,,,,80.16,,69.00,,,42.50,10.00
2026-03-06T06:11:00Z,96.00,96.00,93.00,93.00,,,,80.16,,70.00,,,42.50,10.00
2026-03-06T06:46:00Z,96.00,96.00,93.00,93.00,,,,80.16,,70.00,,,42.50,10.00
2026-03-06T06:47:00Z,96.00,96.00,93.00,93.00,,,,80.16,,70.00,,62.00,42.50,10.00
2026-03-06T18:03:00Z,96.00,96.00,93.00,93.00,,,,80.16,,70.00,,53.02,42.50,10.00
2026-03-07T13:50:00Z,96.00,96.00,93.00,93.00,,,,80.16,,70.00,,52.00,42.50,10.00
2026-03-07T15:58:00Z,96.00,96.00,93.00,93.00,,,,84.41,,70.00,,52.00,42.50,10.00
2026-03-07T19:28:00Z,96.00,96.00,93.00,93.00,,,,84.41,,70.00,,52.00,33.00,10.00
2026-03-08T00:24:00Z,96.00,96.00,93.00,93.00,,,,84.41,,65.00,,52.00,33.00,10.00
2026-03-08T03:36:00Z,96.00,96.00,93.00,93.30,,,,84.41,,65.00,,52.00,33.00,10.00
2026-03-08T17:39:00Z,96.00,96.00,93.00,93.30,,,,84.41,,65.00,,52.00,38.24,10.00
2026-03-08T20:54:00Z,96.00,96.00,93.00,93.30,,,,85.00,,65.00,,52.00,38.24,10.00
2026-03-09T02:00:00Z,96.00,96.00,93.00,93.30,,,,83.00,,65.00,,52.00,38.24,10.00
2026-03-09T03:14:00Z,96.00,96.00,93.00,93.30,,,,83.00,,65.00,,59.00,38.24,10.00
2026-03-09T16:37:00Z,96.00,96.00,93.00,93.30,,,,83.00,,65.00,,50.01,38.24,10.00
2026-03-09T17:35:00Z,96.00,96.00,93.00,93.30,,,,83.00,,65.00,,55.00,38.24,10.00
2026-03-09T22:35:00Z,97.00,96.00,93.00,93.30,,,,83.00,,65.00,,55.00,38.24,10.00
2026-03-09T22:51:00Z,97.00,96.00,93.00,93.30,,,,83.00,,70.00,,55.00,38.24,10.00
2026-03-09T23:45:00Z,97.00,96.00,93.00,93.30,,,,83.00,,70.00,,55.00,38.24,10.00
2026-03-10T02:59:00Z,97.00,96.00,93.00,93.30,,,,83.00,,70.00,,48.21,38.24,10.00
2026-03-10T03:00:00Z,97.00,96.00,93.00,93.30,,,,83.00,,70.00,,48.00,38.24,10.00
2026-03-10T06:03:00Z,97.00,96.00,93.00,93.30,,,,83.00,,70.00,,48.00,32.00,10.00
2026-03-10T16:10:00Z,97.00,97.00,93.00,93.30,,,,83.00,,70.00,,48.00,32.00,10.00
2026-03-10T16:11:00Z,97.00,97.00,97.00,93.30,,,,83.00,,70.00,,48.00,32.00,10.00
2026-03-10T19:51:00Z,97.00,97.00,97.00,93.30,,,,78.06,,70.00,,48.00,32.00,10.00
2026-03-10T21:11:00Z,97.00,97.00,97.00,93.30,,,,78.06,,70.00,,48.00,32.00,10.00
2026-03-10T23:12:00Z,97.00,97.00,97.00,93.30,,,,76.00,,70.00,,48.00,32.00,10.00
2026-03-11T01:42:00Z,97.00,97.00,97.00,93.30,,,,76.00,,70.00,,48.00,32.00,10.00
