timestamp,Above 70,Above 75,Above 80,Above 85,Above 89,Above 95
2024-04-09T00:00:00Z,94.00,,,,25.89,3.00
2024-04-10T00:00:00Z,90.00,,,56.22,25.89,3.00
2024-04-11T00:00:00Z,90.00,,,56.22,28.00,3.00
2024-04-12T00:00:00Z,93.00,86.88,78.09,48.42,22.56,3.00
2024-04-13T00:00:00Z,93.00,87.00,75.00,43.87,24.00,6.00
2024-04-14T00:00:00Z,93.00,87.00,75.00,44.50,21.57,4.50
2024-04-15T00:00:00Z,93.00,87.00,79.00,47.00,23.00,4.50
2024-04-16T00:00:00Z,94.00,88.39,79.00,48.12,23.00,4.50
2024-04-17T00:00:00Z,96.36,89.17,79.00,48.81,19.75,4.50
2024-04-18T00:00:00Z,96.36,92.00,80.00,50.00,19.75,4.50
2024-04-19T00:00:00Z,96.36,92.00,81.00,51.65,24.86,4.50
2024-04-20T00:00:00Z,96.36,93.00,83.43,55.95,28.29,4.50
2024-04-21T00:00:00Z,96.36,93.00,88.00,61.00,30.48,5.00
2024-04-22T00:00:00Z,96.36,93.00,88.00,61.00,29.49,5.00
2024-04-23T00:00:00Z,96.36,96.34,89.60,66.27,35.72,5.00
2024-04-24T00:00:00Z,96.36,96.34,92.00,71.11,43.52,5.00
2024-04-25T00:00:00Z,96.36,95.31,85.28,66.06,24.95,3.02
2024-04-26T00:00:00Z,96.36,95.64,87.00,56.96,13.61,3.02
2024-04-27T00:00:00Z,96.36,96.00,84.97,54.13,11.43,3.02
2024-04-28T00:00:00Z,96.23,93.20,82.00,52.85,12.71,3.02
2024-04-29T00:00:00Z,95.00,90.00,74.82,40.67,6.06,3.02
2024-04-30T00:00:00Z,97.29,93.56,74.15,46.30,9.82,2.00
2024-05-01T00:00:00Z,98.32,93.19,61.59,21.75,5.30,2.00
2024-05-02T00:00:00Z,98.60,96.20,59.50,16.66,2.70,1.00
2024-05-03T00:00:00Z,98.86,96.89,73.52,11.73,1.41,1.00
2024-05-04T00:00:00Z,99.00,98.00,97.11,5.36,1.22,1.00
2024-05-05T00:00:00Z,99.00,99.00,98.48,3.72,3.28,1.00
2024-05-06T00:00:00Z,99.00,99.00,98.86,2.74,2.00,1.00
