timestamp,Above 26,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90
2024-03-20T22:00:00Z,,,,,,33.20,,,
2024-03-21T13:00:00Z,,82.46,,,,33.20,,,
2024-03-21T18:00:00Z,80.50,68.92,,,,26.00,,,
2024-03-21T20:00:00Z,80.50,68.92,44.17,,,26.00,,,
2024-03-22T13:00:00Z,82.00,68.92,44.17,,,26.00,,,
2024-03-22T22:00:00Z,82.00,61.75,35.07,,,22.00,,,
2024-03-23T03:00:00Z,82.00,52.00,35.07,,,22.00,,,
2024-03-23T21:00:00Z,75.85,52.00,35.07,,,14.82,,,
2024-03-24T13:00:00Z,77.42,58.50,35.07,,,14.82,,,
2024-03-24T19:00:00Z,77.42,61.00,33.33,,,14.82,,,
2024-03-25T01:00:00Z,82.00,61.00,33.33,,,14.82,,,
2024-03-25T13:00:00Z,82.00,62.00,30.00,,,14.82,,,
2024-03-25T18:00:00Z,82.00,62.00,30.00,,,12.03,,,
2024-03-25T19:00:00Z,82.00,62.00,30.00,,,12.03,,,4.00
2024-03-25T22:00:00Z,82.00,50.00,24.33,,,13.41,,,4.00
2024-03-26T04:00:00Z,79.36,52.00,24.33,,,13.41,,,4.00
2024-03-26T20:00:00Z,80.00,50.00,24.33,,,13.41,,,4.00
2024-03-26T21:00:00Z,80.00,50.93,26.00,,,13.41,,,4.00
2024-03-26T22:00:00Z,79.00,51.00,19.00,,,13.41,,,4.00
2024-03-26T23:00:00Z,79.00,54.00,19.00,,,13.41,,,4.00
2024-03-27T13:00:00Z,79.00,54.00,25.00,,,13.41,,,4.00
2024-03-27T15:00:00Z,79.00,54.00,25.00,,,13.41,,,4.00
2024-03-27T18:00:00Z,74.00,54.00,25.00,,,10.00,,,4.00
2024-03-27T19:00:00Z,74.00,54.00,27.82,,,10.00,,,4.00
2024-03-27T23:00:00Z,74.00,54.00,30.23,,,10.00,,,4.00
2024-03-28T02:00:00Z,74.00,63.00,30.23,,,10.00,,,4.00
2024-03-28T17:00:00Z,74.00,63.00,37.38,,,10.00,,,4.00
2024-03-28T18:00:00Z,74.00,85.00,64.51,,,29.00,,,4.00
2024-03-28T23:00:00Z,74.00,78.22,64.51,,,29.00,,,7.00
2024-03-29T02:00:00Z,74.00,78.22,57.60,,,29.00,,,7.00
2024-03-29T13:00:00Z,74.00,78.22,62.00,,,31.00,,,7.00
2024-03-29T16:00:00Z,74.00,78.22,62.00,,,31.00,,,9.00
2024-03-29T17:00:00Z,74.00,78.22,66.00,,,31.00,,,9.00
2024-03-29T18:00:00Z,74.00,78.22,70.00,,,37.00,,,9.00
2024-03-29T20:00:00Z,74.00,78.22,70.00,,,31.00,,,9.00
2024-03-30T01:00:00Z,74.00,78.22,70.00,,,36.00,,,9.00
2024-03-30T15:00:00Z,74.00,88.00,70.00,,,36.00,,,9.00
2024-03-30T17:00:00Z,74.00,88.00,70.00,,,36.00,,,9.00
2024-03-31T18:00:00Z,74.00,88.00,70.00,,,38.00,,,9.00
2024-03-31T22:00:00Z,74.00,89.11,70.00,,,42.50,,,9.00
2024-04-01T04:00:00Z,98.00,89.11,70.00,,,42.50,,,9.00
2024-04-01T13:00:00Z,94.00,87.00,70.00,,,42.50,,,9.00
2024-04-01T15:00:00Z,94.00,79.67,67.30,,,46.00,,,9.00
2024-04-01T17:00:00Z,95.00,79.67,66.00,,,46.00,,,6.36
2024-04-01T18:00:00Z,95.00,79.67,65.48,,,39.00,,,6.36
2024-04-01T19:00:00Z,95.00,85.42,72.00,,,39.02,,,6.36
2024-04-01T21:00:00Z,95.00,85.42,72.00,,,41.23,,,6.36
2024-04-01T22:00:00Z,95.00,88.00,72.00,,,41.23,,,7.00
2024-04-01T23:00:00Z,95.00,88.00,72.00,,,41.23,,,7.00
2024-04-02T00:00:00Z,95.00,88.00,67.00,,,41.85,,,7.00
2024-04-02T01:00:00Z,95.00,88.00,72.55,,,41.00,,,7.00
2024-04-02T02:00:00Z,95.00,88.00,74.00,,,43.39,,,7.00
